Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Final,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,930316493000.000000,-693799297000.000000,236517196000.000000,-201420033000.000000,-6428223000.000000,-130339316000.000000,-139907240000.000000,75254746000.000000,-201420033000.000000,35097163000.000000,-78351633000.000000,10317107000.000000,-88668740000.000000,,,,,-78351633000.000000,-43254470000.000000,-13698432000.000000,-56952902000.000000,-9726672000.000000,-66679574000.000000,,,-66679574000.000000,-56952902000.000000,-9726672000.000000,-66679574000.000000,,,,
12M 2009,985686297000.000000,-917346471000.000000,68339826000.000000,20283184000.000000,-9888559000.000000,-122137208000.000000,149951088000.000000,2357863000.000000,20283184000.000000,88623010000.000000,-61324965000.000000,11106605000.000000,-72431570000.000000,,,,,-61324965000.000000,27298045000.000000,-15011065000.000000,12286980000.000000,-10975644000.000000,1311336000.000000,,,1311336000.000000,12286980000.000000,-10975644000.000000,1311336000.000000,,,,
12M 2010,389914669000.000000,-408296117000.000000,-18381448000.000000,-627074781000.000000,-1049849000.000000,-187353932000.000000,20689707000.000000,-459360707000.000000,-627074781000.000000,-645456229000.000000,-5982463000.000000,1272449000.000000,-7254912000.000000,,,,,-5982463000.000000,-651438692000.000000,-9567734000.000000,-661006426000.000000,-1268655000.000000,-662275081000.000000,,,-662275081000.000000,-661006426000.000000,-1268655000.000000,-662275081000.000000,,,,
12M 2011,403517654000.000000,-425411993000.000000,-21894339000.000000,-159768436000.000000,-1154263000.000000,-109247313000.000000,,-49366860000.000000,-159768436000.000000,-181662775000.000000,-27200320000.000000,4501520000.000000,-31701840000.000000,,,,,-27200320000.000000,-208863095000.000000,-9465852000.000000,-218328947000.000000,,-218328947000.000000,10162953000.000000,-208165994000.000000,-218328947000.000000,-219233871000.000000,904924000.000000,-218328947000.000000,-208165994000.000000,-209250473000.000000,1084479000.000000,-208165994000.000000
12M 2012,489817106000.000000,-416497505000.000000,73319601000.000000,-47130258000.000000,-914460000.000000,-68826722000.000000,,22610924000.000000,-47130258000.000000,26189343000.000000,-26117253000.000000,2673099000.000000,-29084507000.000000,,,294155000.000000,,-26117253000.000000,72090000.000000,-9911078000.000000,-9838988000.000000,,-9838988000.000000,10374677000.000000,535689000.000000,-9838988000.000000,-11513763000.000000,1674775000.000000,-9838988000.000000,535689000.000000,-2797245000.000000,3332934000.000000,535689000.000000
12M 2013,61151060.000000,-46935112.000000,14215948.000000,-5576213.000000,-366403.000000,-7953401.000000,,2743591.000000,-5576213.000000,8639735.000000,-4614607.000000,84526.000000,-4681364.000000,,,-17769.000000,,-4614607.000000,4025128.000000,-1118477.000000,2906651.000000,,2906651.000000,151282.000000,3057933.000000,2906651.000000,2700397.000000,206254.000000,2906651.000000,3057933.000000,2851679.000000,206254.000000,3057933.000000
12M 2014,66606832.000000,-50570802.000000,16036030.000000,-7110382.000000,-578752.000000,-7760960.000000,,1229330.000000,-7110382.000000,8925648.000000,-6223434.000000,46094.000000,-5034239.000000,-2491783.000000,,-1034.000000,1257528.000000,-6223434.000000,2702214.000000,-1135813.000000,1566401.000000,,1566401.000000,2066602.000000,3633003.000000,1566401.000000,1403940.000000,162461.000000,1566401.000000,3633003.000000,3470542.000000,162461.000000,3633003.000000
12M 2015,52091481.000000,-36060246.000000,16031235.000000,-6478366.000000,-356886.000000,-6600896.000000,,479416.000000,-6478366.000000,9552869.000000,-5426194.000000,77844.000000,-3656701.000000,,,-1847337.000000,,-5426194.000000,4126675.000000,-837890.000000,3288785.000000,,3288785.000000,-1359505.000000,1929280.000000,3288785.000000,3167393.000000,121392.000000,3288785.000000,1929280.000000,1807888.000000,121392.000000,1929280.000000
12M 2016,60377338.000000,-44282917.000000,16094421.000000,-2192997.000000,-187672.000000,-8069065.000000,,6063740.000000,-2192997.000000,13901424.000000,-7363786.000000,83689.000000,-4039804.000000,,,-3407671.000000,,-7363786.000000,6537638.000000,-1152752.000000,5384886.000000,,5384886.000000,222220.000000,5607106.000000,5384886.000000,2622274.000000,2762612.000000,5384886.000000,5607106.000000,2844494.000000,2762612.000000,5607106.000000
12M 2017,67707413.000000,-38873699.000000,28833714.000000,-11793833.000000,-160908.000000,-10881591.000000,,-751334.000000,-11793833.000000,17039881.000000,-6720219.000000,124925.000000,-5129424.000000,,-1010412.000000,-705308.000000,,-6720219.000000,10319662.000000,-315700.000000,10003962.000000,,10003962.000000,-216504.000000,9787458.000000,10003962.000000,7004683.000000,2999279.000000,10003962.000000,9787458.000000,6788179.000000,2999279.000000,9787458.000000
12M 2018,81808444.000000,-52387139.000000,29421305.000000,-10304911.000000,-223866.000000,-10103722.000000,,22677.000000,-10304911.000000,19116394.000000,-6242800.000000,155410.000000,-5904863.000000,,-1195322.000000,701975.000000,,-6242800.000000,12873594.000000,-331792.000000,12541802.000000,,12541802.000000,-371871.000000,12169931.000000,12541802.000000,12042006.000000,499796.000000,12541802.000000,12169931.000000,11670135.000000,499796.000000,12169931.000000
12M 2019,86257559.000000,-57044698.000000,29212861.000000,-9412248.000000,-317692.000000,-10629702.000000,,1535146.000000,-9412248.000000,19800613.000000,-6173290.000000,963479.000000,-5729999.000000,,-1307361.000000,-99409.000000,,-6173290.000000,13627323.000000,-485144.000000,13142179.000000,,13142179.000000,-76442.000000,13065737.000000,13142179.000000,10800111.000000,2342068.000000,13142179.000000,13065737.000000,10723669.000000,2342068.000000,13065737.000000
