Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Pemasaran,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,199084248150.000000,-168907816270.000000,30176431880.000000,-16824618011.000000,-489485164.000000,-16335132847.000000,-16824618011.000000,13351813869.000000,-661758255.000000,52261121.000000,-765293568.000000,51274192.000000,-661758255.000000,12690055614.000000,-3352360880.000000,-3554436750.000000,202075870.000000,-3352360880.000000,9337694734.000000,226729321.000000,9564424055.000000,9337694734.000000,9337694734.000000,,9337694734.000000,9564424055.000000,9564424055.000000,,9564424055.000000
12M 2020,241182345610.000000,-205132583350.000000,36049762260.000000,-20936574816.000000,-228435289.000000,-20708139527.000000,-20936574816.000000,15113187444.000000,266020689.000000,21442929.000000,-3968726457.000000,4213304217.000000,266020689.000000,15379208133.000000,-2973915601.000000,-3179034320.000000,205118719.000000,-2973915601.000000,12405292532.000000,-60870873.000000,12344421659.000000,12405292532.000000,12405292532.000000,,12405292532.000000,12344421659.000000,12344421659.000000,,12344421659.000000
12M 2021,318999156922.000000,-273546025620.000000,45453131302.000000,-26607263233.000000,-1015351299.000000,-25591911934.000000,-26607263233.000000,18845868069.000000,-2417252291.000000,46608288.000000,-4008316857.000000,1544456278.000000,-2417252291.000000,16428615778.000000,-4343595661.000000,-4799433100.000000,455837439.000000,-4343595661.000000,12085020117.000000,448638644.000000,12533658761.000000,12085020117.000000,12085020117.000000,,12085020117.000000,12533658761.000000,12533658761.000000,,12533658761.000000
12M 2022,339197903920.000000,-280404327248.000000,58793576672.000000,-28738631460.000000,-1252806744.000000,-27485824716.000000,-28738631460.000000,30054945212.000000,-3453223720.000000,380154453.000000,-5396784481.000000,1563406308.000000,-3453223720.000000,26601721492.000000,-6006777687.000000,-6258703000.000000,251925313.000000,-6006777687.000000,20594943805.000000,267135207.000000,20862079012.000000,20594943805.000000,20594943805.000000,,20594943805.000000,20862079012.000000,20862079012.000000,,20862079012.000000
12M 2023,439902625251.000000,-363198151283.000000,76704473968.000000,-30125648044.000000,-1061548215.000000,-29064099829.000000,-30125648044.000000,46578825924.000000,-3053119057.000000,707768505.000000,-5419695932.000000,1658808370.000000,-3053119057.000000,43525706867.000000,-9537583351.000000,-9326927940.000000,-210655411.000000,-9537583351.000000,33988123516.000000,703282822.000000,34691406338.000000,33988123516.000000,33988123516.000000,,33988123516.000000,34691406338.000000,34691406338.000000,,34691406338.000000
12M 2024,420551076256.000000,-350677401873.000000,69873674383.000000,-34476446462.000000,-2350657236.000000,-32125789226.000000,-34476446462.000000,35397227921.000000,-4970485069.000000,468410946.000000,-4752327592.000000,-686568423.000000,-4970485069.000000,30426742852.000000,-6589764804.000000,-7239599620.000000,649834816.000000,-6589764804.000000,23836978048.000000,-59947549.000000,23777030499.000000,23836978048.000000,23836978048.000000,,23836978048.000000,23777030499.000000,23777030499.000000,,23777030499.000000
