Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Penerimaan (Pembayaran) Kepada Lain-Lain,Penerimaan Pendapatan Bunga,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Pembayaran Bunga Atas Liabilitas Sewa,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Invetasi Jangka Pendek,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Utang Bank Jangka Panjang,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Utang Pemegang Saham,Penerimaan,Pembayaran,Total Utang Pemegang Saham,Pembayaran Dividen,Kenaikan Modal Saham,Tambahan Modal Disetor Dari Penawaran Umum Perdana,Pembayaran Biaya Emisi Saham,Penurunan Piutang Lain-Lain - Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Pokok Liabilitas Sewa,Penambahan Setoran Pemegang Saham,Penempatan Dana Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,7742763369.000000,196930622612.000000,-173472179210.000000,-11329810675.000000,52261121.000000,-3672836911.000000,-765293568.000000,,7742763369.000000,-89752336603.000000,,-87475053403.000000,-2277283200.000000,,-89752336603.000000,83360258108.000000,,82126924775.000000,-44516666667.000000,37610258108.000000,,,,,,59400000000.000000,-63650000000.000000,-4250000000.000000,,,,,,,,50000000000.000000,,83360258108.000000,1350684874.000000,1704878855.000000,3055563729.000000
12M 2020,21941782811.000000,256060716468.000000,-222592951256.000000,-4423306310.000000,21442929.000000,-3155392563.000000,-3577413511.000000,-391312946.000000,21941782811.000000,-17714492564.000000,,-17553697513.000000,-3876495051.000000,3715700000.000000,-17714492564.000000,-3785599199.000000,,112805578288.000000,-123238006063.000000,-10432427775.000000,,,,,,10000000000.000000,-200000000.000000,9800000000.000000,,,,,,-780084370.000000,-1723087054.000000,,-650000000.000000,-3785599199.000000,441691048.000000,3055563729.000000,3497254777.000000
12M 2021,-3380692855.000000,319331931427.000000,-308686203591.000000,-6490514700.000000,46608288.000000,-3574197422.000000,-3714076227.000000,-294240630.000000,-3380692855.000000,-29607308726.000000,,-29607308726.000000,,,-29607308726.000000,31924704927.000000,,166908382995.000000,-169516999259.000000,-2608616264.000000,,,,,,,,,,,,,,-938119439.000000,-2728559370.000000,38200000000.000000,,31924704927.000000,-1063296654.000000,3497254777.000000,2433958123.000000
12M 2022,17192221089.000000,323279551775.000000,-276980625133.000000,-20264270718.000000,380154453.000000,-3825804807.000000,-5296105142.000000,-100679339.000000,17192221089.000000,-73470634909.000000,,-69392496935.000000,-4078137974.000000,,-73470634909.000000,127323729729.000000,,73672185800.000000,-42790992656.000000,30881193144.000000,,16000000000.000000,-15988149615.000000,11850385.000000,,,,,,50000000000.000000,50000000000.000000,-3002500000.000000,400000000.000000,-570693139.000000,-396120661.000000,,,127323729729.000000,71045315909.000000,2433958123.000000,73479274032.000000
12M 2023,68102092620.000000,444568623487.000000,-335240550897.000000,-26067432174.000000,707768505.000000,-10446620369.000000,-5390384760.000000,-29311172.000000,68102092620.000000,-109611156070.000000,-50000000000.000000,-53915435971.000000,-5876801181.000000,181081082.000000,-109611156070.000000,-22611233664.000000,,35000000000.000000,-47904400511.000000,-12904400511.000000,,28421165143.000000,-28432625230.000000,-11460087.000000,,,,,-6725000000.000000,,,,,-353384238.000000,-2616988828.000000,,,-22611233664.000000,-64120297114.000000,73479274032.000000,9358976918.000000
12M 2024,37156919750.000000,399959619133.000000,-257923738755.000000,-88178810548.000000,467924897.000000,-12573305905.000000,-4564937296.000000,-29831776.000000,37156919750.000000,-136004030432.000000,50000000000.000000,-173645765720.000000,-12708264712.000000,350000000.000000,-136004030432.000000,95887915449.000000,,102473620321.000000,-38106070851.000000,64367549470.000000,,280939642627.000000,-237241728010.000000,43697914617.000000,,,,,-10196437054.000000,,,,,-254943360.000000,-1726168224.000000,,,95887915449.000000,-2959195233.000000,9358976918.000000,6399781685.000000
