Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,93376.95,0.00,0.00,20.06 B,3.75%,5.67%,8.77%,17.45
12M 2020,0.00 B,124052.93,0.00,0.00,28.44 B,4.86%,7.00%,7.51%,3.81
12M 2021,0.00 B,60425.10,0.00,0.00,36.00 B,4.02%,5.04%,7.94%,4.70
12M 2022,2.50 B,8.24,25.00,1.52,47.50 B,4.54%,5.76%,9.12%,5.57
12M 2023,3.06 B,11.10,35.14,2.71,65.61 B,7.30%,8.81%,11.36%,8.59
12M 2024,3.06 B,7.79,62.39,3.54,55.40 B,3.99%,5.97%,7.76%,7.45
