Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pemegang Saham,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,1704878855.000000,,39259981216.000000,39259981216.000000,39259981216.000000,144435100.000000,102185100.000000,42250000.000000,144435100.000000,43771283988.000000,3299319472.000000,88179898631.000000,,780374778.000000,52974922886.000000,,53755297664.000000,141935196295.000000,,,27374654057.000000,,,21811165489.000000,21811165489.000000,,1710853978.000000,852634590.000000,,,3000000000.000000,,,3000000000.000000,,27374654057.000000,23371499114.000000,,,,,,20250000000.000000,3121499114.000000,23371499114.000000,50746153171.000000,,36000000000.000000,,55189043124.000000,,55189043124.000000,55189043124.000000,,91189043124.000000,141935196295.000000,36000.000000
12M 2019,,,3055563729.000000,,41413606753.000000,41413606753.000000,41413606753.000000,16566000.000000,,16566000.000000,16566000.000000,61035359605.000000,6738887984.000000,112259984071.000000,,906874208.000000,133618497218.000000,2277283200.000000,136802654626.000000,249062638697.000000,,,59098341352.000000,,,36481962477.000000,36481962477.000000,,465688829.000000,1123765271.000000,,,21026924775.000000,,,21026924775.000000,,59098341352.000000,25210830166.000000,,19583333333.000000,,,19583333333.000000,2000000000.000000,3627496833.000000,25210830166.000000,84309171518.000000,,100000000000.000000,,64526737858.000000,,64526737858.000000,64526737858.000000,226729321.000000,164753467179.000000,249062638697.000000,100000.000000
12M 2020,,,3497254777.000000,,26535235895.000000,26535235895.000000,26535235895.000000,11114976.000000,,11114976.000000,11114976.000000,63097096629.000000,4204423516.000000,97345125793.000000,,1129161635.000000,143095144390.000000,13688448854.000000,157912754879.000000,255257880672.000000,,,42491330501.000000,,,22782891879.000000,22782891879.000000,,582237486.000000,1862277447.000000,,,15594497000.000000,913957927.000000,755468762.000000,17263923689.000000,,42491330501.000000,35439302240.000000,,14583333333.000000,552739940.000000,3519600000.000000,18655673273.000000,11800000000.000000,4983628967.000000,35439302240.000000,77930632741.000000,,100000000000.000000,,77161389483.000000,,77161389483.000000,77161389483.000000,165858448.000000,177327247931.000000,255257880672.000000,100000.000000
12M 2021,,,2433958123.000000,,26202461390.000000,26202461390.000000,26202461390.000000,726732000.000000,400000000.000000,326732000.000000,726732000.000000,94217176867.000000,6403539485.000000,129983867865.000000,,1458459969.000000,164115618138.000000,5273683784.000000,170847761891.000000,300831629756.000000,,,38737627935.000000,,,20745275533.000000,20745275533.000000,,2089285318.000000,1951853862.000000,,,13088312013.000000,539191817.000000,323709392.000000,13951213222.000000,,38737627935.000000,22233095129.000000,,14480902056.000000,144752889.000000,1222800000.000000,15848454945.000000,,6384640184.000000,22233095129.000000,60970723064.000000,,200000000000.000000,,39246409600.000000,20000000000.000000,19246409600.000000,39246409600.000000,614497092.000000,239860906692.000000,300831629756.000000,200000.000000
12M 2022,,,73479274032.000000,,42101349669.000000,42101349669.000000,42101349669.000000,547364658.000000,,547364658.000000,547364658.000000,107123247999.000000,3174579219.000000,226425815577.000000,,1635039456.000000,218675292715.000000,6971226654.000000,227281558825.000000,453707374402.000000,,,56544808997.000000,11850385.000000,,21066526603.000000,21066526603.000000,,5649231645.000000,1953201820.000000,,,27113040618.000000,285464783.000000,465493143.000000,27863998544.000000,,56544808997.000000,39442079701.000000,,31337366595.000000,390265396.000000,684895588.000000,32412527579.000000,,7029552122.000000,39442079701.000000,95986888698.000000,,250000000000.000000,46997500000.000000,59841353405.000000,20000000000.000000,39841353405.000000,59841353405.000000,881632299.000000,357720485704.000000,453707374402.000000,2500000000.000000
12M 2023,,,9358976918.000000,50000000000.000000,37542989485.000000,37542989485.000000,37542989485.000000,743423170.000000,,743423170.000000,743423170.000000,94254237704.000000,4179906250.000000,196079533527.000000,,1226022223.000000,259148672663.000000,9206056578.000000,269580751464.000000,465660284991.000000,,,42736218974.000000,390298.000000,,18267143862.000000,18267143862.000000,568032450.000000,5249138420.000000,2384518061.000000,,,15415777028.000000,254943360.000000,426168224.000000,16096888612.000000,170107271.000000,42736218974.000000,37237173975.000000,,30130229674.000000,243802581.000000,,30374032255.000000,,6863141720.000000,37237173975.000000,79973392949.000000,,306134143800.000000,18979709605.000000,58988123516.000000,20000000000.000000,38988123516.000000,58988123516.000000,1584915121.000000,385686892042.000000,465660284991.000000,3061341438.000000
12M 2024,,,6399781685.000000,,57705419525.000000,57705419525.000000,57705419525.000000,75279600.000000,,75279600.000000,75279600.000000,76324961901.000000,19321970313.000000,159827413024.000000,,1892765322.000000,420078808135.000000,15656850818.000000,437628424275.000000,597455837299.000000,,,108257490777.000000,43698304915.000000,,33466127358.000000,33466127358.000000,3719520.000000,51618298.000000,2923959201.000000,,,27749433559.000000,227172496.000000,,27976606055.000000,137155430.000000,108257490777.000000,89930861035.000000,,82164122613.000000,16630085.000000,,82180752698.000000,,7750108337.000000,89930861035.000000,198188351812.000000,,306134143800.000000,18979709605.000000,72628664510.000000,25000000000.000000,47628664510.000000,72628664510.000000,1524967572.000000,399267485487.000000,597455837299.000000,3061341438.000000
