Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Lainnya,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Lain-Lainya,Penerimaan Bunga,Pembayaran Untuk:,Beban Bunga,Pajak Penghasilan,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka,Akuisisi Entitas Anak - Setelah Dikurangi Kas Dan Bank Entitas Anak Yang Diakuisisi,Penempatan Investasi Jangka Pendek,Hasil Pelepasan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Uang Muka Aset Tetap,Pengembalian Uang Muka Aset Tetap,Pelepasan Entitas Anak,Pembayaran Uang Muka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Jangka Pendek,Penerimaan,Pembayaran,Total Pinjaman Jangka Pendek,Pembayaran Pinjaman Lembaga Keuangan,Penerimaan Setoran Modal,Penerimaan Setoran Dari Kepentingan Non Pengendali,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan Surat Utang Jangka Menengah,Penerimaan Hasil Penawaran Umum Perdana Saham,Penambahan Setoran Modal Saham,Pembayaran Utang Entitas Anak Yang Diakuisisi,Setoran Modal Saham Oleh Pihak Nonpengendali Pada Entitas Anak,Penerimaan Waran,Penerimaan Pinjaman Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2015,12058258494.000000,360219876264.000000,,-346619233093.000000,,,85938344.000000,,-580293520.000000,-1048029501.000000,-1628323021.000000,12058258494.000000,-58450173683.000000,-149000389.000000,,,-2422173294.000000,,,-55879000000.000000,,,,,-58450173683.000000,60891076854.000000,,67774658691.000000,-71764909058.000000,-3990250367.000000,,,,,,,,73223532607.000000,-8347205386.000000,5000000.000000,,,60891076854.000000,14499161665.000000,2145774359.000000,16644936024.000000
12M 2016,-293020048.000000,441802784598.000000,,-438379850471.000000,,,355034623.000000,,-3076960275.000000,-994028523.000000,-4070988798.000000,-293020048.000000,-19354684246.000000,-19299236246.000000,,,-598000000.000000,,542552000.000000,,,,,,-19354684246.000000,189937296613.000000,,329792954731.000000,-324485016881.000000,5307937850.000000,,,,,-3237892362.000000,,180000000000.000000,58187574014.000000,-50320322889.000000,,,,189937296613.000000,170289592319.000000,16644936024.000000,186934528343.000000
12M 2017,7339928373.000000,385098456061.000000,,-368934371369.000000,,,157640384.000000,,-3258572924.000000,-5723223779.000000,-8981796703.000000,7339928373.000000,-202902053604.000000,-102668028014.000000,,,,,,-100332025590.000000,,,98000000.000000,,-202902053604.000000,24146952805.000000,,336849058643.000000,-316689837393.000000,20159221250.000000,,,,13609742600.000000,-9937254545.000000,,,315243500.000000,,,,,24146952805.000000,-171415172426.000000,186934528343.000000,15519355917.000000
12M 2018,80476055116.000000,683757193919.000000,,-590843755860.000000,,,96811263.000000,,-5190615509.000000,-7343578697.000000,-12534194206.000000,80476055116.000000,-62688361902.000000,-43484874299.000000,,,-18984694568.000000,,,-218793035.000000,,,,,-62688361902.000000,-4398473824.000000,,96900704087.000000,-93155144450.000000,3745559637.000000,,,2000.000000,8597818986.000000,-16783851347.000000,,,41996900.000000,,,,,-4398473824.000000,13389219390.000000,15519355917.000000,28908575307.000000
12M 2019,55995844607.000000,781057844317.000000,,-710762442654.000000,,,167663661.000000,,-7137103633.000000,-7330117084.000000,-14467220717.000000,55995844607.000000,-31533370913.000000,-21508870330.000000,,,,,42529552649.000000,-52554053232.000000,,,,,-31533370913.000000,-12940517326.000000,,595503534681.000000,-606876248773.000000,-11372714092.000000,,,,15000000000.000000,-16598451134.000000,,,30647900.000000,,,,,-12940517326.000000,11521956368.000000,28908575307.000000,40430531675.000000
12M 2020,49908636196.000000,478315094251.000000,,-417173658280.000000,,,48926206.000000,,-5913913850.000000,-5367812131.000000,-11281725981.000000,49908636196.000000,-17712909423.000000,-13374265351.000000,,,,,,-4338644072.000000,,,,,-17712909423.000000,1257292479.000000,,327240567462.000000,-316921090793.000000,10319476669.000000,,,,32314422776.000000,-41376606966.000000,,,,,,,,1257292479.000000,33453019252.000000,40430531675.000000,73883550927.000000
12M 2021,46148740837.000000,560040438649.000000,41711317601.000000,-553058317327.000000,,,2529780027.000000,,-2898577244.000000,-2175900869.000000,-5074478113.000000,46148740837.000000,146414164358.000000,-11028951571.000000,,,,,,157443115929.000000,,,,,146414164358.000000,188673025183.000000,,,-2687012023.000000,-2687012023.000000,,,,200000000000.000000,-8639962794.000000,,,,,,,,188673025183.000000,381235930378.000000,73883550927.000000,455119481305.000000
12M 2022,-40177549344.000000,713502979261.000000,19460879692.000000,-720799597904.000000,-15736930333.000000,-25163048785.000000,17632680272.000000,,-20962349151.000000,-8112162396.000000,-29074511547.000000,-40177549344.000000,-328983218.000000,-6114654780.000000,,,,,,5785671562.000000,,,,,-328983218.000000,53422151.000000,,794686953231.000000,-784546589483.000000,10140363748.000000,,,,183911820258.000000,-193998761855.000000,,,,,,,,53422151.000000,-40453110411.000000,455119481305.000000,414666370894.000000
12M 2023,47385923629.000000,934252814247.000000,18643006619.000000,-835338043358.000000,-18950719572.000000,-17629411543.000000,4722260747.000000,,-25577218446.000000,-12736765065.000000,-38313983511.000000,47385923629.000000,-15858171544.000000,-14717618120.000000,,,,,,-1140553424.000000,,,,,-15858171544.000000,-10479490288.000000,,64787345045.000000,-68498745030.000000,-3711399985.000000,,,,99956145640.000000,-106724235943.000000,,,,,,,,-10479490288.000000,21048261797.000000,414666370894.000000,435714632691.000000
12M 2024,9325140596.000000,694766484467.000000,14922258221.000000,-602888935185.000000,-18571670848.000000,-41972821331.000000,1355070503.000000,,-25478744994.000000,-12806500237.000000,-38285245231.000000,9325140596.000000,-97676453624.000000,-68237453624.000000,200000000000.000000,-199439000000.000000,,,,-30000000000.000000,,,,,-97676453624.000000,-506809323.000000,,10414299933.000000,-5572526527.000000,4841773406.000000,-5348582729.000000,,,,,,,,,,,,-506809323.000000,-88858122351.000000,235714632691.000000,146856510340.000000
