Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Goodwill,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pajak,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Surat Berharga Jangka Menengah,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Tambahan Modal Disetor,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,16644936024.000000,,,4296127738.000000,4296127738.000000,4296127738.000000,,,,28839314160.000000,282320791.000000,50062698713.000000,,30015860.000000,,61341760310.000000,56163602028.000000,117535378198.000000,167598076911.000000,,,16649415708.000000,7500000000.000000,4624472906.000000,,4624472906.000000,1599825389.000000,,1599825389.000000,,646037999.000000,646037999.000000,2279079414.000000,16649415708.000000,18470246707.000000,,1362940081.000000,1362940081.000000,,,17107306626.000000,18470246707.000000,35119662415.000000,,125000000000.000000,7457755538.000000,,,7457755538.000000,,20658958.000000,132478414496.000000,167598076911.000000,1250000000.000000
12M 2016,,,186934528343.000000,,,8486760897.000000,8486760897.000000,8486760897.000000,273926503.000000,273926503.000000,273926503.000000,34796602994.000000,9279395265.000000,239771214002.000000,,62370951.000000,,192087040233.000000,,192149411184.000000,431920625186.000000,,,29636089980.000000,12807937850.000000,1745409147.000000,,1745409147.000000,4169999863.000000,,4169999863.000000,,2986256763.000000,2986256763.000000,7926486357.000000,29636089980.000000,5008875133.000000,,4443489455.000000,4443489455.000000,,,565385678.000000,5008875133.000000,34644965113.000000,,380000000000.000000,17236431598.000000,,,17236431598.000000,,39228475.000000,397275660073.000000,431920625186.000000,3800000000.000000
12M 2017,,,15519355917.000000,,,18786783366.000000,18786783366.000000,18786783366.000000,58300000000.000000,58300000000.000000,58300000000.000000,85290710499.000000,2614846863.000000,180511696645.000000,,33838667.000000,,239363772682.000000,100332025590.000000,339729636939.000000,520241333584.000000,,,94440724056.000000,32967159100.000000,34855061056.000000,,34855061056.000000,10977987958.000000,,10977987958.000000,,10528600309.000000,10528600309.000000,5111915633.000000,94440724056.000000,20018230364.000000,,19082731964.000000,19082731964.000000,,,935498400.000000,20018230364.000000,114458954420.000000,,380286585000.000000,25411679066.000000,,,25411679066.000000,28658500.000000,55456598.000000,405782379164.000000,520241333584.000000,3800000000.000000
12M 2018,,,28908575307.000000,,,32665293885.000000,32665293885.000000,32665293885.000000,13046914858.000000,13046914858.000000,13046914858.000000,92538206782.000000,4149942688.000000,171308933520.000000,,93026900.000000,9233513550.000000,290715142153.000000,100550818625.000000,400592501228.000000,571901434748.000000,,,129218836670.000000,36712718737.000000,62775810576.000000,,62775810576.000000,17378756597.000000,,17378756597.000000,,8652654076.000000,8652654076.000000,3698896684.000000,129218836670.000000,25000098919.000000,,24018340686.000000,24018340686.000000,,,981758233.000000,25000098919.000000,154218935589.000000,,380324764000.000000,37247500267.000000,,,37247500267.000000,32476400.000000,77758492.000000,417682499159.000000,571901434748.000000,3803247640.000000
12M 2019,,,40430531675.000000,,,42419558798.000000,42419558798.000000,42419558798.000000,,,,62917223072.000000,3485368599.000000,149252682144.000000,,119213755.000000,9233513550.000000,268225729856.000000,153104871857.000000,430683329018.000000,579936011162.000000,,,120597236241.000000,25340004645.000000,70472515494.000000,,70472515494.000000,6419862960.000000,,6419862960.000000,,12762345832.000000,12762345832.000000,5602507310.000000,120597236241.000000,31860294083.000000,,30424058242.000000,30424058242.000000,,33506647.000000,1402729194.000000,31860294083.000000,152457530324.000000,,380352621000.000000,46999246459.000000,,,46999246459.000000,35267300.000000,91346079.000000,427478480838.000000,579936011162.000000,3803526210.000000
12M 2020,,,73883550927.000000,,,42130267549.000000,42130267549.000000,42130267549.000000,,,,35720471063.000000,8485933491.000000,160220223030.000000,,161649671.000000,9233513550.000000,268080362792.000000,157443515929.000000,434919041942.000000,595139264972.000000,,,133446046804.000000,35659481314.000000,56614044428.000000,,56614044428.000000,24710680497.000000,,24710680497.000000,,12064627520.000000,12064627520.000000,4397213045.000000,133446046804.000000,24538638711.000000,,22059592364.000000,22059592364.000000,,586381638.000000,1892664709.000000,24538638711.000000,157984685515.000000,,380352621000.000000,56670488356.000000,,,56670488356.000000,35267300.000000,96202801.000000,437154579457.000000,595139264972.000000,3803526210.000000
12M 2021,,,455119481305.000000,,,38433126630.000000,38433126630.000000,38433126630.000000,,,,30227885118.000000,6282811069.000000,530063304122.000000,,47746324.000000,9233513550.000000,268483514251.000000,5923915929.000000,283688690054.000000,813751994176.000000,,,126331232748.000000,32972469291.000000,40879465792.000000,,40879465792.000000,37952094916.000000,,37952094916.000000,,5723404063.000000,5723404063.000000,8803798686.000000,126331232748.000000,222589738149.000000,,19760853027.000000,19760853027.000000,200000000000.000000,1291660019.000000,1537225103.000000,222589738149.000000,348920970897.000000,,380352621000.000000,84321605314.000000,,,84321605314.000000,35267300.000000,121529664.000000,464831023278.000000,813751994175.000000,3803526210.000000
12M 2022,,,414666370894.000000,,,58665633713.000000,58665633713.000000,58665633713.000000,,,,155135237973.000000,2708525304.000000,631175767884.000000,,,9233513550.000000,264314516173.000000,138244367.000000,273686274090.000000,904862041974.000000,,,198183006191.000000,45799845062.000000,94501935305.000000,,94501935305.000000,50438456759.000000,,50438456759.000000,,,,7442769065.000000,198183006191.000000,227082314069.000000,,24037278287.000000,24037278287.000000,200000000000.000000,1646544968.000000,1398490814.000000,227082314069.000000,425265320260.000000,,380352621000.000000,99053369285.000000,3032476400.000000,96020892885.000000,99053369285.000000,35267300.000000,155464129.000000,479596721714.000000,904862041974.000000,3803526210.000000
12M 2023,,,435714632691.000000,,,26252291553.000000,26252291553.000000,26252291553.000000,,,,81416027353.000000,272154076.000000,543655105673.000000,,,9233513550.000000,271070884359.000000,1278797791.000000,281583195700.000000,825238301373.000000,,,117093087153.000000,42088445077.000000,46335502282.000000,,46335502282.000000,20767188076.000000,,20767188076.000000,,,,7901951718.000000,117093087153.000000,221011324018.000000,,17269187984.000000,17269187984.000000,200000000000.000000,2074095425.000000,1668040609.000000,221011324018.000000,338104411171.000000,,380352621000.000000,106562742714.000000,6064952800.000000,100497789914.000000,106562742714.000000,35267300.000000,183259188.000000,487133890202.000000,825238301373.000000,3803526210.000000
12M 2024,,,146856510340.000000,199439000000.000000,,12094170938.000000,12094170938.000000,12094170938.000000,,,,56430456289.000000,290063262.000000,415110200829.000000,,46063615.000000,9233513550.000000,353884235544.000000,30000000000.000000,393163812709.000000,808274013538.000000,,,132361221819.000000,62580501762.000000,,50351093626.000000,50351093626.000000,9018687165.000000,,9018687165.000000,,9325346791.000000,9325346791.000000,1085592475.000000,132361221819.000000,216864016390.000000,,8677770250.000000,8677770250.000000,200000000000.000000,7207437209.000000,978808931.000000,216864016390.000000,349225238209.000000,,380352621000.000000,78515894970.000000,9097429200.000000,69418465770.000000,78515894970.000000,35267300.000000,144992059.000000,459048775329.000000,808274013538.000000,3803526210.000000
