Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,353498295784.000000,-340619206092.000000,12879089692.000000,-5788758037.000000,-4535116983.000000,-1454257268.000000,200616214.000000,-5788758037.000000,7090331655.000000,-580293520.000000,-580293520.000000,,-580293520.000000,6510038135.000000,-1577282271.000000,4932755864.000000,28460297.000000,4961216161.000000,4932755864.000000,4885026900.000000,47728964.000000,4932755864.000000,4961216161.000000,4913207757.000000,48008404.000000,,4961216161.000000
12M 2016,445993417757.000000,-423063351861.000000,22930065896.000000,-7160059878.000000,-7009749995.000000,-2005934858.000000,1855624975.000000,-7160059878.000000,15770006018.000000,-3076960275.000000,-3076960275.000000,,-3076960275.000000,12693045743.000000,-2873879473.000000,9819166270.000000,-23920693.000000,9795245577.000000,9819166270.000000,9802550674.000000,16615596.000000,9819166270.000000,9795245577.000000,9778676060.000000,16569517.000000,,9795245577.000000
12M 2017,395398478530.000000,-369041305333.000000,26357173197.000000,-11324416565.000000,-11023977630.000000,-1248629735.000000,948190800.000000,-11324416565.000000,15032756632.000000,-3258572924.000000,-3258572924.000000,,-3258572924.000000,11774183708.000000,-3533904149.000000,8240279559.000000,-46928968.000000,8193350591.000000,8240279559.000000,8222089779.000000,18189780.000000,8240279559.000000,8193350591.000000,8175247468.000000,18103123.000000,,8193350591.000000
12M 2018,692194495232.000000,-645666837292.000000,46527657940.000000,-22351406378.000000,-22388459948.000000,-3159682294.000000,3196735864.000000,-22351406378.000000,24176251562.000000,-5190615509.000000,-5190615509.000000,,-5190615509.000000,18985636053.000000,-7304354911.000000,11681281142.000000,176839953.000000,11858121095.000000,11681281142.000000,11658981248.000000,22299894.000000,11681281142.000000,11858121095.000000,11835821201.000000,22299894.000000,,11858121095.000000
12M 2019,790812109230.000000,-742425945616.000000,48386163614.000000,-23597618862.000000,-27689163893.000000,-2708250955.000000,6799795986.000000,-23597618862.000000,24788544752.000000,-7137103633.000000,-7137103633.000000,,-7137103633.000000,17651441119.000000,-7822924680.000000,9828516439.000000,-63182660.000000,9765333779.000000,9828516439.000000,9814928852.000000,13587587.000000,9828516439.000000,9765333779.000000,9751746192.000000,13587587.000000,,9765333779.000000
12M 2020,478025803002.000000,-441709455749.000000,36316347253.000000,-14617798929.000000,-28320986402.000000,-1671643701.000000,15374831174.000000,-14617798929.000000,21698548324.000000,-5913913850.000000,-5913913850.000000,,-5913913850.000000,15784634474.000000,-6036414462.000000,9748220012.000000,-72121393.000000,9676098619.000000,9748220012.000000,9743363290.000000,4856722.000000,9748220012.000000,9676098619.000000,9671241897.000000,4856722.000000,,9676098619.000000
12M 2021,556343297730.000000,-492486107707.000000,63857190023.000000,-23487032644.000000,-35357315852.000000,-556890795.000000,12427174003.000000,-23487032644.000000,40370157379.000000,-2898577244.000000,-2898577244.000000,,-2898577244.000000,37471580135.000000,-9948655962.000000,27522924173.000000,153519648.000000,27676443821.000000,27522924173.000000,27497597310.000000,25326863.000000,27522924173.000000,27676443821.000000,27651116958.000000,25326863.000000,,27676443821.000000
12M 2022,733735486344.000000,-673282979661.000000,60452506683.000000,-31996432006.000000,-30451437133.000000,-1544994873.000000,,-31996432006.000000,28456074677.000000,-3329668879.000000,-20962349151.000000,17632680272.000000,-3329668879.000000,25126405798.000000,-10369810663.000000,14756595135.000000,9103301.000000,14765698436.000000,14756595135.000000,14722660670.000000,33934465.000000,14756595135.000000,14765698436.000000,14731763971.000000,33934465.000000,,14765698436.000000
12M 2023,901839472087.000000,-833435732702.000000,68403739385.000000,-45364397197.000000,-42624734494.000000,-2739662703.000000,,-45364397197.000000,23039342188.000000,-2211951080.000000,-25577218446.000000,23365267366.000000,-2211951080.000000,20827391108.000000,-13341095374.000000,7486295734.000000,50872754.000000,7537168488.000000,7486295734.000000,7458500675.000000,27795059.000000,7486295734.000000,7537168488.000000,7509373429.000000,27795059.000000,,7537168488.000000
12M 2024,678904039180.000000,-633279018169.000000,45625021011.000000,-41395183336.000000,-39004374980.000000,-2390808356.000000,,-41395183336.000000,4229837675.000000,-16312325368.000000,-25478744994.000000,9166419626.000000,-16312325368.000000,-12082487693.000000,-15909694150.000000,-27992181843.000000,-92933030.000000,-28085114873.000000,-27992181843.000000,-27954100893.000000,-38080950.000000,-27992181843.000000,-28085114873.000000,-28046847744.000000,-38267129.000000,,-28085114873.000000
