Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,434846810.000000,,1902740816.000000,,,1902740816.000000,,,2337587626.000000,,4701867636.000000,,389394820.000000,,5091262456.000000,7428850082.000000,,,2101909928.000000,,1013556369.000000,,,,,975408809.000000,112944750.000000,,2101909928.000000,999835931.000000,,,,,,999835931.000000,999835931.000000,3101745859.000000,,300000000.000000,-7056204612.000000,11083308835.000000,,,11083308835.000000,,4327104223.000000,7428850082.000000,300.000000
12M 2021,,,395285775.000000,,2937325559.000000,,,2937325559.000000,,,3332611334.000000,,5207000716.000000,,377451793.000000,,5584452509.000000,8917063843.000000,,,2722882943.000000,,1603798789.000000,,,,,903069434.000000,216014720.000000,,2722882943.000000,943591899.000000,,,,,,943591899.000000,943591899.000000,3666474842.000000,,300000000.000000,-10629350201.000000,15376111909.000000,,,15376111909.000000,203827293.000000,5250589001.000000,8917063843.000000,300.000000
12M 2022,,,18698289809.000000,,6310481992.000000,,,6310481992.000000,,14843423477.000000,39852195278.000000,,127368336913.000000,144791665.000000,266338648.000000,1500000.000000,127780967226.000000,167633162504.000000,,,159060484254.000000,,619885193.000000,,3885000.000000,63488835270.000000,63492720270.000000,1004336051.000000,443542740.000000,93500000000.000000,159060484254.000000,1061952721.000000,,,,,,1061952721.000000,1061952721.000000,160122436975.000000,,300000000.000000,-10873090113.000000,17821789211.000000,,,17821789211.000000,262026431.000000,7510725529.000000,167633162504.000000,300.000000
12M 2023,,,12045776325.000000,,2853904631.000000,600856874.000000,2253047757.000000,2853904631.000000,,15860979001.000000,30760659957.000000,,192087453155.000000,595396772.000000,,991135720.000000,193673985647.000000,224434645604.000000,,,13135493840.000000,,5704186515.000000,,15000000.000000,,15000000.000000,3056574322.000000,594045609.000000,3765687394.000000,13135493840.000000,48628553367.000000,,16874545031.000000,,16874545031.000000,210674030.000000,31543334306.000000,48628553367.000000,61764047207.000000,,152220075000.000000,-10873090113.000000,21256776500.000000,93000000.000000,21163776500.000000,21256776500.000000,66837010.000000,162670598397.000000,224434645604.000000,2029601000.000000
12M 2024,,,75272138431.000000,,4026799298.000000,,4026799298.000000,4026799298.000000,285727261.000000,7648430417.000000,87233095407.000000,,200225167073.000000,849147397.000000,,1900564347.000000,202974878817.000000,290207974224.000000,,,10945089345.000000,,2314123146.000000,,297196269.000000,,297196269.000000,3359252827.000000,480428392.000000,4494088711.000000,10945089345.000000,46880353999.000000,,14301083105.000000,583840395.000000,14884923500.000000,758696775.000000,31236733724.000000,46880353999.000000,57825443344.000000,,190470075000.000000,12658121187.000000,28908533807.000000,124000000.000000,28784533807.000000,28908533807.000000,345800886.000000,232382530880.000000,290207974224.000000,2539601000.000000
