Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,28436341540.000000,-16024609083.000000,12411732457.000000,-8899214784.000000,-8899214784.000000,-8899214784.000000,3512517673.000000,-2971800.000000,,-2971800.000000,,-2971800.000000,3509545873.000000,278324970.000000,-111069850.000000,389394820.000000,278324970.000000,3787870843.000000,,,,3787870843.000000,3787870843.000000,3787870843.000000,,3787870843.000000,3787870843.000000,3787870843.000000,,3787870843.000000
12M 2021,29455598626.000000,-17287661107.000000,12167937519.000000,-7813012097.000000,-7813012097.000000,-7813012097.000000,4354925422.000000,-7021600.000000,,-7021600.000000,,-7021600.000000,4347903822.000000,-55100748.000000,-100647470.000000,45546722.000000,-55100748.000000,4292803074.000000,203827293.000000,203827293.000000,203827293.000000,4496630367.000000,4292803074.000000,4292803074.000000,,4292803074.000000,4496630367.000000,4496630367.000000,,4496630367.000000
12M 2022,28175508767.000000,-16089625658.000000,12085883109.000000,-9312543640.000000,-9312543640.000000,-9312543640.000000,2773339469.000000,-11316144.000000,3966118.000000,-15282262.000000,,-11316144.000000,2762023325.000000,-316346023.000000,-221648020.000000,-94698003.000000,-316346023.000000,2445677302.000000,58199138.000000,58199138.000000,58199138.000000,2503876440.000000,2445677302.000000,2445677302.000000,,2445677302.000000,2503876440.000000,2503876440.000000,,2503876440.000000
12M 2023,43090157244.000000,-26710252597.000000,16379904647.000000,-8342307628.000000,-8342307628.000000,-8342307628.000000,8037597019.000000,-3216299049.000000,22888183.000000,-3330965495.000000,91778263.000000,-3216299049.000000,4821297970.000000,-1386310680.000000,-854244576.000000,-532066104.000000,-1386310680.000000,3434987290.000000,-195189421.000000,-195189421.000000,-195189421.000000,3239797869.000000,3434987290.000000,3434987290.000000,,3434987290.000000,3239797869.000000,3239797869.000000,,3239797869.000000
12M 2024,56338316353.000000,-28153404864.000000,28184911489.000000,-14911916706.000000,-14911916706.000000,-14911916706.000000,13272994783.000000,-3473674109.000000,1020773814.000000,-4041391031.000000,-453056892.000000,-3473674109.000000,9799320674.000000,-2147563368.000000,-1678222742.000000,-469340626.000000,-2147563368.000000,7651757306.000000,278963876.000000,278963876.000000,278963876.000000,7930721182.000000,7651757306.000000,7651757306.000000,,7651757306.000000,7930721182.000000,7930721182.000000,,7930721182.000000
