Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2020,,,,,,,,,,,,,120.66,,1.11
12M 2021,29.99,,27.63,2.36,12.17,,,,5.95,,3.6,,48.31,,1.22
12M 2022,59.9,,25.22,34.68,6.09,,,,0.43,,0.32,,-0.24,,0.25
12M 2023,38.81,,43.21,-4.4,9.4,,,,0.27,,0.22,,2.44,,2.34
12M 2024,22.29,1.85,51.98,-27.84,16.38,,197.06,,0.29,,0.22,,0.74,,7.97
