Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Pendapatan Bunga,Pembayaran Pajak Penghasilan - Neto,Pembayaran Untuk Beban Operasi Lainnya,Pembayaran Kepada Karyawan,Pembayaran Beban Keuangan,Pembayaran Kepada Pemasok,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Tetap,Penempatan Pada Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Pemegang Saham,Biaya Transaksi Dibayar Di Muka Atas Penerbitan Saham,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Uang Muka Setoran Modal,Pembayaran Liabilitas Sewa,Penambahan Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kas Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2020,170793124.000000,28600771916.000000,,,-7741722234.000000,-7134890138.000000,-2971800.000000,-13550394620.000000,170793124.000000,-305169727.000000,,,-305169727.000000,,-305169727.000000,,,,,,,,,,,,-134376603.000000,569223413.000000,434846810.000000
12M 2021,2103149132.000000,28421013883.000000,,,-4203065757.000000,-7732958294.000000,-7021600.000000,-14374819100.000000,2103149132.000000,-2142710167.000000,,,-2142710167.000000,,-2142710167.000000,,,,,,,,,,,,-39561035.000000,434846810.000000,395285775.000000
12M 2022,230914551.000000,24802352334.000000,3966118.000000,,-2139483146.000000,-7940353559.000000,-15282262.000000,-14480284934.000000,230914551.000000,-125427910517.000000,-1283220000.000000,-150000000.000000,-123994690517.000000,,-125427910517.000000,143500000000.000000,,,,,50000000000.000000,,93500000000.000000,,,143500000000.000000,18303004034.000000,395285775.000000,18698289809.000000
12M 2023,25038863127.000000,49554006925.000000,22888183.000000,-821561112.000000,-1485480857.000000,-6547782085.000000,-2935715495.000000,-12747492432.000000,25038863127.000000,-75394521505.000000,597004280.000000,-643983200.000000,-75347542585.000000,,-75394521505.000000,43703144894.000000,53641707188.000000,-33642963039.000000,31000000000.000000,-2226838985.000000,-63488835270.000000,,58420000000.000000,,75000.000000,43703144894.000000,-6652513484.000000,18698289809.000000,12045776325.000000
12M 2024,20009179575.000000,55385069183.000000,1020773815.000000,-2992544413.000000,-2158913664.000000,-6678658498.000000,-1810762493.000000,-22755784355.000000,20009179575.000000,-19264602873.000000,686215718.000000,-473070708.000000,-19477747883.000000,,-19264602873.000000,62481785404.000000,,-3282457097.000000,,,,,66810000000.000000,-1045757499.000000,,62481785404.000000,63226362106.000000,12045776325.000000,75272138431.000000
