Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Usaha Operasional Lainnya,Pembayaran Beban Bunga Dan Keuangan,Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Liabilitas Sewa,Pembayaran Utang Pemegang Saham,Penerimaan Utang Pemegang Saham,Pembayaran Biaya Emisi Saham,Agio Saham Dari Penawaran Umum Perdana Saham,Penerimaan Setoran Modal Melalui Penawaran Umum Perdana Saham,Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-2400251147.000000,12612294874.000000,-5550560374.000000,-7596428802.000000,-505767592.000000,-1285020018.000000,-74769235.000000,-2400251147.000000,-2310777959.000000,,-2310777959.000000,-2310777959.000000,4520739078.000000,1450136037.000000,-3078833440.000000,,,6149436481.000000,,,,,4520739078.000000,-190290028.000000,498312824.000000,308022796.000000
12M 2021,623281755.000000,15000076992.000000,-6182575488.000000,-6563312936.000000,-540753639.000000,-1023456446.000000,-66696728.000000,623281755.000000,-3830918208.000000,,-3830918208.000000,-3830918208.000000,3193564291.000000,419120571.000000,-444195298.000000,,,3218639018.000000,,,,,3193564291.000000,-14072162.000000,308022796.000000,293950634.000000
12M 2022,2612804753.000000,22563222107.000000,-5583314185.000000,-10821422200.000000,-1857574067.000000,-1557017689.000000,-131089213.000000,2612804753.000000,-4396051318.000000,,-4396051318.000000,-4396051318.000000,1544047781.000000,253400330.000000,-1254592743.000000,,,2545240194.000000,,,,,1544047781.000000,-239198784.000000,293950634.000000,54751850.000000
12M 2023,3055594574.000000,27035580418.000000,-4956681968.000000,-11084166763.000000,-5467576234.000000,-1978173208.000000,-493387671.000000,3055594574.000000,-4840092895.000000,80020558.000000,-4920113453.000000,-4840092895.000000,2336319987.000000,794528128.000000,-2033869198.000000,-2300000000.000000,-13674338943.000000,,,,,19550000000.000000,2336319987.000000,551821666.000000,54751850.000000,606573516.000000
12M 2024,3161402808.000000,28235480217.000000,-4797739265.000000,-12761069292.000000,-5945273626.000000,-904869815.000000,-665125411.000000,3161402808.000000,-20240388197.000000,,-20240388197.000000,-20240388197.000000,20076592715.000000,5000000000.000000,-3241915148.000000,,,15600000000.000000,-2281492137.000000,,,5000000000.000000,20076592715.000000,2997607326.000000,606573516.000000,3604180842.000000
