Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,10453717523.000000,-4929131308.000000,5524586215.000000,-5893723406.000000,-5942136137.000000,48412731.000000,-5893723406.000000,-369137191.000000,-420097029.000000,-420097029.000000,-420097029.000000,-789234220.000000,-74769235.000000,-109753472.000000,34984237.000000,-74769235.000000,-864003455.000000,,-864003455.000000,,,,-864003455.000000,-864003455.000000,-864003455.000000,,-864003455.000000,-864003455.000000,-864003455.000000,,-864003455.000000
12M 2021,14665244751.000000,-8375879853.000000,6289364898.000000,-6044789260.000000,-6294319266.000000,249530006.000000,-6044789260.000000,244575638.000000,-410558108.000000,-410558108.000000,-410558108.000000,-165982470.000000,-180303906.000000,-87778111.000000,-92525795.000000,-180303906.000000,-346286376.000000,,-346286376.000000,-96287794.000000,-96287794.000000,-96287794.000000,-442574170.000000,-346286376.000000,-346286376.000000,,-346286376.000000,-442574170.000000,-442574170.000000,,-442574170.000000
12M 2022,22610835661.000000,-12180514922.000000,10430320739.000000,-7769923663.000000,-7867454496.000000,97530833.000000,-7769923663.000000,2660397076.000000,-911741557.000000,-911741557.000000,-911741557.000000,1748655519.000000,-387151114.000000,-326159207.000000,-60991907.000000,-387151114.000000,1361504405.000000,,1361504405.000000,58424650.000000,58424650.000000,58424650.000000,1419929055.000000,1361504405.000000,1361504405.000000,,1361504405.000000,1419929055.000000,1419929055.000000,,1419929055.000000
12M 2023,26212236062.000000,-13032005597.000000,13180230465.000000,-9153004072.000000,-9319990674.000000,166986602.000000,-9153004072.000000,4027226393.000000,-1673626770.000000,-1673626770.000000,-1673626770.000000,2353599623.000000,-1083040100.000000,-453155562.000000,-629884538.000000,-1083040100.000000,1270559523.000000,,1270559523.000000,32663883163.000000,32663883163.000000,32663883163.000000,33934442686.000000,1270559523.000000,1270559523.000000,,1270559523.000000,33934442686.000000,33934442686.000000,,33934442686.000000
12M 2024,29069027670.000000,-15318281918.000000,13750745752.000000,-9384850752.000000,-9669504685.000000,284653933.000000,-9384850752.000000,4365895000.000000,-904869815.000000,-904869815.000000,-904869815.000000,3461025185.000000,-236657777.000000,-627256072.000000,390598295.000000,-236657777.000000,3224367408.000000,,3224367408.000000,-24315949.000000,-24315949.000000,-24315949.000000,3200051459.000000,3224367408.000000,3224367408.000000,,3224367408.000000,3200051459.000000,3200051459.000000,,3200051459.000000
