Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Properti Pertambangan,Aset Tak Berwujud,Aset Eksplorasi Dan Evaluasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Pembiayaan,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembelian Aset Tetap,Utang Bank Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,56122138.000000,,,,,4502000000.000000,4502000000.000000,,4502000000.000000,70575869912.000000,75133992050.000000,,,,,,3025063.000000,8568454544.000000,,8571479607.000000,83705471657.000000,,,78892285678.000000,,,,,,,,,78830285678.000000,78830285678.000000,62000000.000000,,,,,,,,78892285678.000000,,,,,,,,,,,78892285678.000000,,5000000000.000000,,-253453375.000000,,-253453375.000000,-253453375.000000,66639354.000000,,4813185979.000000,83705471657.000000,5000.000000
12M 2021,,,2125736182.000000,5016916800.000000,5016916800.000000,,5016916800.000000,26000000000.000000,26000000000.000000,,26000000000.000000,86619211234.000000,119761864216.000000,,296753.000000,,184216667.000000,,,13601679282.000000,,13786192702.000000,133548056918.000000,,,113190813834.000000,,,,,4199078250.000000,4199078250.000000,,,108002624472.000000,108002624472.000000,81000000.000000,908111112.000000,,,,,,,113190813834.000000,1348877.000000,,,,,,1348877.000000,1348877.000000,,1348877.000000,113192162711.000000,,5000000000.000000,,116890404.000000,,116890404.000000,116890404.000000,15239003803.000000,,20355894207.000000,133548056918.000000,5000.000000
12M 2022,,,559728679.000000,2286450437.000000,83964548.000000,2202485889.000000,2286450437.000000,29000000000.000000,29000000000.000000,,29000000000.000000,158622909082.000000,190469088198.000000,,1142822123.000000,61889167.000000,184216667.000000,,,8601679282.000000,11825000000.000000,21815607239.000000,212284695437.000000,,,42239587175.000000,15760000000.000000,,,9092927729.000000,99300000.000000,9192227729.000000,,,10874922054.000000,10874922054.000000,1932405682.000000,1235581968.000000,,,,3244449742.000000,3244449742.000000,,42239587175.000000,5275300210.000000,,,,,,5275300210.000000,5275300210.000000,,5275300210.000000,47514887385.000000,,140000000000.000000,,8430713461.000000,,8430713461.000000,8430713461.000000,16395978342.000000,-56883751.000000,164769808052.000000,212284695437.000000,140000.000000
12M 2023,,,510968304.000000,1125586818.000000,1125586818.000000,,1125586818.000000,2725993926.000000,2725993926.000000,,2725993926.000000,255546359576.000000,259908908624.000000,,206571135.000000,6409124328.000000,,,89700000.000000,3513790000.000000,10635537977.000000,20854723440.000000,280763632064.000000,,,124887392778.000000,19000000000.000000,,,21257318362.000000,26040600.000000,21283358962.000000,,41033595802.000000,19733627981.000000,60767223783.000000,822227692.000000,1313222217.000000,,336204956.000000,,4265156045.000000,4601361001.000000,17099999123.000000,124887392778.000000,2301724398.000000,,,,,78357092.000000,2223367306.000000,2301724398.000000,,2301724398.000000,127189117176.000000,,140000000000.000000,,13346227132.000000,1269307256.000000,12076919876.000000,13346227132.000000,-1024704426.000000,1252992182.000000,153574514888.000000,280763632064.000000,140000.000000
12M 2024,,,1431191215.000000,84677297671.000000,84677297671.000000,,84677297671.000000,16350000.000000,16350000.000000,,16350000.000000,583540380137.000000,669665219023.000000,,362208497.000000,67469081147.000000,,25290264083.000000,4398268000.000000,,23024288675.000000,120544110402.000000,790209329425.000000,,,429876011543.000000,,15000000000.000000,,120569777133.000000,151645660.000000,120721422793.000000,,44019228033.000000,5436428279.000000,49455656312.000000,85000000.000000,5986355924.000000,,848899715.000000,4770025200.000000,1382097313.000000,7001022228.000000,231626554286.000000,429876011543.000000,9303449090.000000,,,,6793285100.000000,537410119.000000,1215321471.000000,8546016690.000000,757432400.000000,9303449090.000000,439179460633.000000,,175000000000.000000,147080000000.000000,33691593718.000000,2269307256.000000,31422286462.000000,33691593718.000000,-6467936258.000000,1726211332.000000,351029868792.000000,790209329425.000000,175000.000000
