Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,,,,-162645210.000000,-162645210.000000,,-162645210.000000,-162645210.000000,-2636617.000000,,-2636617.000000,-2636617.000000,-165281827.000000,,-165281827.000000,,-165281827.000000,-165281827.000000,-146192988.000000,-19088839.000000,-165281827.000000,-165281827.000000,-146192988.000000,-19088839.000000,-165281827.000000
12M 2021,8289288000.000000,-7623184500.000000,666103500.000000,-250948580.000000,-250948580.000000,,-250948580.000000,415154920.000000,9597200.000000,,9597200.000000,9597200.000000,424752120.000000,-78760559.000000,345991561.000000,,345991561.000000,345991561.000000,370343779.000000,-24352218.000000,345991561.000000,345991561.000000,370343779.000000,-24352218.000000,345991561.000000
12M 2022,162045413845.000000,-144487559351.000000,17557854494.000000,-9080025420.000000,-9080025420.000000,,-9080025420.000000,8477829074.000000,-207618259.000000,-2550030386.000000,2342412127.000000,-207618259.000000,8270210815.000000,-1866790785.000000,6403420030.000000,-56883751.000000,6346536279.000000,6403420030.000000,8313823057.000000,-1910403027.000000,6403420030.000000,6346536279.000000,8256939306.000000,-1910403027.000000,6346536279.000000
12M 2023,173220464961.000000,-155589914826.000000,17630550135.000000,-14384372806.000000,-14384372806.000000,,-14384372806.000000,3246177329.000000,640315903.000000,-3674041147.000000,4314357050.000000,640315903.000000,3886493232.000000,-2495436340.000000,1391056892.000000,1252992182.000000,2644049074.000000,1391056892.000000,2483138884.000000,-1092081992.000000,1391056892.000000,2644049074.000000,3736131066.000000,-1092081992.000000,2644049074.000000
12M 2024,1061194664942.0,-994096654218.0,67098010724.0,-34014387920.0,-34014241410.0,-146510.0,-34014387920.0,33083622804.0,-8909120412.0,-5471151834.0,-3437968578.0,-8909120412.0,24174502392.0,-9272367638.0,14902134754.0,473219150.0,15375353904.0,14902134754.0,20345366586.0,-5443231832.0,14902134754.0,15375353904.0,20818585736.0,-5443231832.0,15375353904.0
