Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Penerimaan Kas Dari Pemasok,Pembayaran Untuk Beban Usaha Dan Karyawan,Penerimaan Dari Operasional Lainnya,Pembayaran Untuk Operasional Lainnya,Pembayaran Pajak Penghasilan,Pembayaran Bunga,Pembayaran Bunga Atas Liabilitas Sewa,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Investasi Entitas Anak,Penerimaan Pelepasan Investasi,Perolehan Aset Tetap,Kenaikan Piutang Lain-Lain - Pihak Berelasi,Penempatan Uang Muka Pembelian Aset Tetap,Perolehan Properti Pertambangan,Penerimaan Pelepasan Entitas Anak,Penambahan Aset Eksplorasi Dan Evaluasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Tambahan Modal Disetor Dari Penawaran Umum Perdana,Kenaikan Modal Saham,Kenaikan Utang Lain-Lain - Pihak Ketiga,Pembayaran Utang Pembiayaan,Penerimaan Utang Pembiayaan,Penerimaan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Utang Bank Jangka Panjang,Utang Pembiayaan,Penerimaan,Pembayaran,Total Utang Pembiayaan,Pembayaran Pokok Liabilitas Sewa,Penurunan Utang Pembiayaan Konsumen,Penerimaan / (Pembayaran) Utang Pembiayaan Konsumen,Pembayaran Biaya Emisi,Penambahan Modal Saham,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Akuisisi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2020,-720583662.000000,317679553.000000,-1417265522.000000,500000000.000000,-121596865.000000,599172.000000,,,,,,-720583662.000000,-6826530801.000000,,,,,,,,-6826530801.000000,-6826530801.000000,7544210734.000000,,,,,,,,,,,,,,,,,,,,,,,,,7544210734.000000,,7544210734.000000,-2903729.000000,59025867.000000,,56122138.000000
12M 2021,24387999988.000000,3272371200.000000,-7640612611.000000,28155736928.000000,-230532269.000000,831036740.000000,,,,,,24387999988.000000,-21531224738.000000,,,,-21498000000.000000,,,,-33224738.000000,-21531224738.000000,-1037161206.000000,,,,,,30442229361.000000,-31479390567.000000,,,,,,,,,,,,,,,,,,,,-1037161206.000000,1819614044.000000,56122138.000000,250000000.000000,2125736182.000000
12M 2022,-47499065187.000000,164764644756.000000,-213213133987.000000,4993149479.000000,-2666977558.000000,3061393712.000000,,-1888111203.000000,-305457530.000000,-2244572856.000000,,-47499065187.000000,-145900000.000000,-75000000.000000,,-70900000.000000,,,,,,-145900000.000000,46048636982.000000,,,,-15760000000.000000,30000000000.000000,169776392503.000000,-268404094921.000000,,,,,,,,,,,,,-4563660600.000000,,,,135000000000.000000,,,46048636982.000000,-1596328205.000000,2125736182.000000,30320702.000000,559728679.000000
12M 2023,-21620288574.000000,191323529342.000000,-245773150536.000000,,-8928230734.000000,49122998108.000000,,-3691393607.000000,-2373465277.000000,-1300575870.000000,,-21620288574.000000,11893729604.000000,,,-829980396.000000,,,,16237500000.000000,-3513790000.000000,11893729604.000000,9938377089.000000,,,,,,189939295905.000000,-178868089977.000000,,,,,,,,,,44450000000.000000,-41210000000.000000,3240000000.000000,-3310248887.000000,,-173087952.000000,-889492000.000000,,,,9938377089.000000,211818119.000000,559728679.000000,-260578494.000000,510968304.000000
12M 2024,-229042380916.000000,1192169509252.000000,-1164454779430.000000,,-73658645434.000000,-159537515670.000000,,-18089797800.000000,-4510414546.000000,-960737288.000000,,-229042380916.000000,-99545005540.000000,,,-65324809683.000000,,-15057814174.000000,-18095381683.000000,,-1067000000.000000,-99545005540.000000,329507609367.000000,148750000000.000000,35000000000.000000,,,,722817099062.000000,-579388818069.000000,,30000000000.000000,-15000000000.000000,15000000000.000000,,14310075000.000000,-2746764700.000000,11563310300.000000,,26275000000.000000,-45275000000.000000,-19000000000.000000,-3735221712.000000,,-620752214.000000,-878008000.000000,,,,329507609367.000000,920222911.000000,510968304.000000,,1431191215.000000
