Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Bunga Dan Komisi,Pembayaran Bunga,Pendapatan (Beban) Operasional,Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Total Pendapatan (Beban) Operasional,Laba Selisih Kurs,Beban Tenaga Kerja,Beban Adminstrasi Dan Umum,Pembayaran Beban Operasional,Pembayaran Beban Pajak Penghasilan,Pendapatan (Beban) Non Operasional - Bersih,Pendapatan Non Operasional,Beban Non Operasional,Total Pendapatan (Beban) Non Operasional - Bersih,Perubahan Dalam Aset Dan Liabilitas Operasi :,Penurunan (Kenaikan) Aset Operasi :,Surat Berharga Yang Dimiliki Dan Tagihan Lainnya,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek,Pinjaman Yang Diberikan,Agunan Diambil Alih,Tagihan Akseptasi,Biaya Dibayar Dimuka,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi :,Kenaikan (Penurunan) Liabilitas Operasi :,Simpanan Nasabah,Giro,Tabungan,Deposito Berjangka,Sertifikat Deposito,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Biaya Yang Masih Harus Dibayar,Liabilitas Imbalan Kerja,Derivatif,Kenaikan Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Utang Pajak,Liabilitas Lain-Lain,Pajak Penghasilan,Total Kenaikan (Penurunan) Liabilitas Operasi :,Total Perubahan Dalam Aset Dan Liabilitas Operasi :,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penempatan Dari Bank Lain,Penerimaan Dari Efek-Efek Yang Telah Jatuh Tempo Yang Nilai Wajar Diukur Melalui Penghasilan Komprehensif Lain,Penerimaan Dari Efek-Efek Yang Diukur Pada Biaya Perolehan Diamortisasi Yang Telah Jatuh Tempo,Pembelian Efek-Efek Yang Diukur Pada Biaya Perolehan Diamortisasi,Pembelian Efek-Efek Yang Nilai Wajar Diukur Melalui Penghasilan Komprehensif Lain,Penjualan (Pembelian) Efek-Efek Yang Tersedia Untuk Dijual,Penerimaan Dari Efek-Efek Yang Tersedia Untuk Dijual Yang Jatuh Tempo,Penerimaan Dari Efek-Efek Dimiliki Hingga Jatuh Tempo,Pembelian Efek-Efek Yang Dibeli Hingga Jatuh Tempo,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Penerimaan Uang Muka Setoran Modal,Penambahan Modal,Pembayaran Biaya Emisi Saham,Pembayaran Liabilitas Sewa,Kenaikan (Penurunan) Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Dana Setoran Modal,Penerbitan Surat Berharga,Pembayaran Dividen,Penerimaan Pinjaman Yang Diterima,Pembayaran Pinjaman Yang Diterima,Perubahan Modal,Penerimaan Dari Penerbitan Obligasi,Pembayaran Obligasi Subordinasi,Pembayaran Atas Efek Utang Yang Diterbitkan,Pembayaran Biaya Transaksi Utang,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,103570932000.000000,618684235000.000000,-321551633000.000000,-29420943000.000000,,,-29420943000.000000,1109307000.000000,-115188391000.000000,-24703810000.000000,,,1958000.000000,,,1958000.000000,,,-46809993000.000000,-34203774000.000000,,-912727233000.000000,9302768000.000000,,,-40676904000.000000,-1025115136000.000000,,,-22096532000.000000,43176989000.000000,1001987676000.000000,-4870001000.000000,1018198132000.000000,,,,,,-18509704000.000000,66917000.000000,,999755345000.000000,-25359791000.000000,,103570932000.000000,-67599339000.000000,3147158000.000000,-70746497000.000000,,,,,,,,,,-67599339000.000000,-12373723000.000000,,,,,,,,,-12882660000.000000,,,,508937000.000000,,,,,-12373723000.000000,,23597870000.000000,245894145000.000000,269492015000.000000
12M 2009,173034791000.000000,924611160000.000000,-528501936000.000000,49573570000.000000,,,49573570000.000000,-513046000.000000,-142123299000.000000,-134283835000.000000,,,1968146000.000000,,,1968146000.000000,,,-910377233000.000000,-43747325000.000000,,-1079440444000.000000,-17536220000.000000,-1508462000.000000,,-16137608000.000000,-2068747292000.000000,,,31316584000.000000,266752954000.000000,1773870466000.000000,1970388000.000000,2073910392000.000000,,,,,,-17603844000.000000,14744775000.000000,,2071051323000.000000,2304031000.000000,,173034791000.000000,-25415886000.000000,479300000.000000,-25895186000.000000,,,,,,,,,,-25415886000.000000,-31631816000.000000,,,,,,,,,-15459192000.000000,,,,-16172624000.000000,,,,,-31631816000.000000,,115987089000.000000,269492015000.000000,385479104000.000000
12M 2010,553215202000.000000,1041638644000.000000,-558330207000.000000,416396582000.000000,,,416396582000.000000,1083615000.000000,-170355730000.000000,-159234566000.000000,,,-13136751000.000000,,,-13136751000.000000,,,700514383000.000000,-1555161564000.000000,,-888880685000.000000,36232185000.000000,519185000.000000,,-326676227000.000000,-2033452723000.000000,,,301374979000.000000,294226744000.000000,1211508181000.000000,-51255139000.000000,1755854765000.000000,283335816000.000000,,,,,6234773000.000000,-16819016000.000000,,2028606338000.000000,-4846385000.000000,,553215202000.000000,-30453841000.000000,4558368000.000000,-35012209000.000000,,,,,,,,,,-30453841000.000000,294410560000.000000,350408352000.000000,,,,,,,,,,,,-55997792000.000000,,,,,294410560000.000000,-3785709000.000000,813386212000.000000,1750734829000.000000,2564121041000.000000
12M 2011,337390888000.000000,1275624689000.000000,-697110975000.000000,-196140348000.000000,,,-196140348000.000000,,,,-395956530000.000000,,-6895004000.000000,,,-6895004000.000000,,,,307984791000.000000,-11492995000.000000,-2628127596000.000000,,-16225514000.000000,,58667091000.000000,-2289194223000.000000,,,84740370000.000000,305274210000.000000,2413752115000.000000,67060633000.000000,2870827328000.000000,-284186964000.000000,,,,,30602955000.000000,29819960000.000000,,2647063279000.000000,357869056000.000000,,337390888000.000000,-361182267000.000000,4025000000.000000,-365207267000.000000,,,,,,,,,,-361182267000.000000,1266599000.000000,,,,,,,,,,,,,1266599000.000000,,,,,1266599000.000000,,-22524780000.000000,2564121042000.000000,2541596262000.000000
12M 2012,1291302883000.000000,1549810255000.000000,-806534288000.000000,482063304000.000000,,,482063304000.000000,,,,-479044799000.000000,,-68089000.000000,,,-68089000.000000,,,,-384354964000.000000,124728267000.000000,-3561472244000.000000,,16279674000.000000,,-116815650000.000000,-3921634917000.000000,,,159614273000.000000,494922592000.000000,3885844355000.000000,-47020138000.000000,4493361082000.000000,-7458996000.000000,,,,,-3708146000.000000,-15482523000.000000,,4466711417000.000000,545076500000.000000,,1291302883000.000000,-38328780000.000000,129945000.000000,-38458725000.000000,,,,,,,,,,-38328780000.000000,-529922669000.000000,,,,,,,,,-83479636000.000000,,,,-446443033000.000000,,,,,-529922669000.000000,,723051434000.000000,2541596260000.000000,3264647694000.000000
12M 2013,87334325000.000000,2231221086000.000000,-1216524711000.000000,,44189813000.000000,-517052085000.000000,-472862272000.000000,,,,,,,3079131000.000000,-409490000.000000,2669641000.000000,,,,,-442974487000.000000,-5468311657000.000000,,-11190101000.000000,,31031109000.000000,-5891445136000.000000,,,189779256000.000000,-38421163000.000000,5352665834000.000000,-7603125000.000000,5496420802000.000000,1774384000.000000,,,,,39792883000.000000,29577878000.000000,-133290230000.000000,5434275717000.000000,-457169419000.000000,,87334325000.000000,-32031933000.000000,10101000.000000,-32042034000.000000,,,,,,,,,,-32031933000.000000,882453422000.000000,261276024000.000000,,,,,,,,-98938829000.000000,,,38647980000.000000,681468247000.000000,,,,,882453422000.000000,,937755814000.000000,3264647694000.000000,4202403508000.000000
12M 2014,2547684085000.000000,3472808499000.000000,-2336227559000.000000,,41206404000.000000,-635257297000.000000,-594050893000.000000,,,,,,,340025000.000000,-21047000.000000,318978000.000000,,,,,-916663982000.000000,-8321838260000.000000,,12315355000.000000,,-32812758000.000000,-9258999645000.000000,,,1233375332000.000000,1475604867000.000000,8589084295000.000000,52017464000.000000,11350081958000.000000,24430814000.000000,,,,,-3030911000.000000,27500457000.000000,-135147613000.000000,11263834705000.000000,2004835060000.000000,,2547684085000.000000,-68187900000.000000,12370500000.000000,-80558400000.000000,,,,,,,,,,-68187900000.000000,235752617000.000000,,,,,,,,,,,,,235752617000.000000,,,,,235752617000.000000,,2715248802000.000000,4202403508000.000000,6917652310000.000000
12M 2015,1709425744000.000000,4710018092000.000000,-3275746336000.000000,,43058808000.000000,-703171927000.000000,-660113119000.000000,,,,,,,477693000.000000,-92597000.000000,385096000.000000,,,,,,-8238155859000.000000,,,,145901702000.000000,-8092254157000.000000,,,169076923000.000000,1150184111000.000000,7947687411000.000000,-16653460000.000000,9250294985000.000000,-25065012000.000000,,,,,-9010291000.000000,33851497000.000000,-222935011000.000000,9027136168000.000000,934882011000.000000,,1709425744000.000000,-344362898000.000000,12850000.000000,-234174079000.000000,,,,,,-110201669000.000000,,,,-344362898000.000000,1147662268000.000000,1068930662000.000000,,82610057000.000000,-3878451000.000000,,,,,,,,,,,,,,1147662268000.000000,,2512725114000.000000,6935652310000.000000,9448377424000.000000
12M 2016,-978497730000.000000,6136063312000.000000,-3535721962000.000000,,33400740000.000000,-911835137000.000000,-878434397000.000000,,,,,,,361635000.000000,109880000.000000,471515000.000000,,,,,-418959550000.000000,-12969046570000.000000,,,-71881277000.000000,95212583000.000000,-13364674814000.000000,,,1201232392000.000000,65219624000.000000,9167109019000.000000,-50632451000.000000,10382928584000.000000,453648475000.000000,,,,,2348682000.000000,12286493000.000000,-187413618000.000000,10663798616000.000000,-2700876198000.000000,,-978497730000.000000,-147440086000.000000,357022701000.000000,-107635624000.000000,,,,,,-2136827163000.000000,1740000000000.000000,,,-147440086000.000000,899653027000.000000,,,1002314657000.000000,-3659998000.000000,,,,,-99001632000.000000,,,,,,,,,899653027000.000000,,-226284789000.000000,9448377424000.000000,9222092635000.000000
12M 2017,2350025483000.000000,6705146965000.000000,-4307449607000.000000,,38940602000.000000,-1024278175000.000000,-985337573000.000000,,,,,,,6246755000.000000,-84025000.000000,6162730000.000000,,,,,-255970619000.000000,-9222829949000.000000,,,10363609000.000000,27310279000.000000,-9441126680000.000000,,,-743640932000.000000,2560044365000.000000,9175267385000.000000,1479668000.000000,10993150486000.000000,-455650412000.000000,,,,,4298581000.000000,48905201000.000000,-218074208000.000000,10372629648000.000000,931502968000.000000,,2350025483000.000000,-2432877015000.000000,1494214000.000000,-143099289000.000000,,,,,,-4464693981000.000000,2243422041000.000000,,-70000000000.000000,-2432877015000.000000,2462026452000.000000,,,1000264934000.000000,-3245790000.000000,,,,,-196773430000.000000,669354667000.000000,,,1000000000000.000000,,,-7573929000.000000,,2462026452000.000000,,2379174920000.000000,9222092635000.000000,11601267555000.000000
