Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Laba (Rugi) Selisih Kurs,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Pembentukan Cadangan Kerugian Penurunan Nilai,Beban Umum Dan Administrasi,Beban Penyusutan,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,630883506000.000000,596296652000.000000,34586854000.000000,630883506000.000000,-330096466000.000000,300787040000.000000,-240790395000.000000,,1743056000.000000,1109307000.000000,,6454008000.000000,9306371000.000000,,-115188391000.000000,,-97290367000.000000,,-37618008000.000000,-250096766000.000000,-240790395000.000000,59996645000.000000,154774000.000000,,,152629000.000000,2145000.000000,154774000.000000,60151419000.000000,-19186238000.000000,-20322154000.000000,1135916000.000000,-19186238000.000000,40965181000.000000,,,,,40965181000.000000,40965181000.000000,,40965181000.000000,,,,
12M 2009,918893031000.000000,880021674000.000000,38871357000.000000,918893031000.000000,-529088036000.000000,389804995000.000000,-332139158000.000000,,5746847000.000000,-513046000.000000,,9159654000.000000,14393455000.000000,,-142123299000.000000,,-134283837000.000000,,-70125477000.000000,-346532613000.000000,-332139158000.000000,57665837000.000000,2031111000.000000,,,1985269000.000000,45842000.000000,2031111000.000000,59696948000.000000,-18597979000.000000,-19660339000.000000,1062360000.000000,-18597979000.000000,41098969000.000000,,,,,41098969000.000000,41098969000.000000,,41098969000.000000,,,,
12M 2010,1050087324000.000000,1050087324000.000000,,1050087324000.000000,-567061088000.000000,483026236000.000000,-377765168000.000000,,2609752000.000000,1083615000.000000,,17569934000.000000,21263301000.000000,,-170355730000.000000,,-159234566000.000000,,-69438173000.000000,-399028469000.000000,-377765168000.000000,105261068000.000000,494461000.000000,,,522308000.000000,-27847000.000000,494461000.000000,105755529000.000000,-28801307000.000000,-29360357000.000000,559050000.000000,-28801307000.000000,76954222000.000000,,,,,76954222000.000000,76954222000.000000,,76954222000.000000,,,,
12M 2011,1267878652000.000000,1267878652000.000000,,1267878652000.000000,-714106654000.000000,553771998000.000000,-323874713000.000000,,3991848000.000000,3071842000.000000,-23928145000.000000,92337587000.000000,75473132000.000000,,-221908699000.000000,,-174047831000.000000,,-3391315000.000000,-399347845000.000000,-323874713000.000000,229897285000.000000,579996000.000000,579996000.000000,,,,579996000.000000,230477281000.000000,-59201846000.000000,-47189101000.000000,-12012745000.000000,-59201846000.000000,171275435000.000000,8921132000.000000,8921132000.000000,8921132000.000000,180196567000.000000,171275435000.000000,171275435000.000000,,171275435000.000000,180196567000.000000,180196567000.000000,,180196567000.000000
12M 2012,1563359296000.000000,1563359296000.000000,,1563359296000.000000,-821145184000.000000,742214112000.000000,-391134877000.000000,,4440645000.000000,2811008000.000000,-86303916000.000000,171535043000.000000,92482780000.000000,,-259726649000.000000,,-219318150000.000000,,-4572858000.000000,-483617657000.000000,-391134877000.000000,351079235000.000000,61632000.000000,138596000.000000,-76964000.000000,,,61632000.000000,351140867000.000000,-87851541000.000000,-89523419000.000000,1671878000.000000,-87851541000.000000,263289326000.000000,2333549000.000000,2333549000.000000,2333549000.000000,265622875000.000000,263289326000.000000,263289326000.000000,,263289326000.000000,265622875000.000000,265622875000.000000,,265622875000.000000
12M 2013,2255017374000.000000,2255017374000.000000,,2255017374000.000000,-1251644692000.000000,1003372682000.000000,-496418076000.000000,,5242484000.000000,5908277000.000000,-41102130000.000000,94955074000.000000,65003705000.000000,,-302880359000.000000,,-252606681000.000000,,-5934741000.000000,-561421781000.000000,-496418076000.000000,506954606000.000000,2673644000.000000,3086952000.000000,-413308000.000000,,,2673644000.000000,509628250000.000000,-124276751000.000000,-133290230000.000000,9013479000.000000,-124276751000.000000,385351499000.000000,-19751587000.000000,-19751587000.000000,-19751587000.000000,365599912000.000000,385351499000.000000,385351499000.000000,,385351499000.000000,365599912000.000000,365599912000.000000,,365599912000.000000
12M 2014,3564517203000.000000,3564517203000.000000,,3564517203000.000000,-2399277178000.000000,1165240025000.000000,-588314342000.000000,,8796341000.000000,3131358000.000000,-1493385000.000000,83563805000.000000,93998119000.000000,,-373916653000.000000,,-301469666000.000000,,-6926142000.000000,-682312461000.000000,-588314342000.000000,576925683000.000000,3402781000.000000,3423828000.000000,-21047000.000000,,,3402781000.000000,580328464000.000000,-144766522000.000000,-135147613000.000000,-9618909000.000000,-144766522000.000000,435561942000.000000,4347732000.000000,4347732000.000000,4347732000.000000,439909674000.000000,435561942000.000000,435561942000.000000,,435561942000.000000,439909674000.000000,439909674000.000000,,439909674000.000000
12M 2015,5002093789000.000000,5002093789000.000000,,5002093789000.000000,-3306066192000.000000,1696027597000.000000,-818209612000.000000,,8249926000.000000,4151234000.000000,-79290275000.000000,36570636000.000000,-30318479000.000000,,-476065628000.000000,,-303533152000.000000,,-8292353000.000000,-787891133000.000000,-818209612000.000000,877817985000.000000,394853000.000000,497023000.000000,-102170000.000000,,,394853000.000000,878212838000.000000,-225888202000.000000,-225888202000.000000,,-225888202000.000000,652324636000.000000,5901911000.000000,5901911000.000000,5901911000.000000,658226547000.000000,652324636000.000000,652324636000.000000,,652324636000.000000,658226547000.000000,658226547000.000000,,658226547000.000000
12M 2016,6029020643000.000000,6029020643000.000000,,6029020643000.000000,-3611373461000.000000,2417647182000.000000,-1378413611000.000000,,8313290000.000000,1567729000.000000,-384636050000.000000,22241947000.000000,-352513084000.000000,,-614366698000.000000,,-400289562000.000000,,-11244267000.000000,-1025900527000.000000,-1378413611000.000000,1039233571000.000000,47965979000.000000,48010379000.000000,-44400000.000000,,,47965979000.000000,1087199550000.000000,-267008727000.000000,-267008727000.000000,,-267008727000.000000,820190823000.000000,746555683000.000000,746555683000.000000,746555683000.000000,1566746506000.000000,820190823000.000000,820190823000.000000,,820190823000.000000,1566746506000.000000,1566746506000.000000,,1566746506000.000000
12M 2017,6984499210000.000000,6984499210000.000000,,6984499210000.000000,-4384398419000.000000,2600100791000.000000,-1697473203000.000000,,9726194000.000000,1758825000.000000,-553394557000.000000,42170210000.000000,-499739328000.000000,,-694561126000.000000,,-492247814000.000000,,-10924935000.000000,-1197733875000.000000,-1697473203000.000000,902627588000.000000,7518345000.000000,7670180000.000000,-151835000.000000,,,7518345000.000000,910145933000.000000,-234740980000.000000,-234740980000.000000,,-234740980000.000000,675404953000.000000,14252364000.000000,14252364000.000000,14252364000.000000,689657317000.000000,675404953000.000000,675404953000.000000,,675404953000.000000,689657317000.000000,689657317000.000000,,689657317000.000000
