Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Operasional Lainnya,Pembayaran Kepada Karyawan,Penerimaan Penghasilan Keuangan,Penerimaan Pajak Penghasilan Badan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Peningkatan Piutang Plasma,Perolehan Aset Tetap,Penjualan Pembibitan,Penambahan Tanaman Perkebunan Belum Menghasilkan,Perolehan Pembibitan,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Penjualan Properti Investasi,Perolehan Tanaman Produktif Menghasilkan,Penjualan Aset Tetap,Penjualan Aset Pengampunan Pajak,Pembayaran Uang Muka Investasi,Penambahan Modal Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Tunai,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Beban Keuangan,Pembayaran Utang Pihak Berelasi,Peningkatan Modal Saham,Penerimaan Utang Pihak Berelasi,Penerimaan Bunga Pinjaman Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Penerimaan Piutang Pihak Berelasi,Pembayaran Liabilitas Pembiayaan Konsumen,Pembayaran Liabilitas Sewa Pembiayaan,Tambahan Modal Disetor,Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,157863379470.000000,490558028841.000000,-217509886694.000000,-98709418371.000000,728431594.000000,,-17203775900.000000,157863379470.000000,-183948036408.000000,-7591606427.000000,-31700180019.000000,19477272.000000,-128592706473.000000,-4493464463.000000,-11592556298.000000,,,3000000.000000,,,,-183948036408.000000,-51763510320.000000,,58333500000.000000,-58475299262.000000,-76301013486.000000,,,29905362933.000000,,-3353000000.000000,195000000.000000,-2068060505.000000,,,,-51763510320.000000,-77848167258.000000,105034399505.000000,27186232247.000000
12M 2020,240201830321.000000,605585124602.000000,-244701762048.000000,-120379119744.000000,905194018.000000,7858117693.000000,-9065724200.000000,240201830321.000000,-76796031030.000000,-5047511969.000000,-42242617870.000000,109477274.000000,-20077236982.000000,-4116739259.000000,-5634402224.000000,,,,213000000.000000,,,-76796031030.000000,-148740390265.000000,,55160000000.000000,-119413025894.000000,-72467940303.000000,-50725882933.000000,41000000000.000000,,,-48399637067.000000,37437820464.000000,-1581724532.000000,,10250000000.000000,,-148740390265.000000,14665409026.000000,27186232247.000000,41851641273.000000
12M 2021,390318298080.000000,893932052505.000000,-380574173964.000000,-92723620034.000000,1128380058.000000,,-31444340485.000000,390318298080.000000,-85119230303.000000,-6622839760.000000,-36167400911.000000,598283470.000000,-20599374887.000000,-7646055162.000000,-14728632636.000000,,,46789583.000000,,,,-85119230303.000000,18450737470.000000,-51250000000.000000,810000000000.000000,-680995464249.000000,-81443894039.000000,,,,,,24379637067.000000,-2239541309.000000,,,,18450737470.000000,323649805247.000000,41851641273.000000,365501446520.000000
12M 2022,401335531740.000000,964335760313.000000,-349344366750.000000,-130066975219.000000,3915326310.000000,,-87504212914.000000,401335531740.000000,-238442160591.000000,-8983881747.000000,-134416655133.000000,426484591.000000,-32381431305.000000,-8763942437.000000,-54322734560.000000,,,,,,,-238442160591.000000,-264660741850.000000,-71750000000.000000,50000000000.000000,-176471400841.000000,-54083021029.000000,,,,,-6688411786.000000,,-5667908194.000000,,,,-264660741850.000000,-101767370701.000000,365501446520.000000,263734075819.000000
12M 2023,192491057415.000000,886856617149.000000,-487937220921.000000,-116341629612.000000,2130273178.000000,,-92216982379.000000,192491057415.000000,-251704833306.000000,-15348993389.000000,-136372002283.000000,1768332387.000000,-44943957682.000000,-9954223006.000000,-46853989333.000000,,,,,,,-251704833306.000000,-179154962514.000000,,,-135850000000.000000,-48452423687.000000,,,5178070253.000000,,,7741866157.000000,-7772475237.000000,,,,-179154962514.000000,-238368738405.000000,263734075819.000000,25365337414.000000
12M 2024,332807671572.000000,1052120417881.000000,-466404351698.000000,-197913037689.000000,1979497439.000000,,-56974854361.000000,332807671572.000000,-306085734594.000000,-7191242458.000000,-227648478689.000000,1285800114.000000,-37609342998.000000,-11166042326.000000,-21890828237.000000,,-1865600000.000000,,,,,-306085734594.000000,81181076444.000000,-29991500000.000000,350000000000.000000,-164007000000.000000,-59590142566.000000,,,-5178070253.000000,,,-4121217896.000000,-5930992841.000000,,,,81181076444.000000,107903013422.000000,25365337414.000000,133268350836.000000
