Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,492295715775.000000,-300455411236.000000,191840304539.000000,-106074146359.000000,-106074146359.000000,-106074146359.000000,85766158180.000000,-37965226088.000000,-76763834.000000,728431594.000000,-63659288872.000000,25042395024.000000,-37965226088.000000,47800932092.000000,-19024718202.000000,-19024718202.000000,-19024718202.000000,384465283.000000,29160679173.000000,-1790587493.000000,-1790587493.000000,-1790587493.000000,27370091680.000000,29160679173.000000,29160679173.000000,,,29160679173.000000,27370091680.000000,27370091680.000000,,27370091680.000000
12M 2020,607253410714.000000,-341326332910.000000,265927077804.000000,-118206172143.000000,-118206172143.000000,-118206172143.000000,147720905661.000000,-57289217573.000000,35153969.000000,1995040466.000000,-64252825921.000000,4933413913.000000,-57289217573.000000,90431688088.000000,-18065038750.000000,-18065038750.000000,-18065038750.000000,,72366649338.000000,-9520955477.000000,-9520955477.000000,-9520955477.000000,62845693861.000000,72366649338.000000,72366649338.000000,,,72366649338.000000,62845693861.000000,62845693861.000000,,62845693861.000000
12M 2021,895867536708.000000,-388135360514.000000,507732176194.000000,-119181537740.000000,-119181537740.000000,-119181537740.000000,388550638454.000000,-51424923051.000000,11919532.000000,2839696306.000000,-73737126496.000000,19460587607.000000,-51424923051.000000,337125715403.000000,-77475426606.000000,-77475426606.000000,-77475426606.000000,,259650288797.000000,611101202.000000,611101202.000000,611101202.000000,260261389999.000000,259650288797.000000,259650288797.000000,,,259650288797.000000,260261389999.000000,260261389999.000000,,260261389999.000000
12M 2022,970572083452.000000,-398812740162.000000,571759343290.000000,-175585629496.000000,-175585629496.000000,-175585629496.000000,396173713794.000000,-66033563109.000000,106810398.000000,6051547025.000000,-50138090195.000000,-22053830337.000000,-66033563109.000000,330140150685.000000,-77733481954.000000,-77733481954.000000,-77733481954.000000,,252406668731.000000,1162352843.000000,1162352843.000000,1162352843.000000,253569021574.000000,252406668731.000000,252406668731.000000,,,252406668731.000000,253569021574.000000,253569021574.000000,,253569021574.000000
12M 2023,875512425564.000000,-475925979487.000000,399586446077.000000,-177743806565.000000,-177743806565.000000,-177743806565.000000,221842639512.000000,-23268102682.000000,94126022.000000,2983918128.000000,-45627881308.000000,19281734476.000000,-23268102682.000000,198574536830.000000,-52435547763.000000,-52435547763.000000,-52435547763.000000,,146138989067.000000,5920684976.000000,5920684976.000000,5920684976.000000,152059674043.000000,146138989067.000000,146138989067.000000,,,146138989067.000000,152059674043.000000,152059674043.000000,,152059674043.000000
12M 2024,1066759270113.000000,-582895222730.000000,483864047383.000000,-220236052634.000000,-220236052634.000000,-220236052634.000000,263627994749.000000,26057683673.000000,53553301.000000,4257397425.000000,-59771775122.000000,81518508069.000000,26057683673.000000,289685678422.000000,-74830790289.000000,-74830790289.000000,-74830790289.000000,,214854888133.000000,-1489689867.000000,-1489689867.000000,-1489689867.000000,213365198266.000000,214854888133.000000,214854888133.000000,,,214854888133.000000,213365198266.000000,213365198266.000000,,213365198266.000000
