Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi,Pembayaran (Penerimaan) Pajak,Pembayaran Bunga,Penerimaan Bunga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Atas Pembelian Aset Tetap,Pembayaran Uang Muka Proyek,Perolehan Aset Tak Berwujud,Perolehan Aset Hak Guna,Penerimaan Piutang Non-Usaha Pihak Berelasi,Pembayaran Piutang Non-Usaha Pihak Berelasi,Penerimaan Dana Atas Pelepasan Investasi Entitas Asosiasi,Penerimaan Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham Baru,Penambahan Hak Penerbitan Anak Perusahaan,Penambahan Modal Saham,Pembayaran Untuk Akuisisi Kepentingn Non Pengendali,Pembayaran Biaya Emisi Saham,Pembayaran Utang Sewa Pembiayaan,(Pembayaran) Penerimaan Piutang Non Usaha Dari Pihak Berelasi,Penerimaan Dari Eksekusi Waran Seri I,(Pembayaran) Penerimaan Utang Non-Usaha Pihak Berelasi,Penerimaan Utang Non-Usaha Pihak Berelasi,Pembayaran Utang Non-Usaha Pihak Berelasi,Total (Pembayaran) Penerimaan Utang Non-Usaha Pihak Berelasi,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-481630949.000000,7255324326.000000,-3685739760.000000,-2169423512.000000,,-10158200.000000,-1872140606.000000,506803.000000,,-481630949.000000,-389025330.000000,-162068834.000000,-335715000.000000,,,,109781504.000000,-1023000.000000,,,-389025330.000000,716779768.000000,,,,,,-52208348.000000,,,,3415894011.000000,-2646905895.000000,768988116.000000,,716779768.000000,,-153876511.000000,,269630926.000000,115754415.000000
12M 2021,323284313.000000,7678726158.000000,-4321294342.000000,-1947159303.000000,,-8769146.000000,-1078400281.000000,181227.000000,,323284313.000000,-605802807.000000,-1800000.000000,,,,,506258197.000000,-1175261004.000000,,65000000.000000,-605802807.000000,243707070.000000,,,,,,-32000000.000000,,,,743406493.000000,-467699423.000000,275707070.000000,,243707070.000000,,-38811424.000000,,115754415.000000,76942991.000000
12M 2022,-1441549638.000000,18812373533.000000,-14495748808.000000,-4841373989.000000,,,-917223628.000000,423254.000000,,-1441549638.000000,17825737496.000000,-1455461485.000000,-3183869129.000000,,,,27635037711.000000,-5169969601.000000,,,17825737496.000000,-15244379350.000000,,,15600008000.000000,,,-111456619.000000,,,,10843618624.000000,-41536549355.000000,-30692930731.000000,-40000000.000000,-15244379350.000000,,1139808508.000000,,76942991.000000,1216751499.000000
12M 2023,-5336256626.000000,39615146677.000000,-30676860712.000000,-8937397297.000000,,-4777017857.000000,-576843372.000000,16715935.000000,,-5336256626.000000,-65382184570.000000,-42229307215.000000,-1631967355.000000,-5250000000.000000,,-17170910000.000000,,,900000000.000000,,-65382184570.000000,135553642244.000000,118000000000.000000,,27672735000.000000,-3868378600.000000,-3204526691.000000,-212203528.000000,-1298442058.000000,,,,-1290330584.000000,-1290330584.000000,-245211295.000000,135553642244.000000,,64835201048.000000,,1216751499.000000,66051952547.000000
12M 2024,-10146105190.000000,23828787197.000000,-23352791791.000000,-9739858804.000000,,-686372744.000000,-558885906.000000,363016858.000000,,-10146105190.000000,-2957865807.000000,-1197865807.000000,,,-1760000000.000000,,,,,,-2957865807.000000,-226082370.000000,,,,,,-254015292.000000,,31640500.000000,,,120352974.000000,120352974.000000,-124060552.000000,-226082370.000000,,-13330053367.000000,,66051952547.000000,52721899180.000000
