Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2020,0.68,0.63,-0.77,-0.83,-0.0,0.0,-0.77,0.93,-1.77
12M 2021,0.59,0.54,-0.69,-0.75,-0.0,0.0,-0.69,0.92,-1.7
12M 2022,0.94,0.82,-1.12,-1.22,-0.0,0.0,-1.08,0.92,-2.09
12M 2023,16.33,15.43,0.02,1.08,0.0,0.0,-0.41,0.02,0.08
12M 2024,9.62,9.07,0.02,1.1,0.0,0.0,-0.37,0.02,0.1
