Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Penghasilan Bunga,Penerimaan Kas Dari Restitusi Pajak,Pembayaran Kepada Pemerintah,Pajak Lainnya,Royalti,Total Pembayaran Kepada Pemerintah,Pembayaran Pajak Penghasilan,"Pembayaran Kepada Kontraktor, Pemasok Dan Lainnya",Pembayaran Beban Bunga Dan Keuangan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Aset Eksplorasi Dan Evaluasi,Perolehan Aset Tetap,Penambahan Properti Pertambangan,Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembiayaan Konsumen,Pembayaran Biaya Utang Bank,Penerimaan Dari Penawaran Umum Perdana Saham,Penambahan Kas Dibatasi Penggunannya - Jaminan Reklamasi Dan Penutupan Tambang,(Penambahan)/Pengurangan Kas Yang Dibatasi Penggunaanya,Pembayaran Dividen,Penerimaan Dividen Kas,Penerimaan Dari Pihak Berelasi,Pembayaran Pinjaman Kepada Pihak Berelasi,Kontribusi Modal Dari Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,116423538.000000,351804569.000000,-17871118.000000,348939.000000,8592041.000000,,-9633958.000000,-14550573.000000,-24184531.000000,-47455974.000000,-127724826.000000,-27085562.000000,116423538.000000,-71358564.000000,-13162488.000000,-48101042.000000,-10095034.000000,,-71358564.000000,-80292202.000000,,,184981145.000000,-155981145.000000,-783137.000000,-1955341.000000,,,-6553960.000000,-99798500.000000,,99798736.000000,-100000000.000000,,-80292202.000000,-35227228.000000,51015048.000000,-58020.000000,15729800.000000
12M 2019,168769108.000000,391347410.000000,-14881948.000000,196807.000000,22606443.000000,,-14144888.000000,-15825686.000000,-29970574.000000,-38484084.000000,-137461612.000000,-24583334.000000,168769108.000000,-41161541.000000,-12941964.000000,-21734994.000000,-6484583.000000,,-41161541.000000,-94989914.000000,16500000.000000,-10000000.000000,,-52000000.000000,-827740.000000,,,,425145.000000,-75000000.000000,,75000000.000000,-49156120.000000,68801.000000,-94989914.000000,32617653.000000,15729800.000000,69064.000000,48416517.000000
12M 2020,155652991.000000,401510096.000000,-17256675.000000,264143.000000,21630618.000000,,-10477853.000000,-21118428.000000,-31596281.000000,-63360150.000000,-134467083.000000,-21071677.000000,155652991.000000,-85780124.000000,-10269361.000000,-26086933.000000,-49252056.000000,-171774.000000,-85780124.000000,-78071601.000000,18804760.000000,-23000000.000000,129269053.000000,-63101628.000000,-476980.000000,-6030747.000000,,,-1415615.000000,-202156417.000000,,70035911.000000,,62.000000,-78071601.000000,-8198734.000000,48416517.000000,-26911.000000,40190872.000000
12M 2021,124170086.000000,353388097.000000,-16983919.000000,206622.000000,14204577.000000,,-10621717.000000,-17459503.000000,-28081220.000000,-44790678.000000,-137672993.000000,-16100400.000000,124170086.000000,-118157954.000000,-13119418.000000,-32456192.000000,-72582344.000000,,-118157954.000000,-33897655.000000,32000000.000000,,,-127275657.000000,-436495.000000,,62564793.000000,-1395238.000000,644942.000000,,,,,,-33897655.000000,-27885523.000000,40190872.000000,-6477.000000,12298872.000000
12M 2022,54291208.000000,218328533.000000,-14534420.000000,220821.000000,21773574.000000,,-6773066.000000,-10564146.000000,-17337212.000000,-22284087.000000,-114899385.000000,-16976616.000000,54291208.000000,-69344752.000000,-5103104.000000,-6844067.000000,-57397581.000000,,-69344752.000000,13676772.000000,43015154.000000,-14500000.000000,,-18532802.000000,-410940.000000,,,-665305.000000,4770665.000000,,,,,,13676772.000000,-1376772.000000,12298872.000000,-582666.000000,10339434.000000
12M 2023,21222391.000000,258390322.000000,-14665403.000000,186709.000000,14188693.000000,,-11432841.000000,-19866547.000000,-31299388.000000,-23048488.000000,-151357201.000000,-31172853.000000,21222391.000000,-122294351.000000,-7800972.000000,-56156100.000000,-58337279.000000,,-122294351.000000,99996711.000000,,-14500000.000000,365000000.000000,-254353421.000000,-160209.000000,,,241221.000000,2129215.000000,,1639905.000000,,,,99996711.000000,-1075249.000000,10339434.000000,55992.000000,9320177.000000
12M 2024,90048660.000000,299392309.000000,-13462997.000000,248730.000000,19795198.000000,,-7833479.000000,-23542927.000000,-31376406.000000,-4010886.000000,-146907848.000000,-33629440.000000,90048660.000000,-91757559.000000,-9397186.000000,-19929146.000000,-62431227.000000,,-91757559.000000,-2972248.000000,,-748296.000000,,-2000000.000000,-224681.000000,,,,729.000000,,,,,,-2972248.000000,-4681147.000000,9320177.000000,-101946.000000,4537084.000000
