Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,347119081.000000,-157429247.000000,189689834.000000,-4969346.000000,-1304346.000000,-9737555.000000,6072555.000000,-4969346.000000,184720488.000000,-34975172.000000,349582.000000,-35324754.000000,,,-34975172.000000,149745316.000000,-45705176.000000,-45705176.000000,,-45705176.000000,104040140.000000,661465.000000,104701605.000000,104040140.000000,104040123.000000,17.000000,104040140.000000,104701605.000000,104701590.000000,15.000000,104701605.000000
12M 2019,383699065.000000,-206938501.000000,176760564.000000,-3962301.000000,-1374942.000000,-9939498.000000,7352139.000000,-3962301.000000,172798263.000000,-27837670.000000,213758.000000,-28051428.000000,,,-27837670.000000,144960593.000000,-52005515.000000,-52005515.000000,,-52005515.000000,92955078.000000,109645.000000,93064723.000000,92955078.000000,92996273.000000,-41195.000000,92955078.000000,93064723.000000,93104945.000000,-40222.000000,93064723.000000
12M 2020,393304369.000000,-161404292.000000,231900077.000000,-14786924.000000,-1261349.000000,-18769531.000000,5243956.000000,-14786924.000000,217113153.000000,-24490999.000000,265663.000000,-24840591.000000,83929.000000,,-24490999.000000,192622154.000000,-69284899.000000,-69284899.000000,,-69284899.000000,123337255.000000,-646554.000000,122690701.000000,123337255.000000,123333520.000000,3735.000000,123337255.000000,122690701.000000,122698940.000000,-8239.000000,122690701.000000
12M 2021,345909671.000000,-209419067.000000,136490604.000000,-1931117.000000,-1535306.000000,-8962680.000000,8566869.000000,-1931117.000000,134559487.000000,-17277563.000000,206683.000000,-19256820.000000,1772574.000000,,-17277563.000000,117281924.000000,-42213776.000000,,,-42213776.000000,75068148.000000,522279.000000,75590427.000000,75068148.000000,75175794.000000,-107646.000000,75068148.000000,75590427.000000,75692880.000000,-102453.000000,75590427.000000
12M 2022,216476272.000000,-156945808.000000,59530464.000000,-12001269.000000,-901937.000000,-8694788.000000,-2404544.000000,-12001269.000000,47529195.000000,-18955930.000000,220821.000000,-20516504.000000,1339753.000000,,-18955930.000000,28573265.000000,-14036452.000000,,,-14036452.000000,14536813.000000,631304.000000,15168117.000000,14536813.000000,14550684.000000,-13871.000000,14536813.000000,15168117.000000,15168641.000000,-524.000000,15168117.000000
12M 2023,249630768.000000,-179861073.000000,69769695.000000,-14138669.000000,-1095124.000000,-9519064.000000,-3524481.000000,-14138669.000000,55631026.000000,-27422123.000000,186709.000000,-31276430.000000,3667598.000000,,-27422123.000000,28208903.000000,-13449779.000000,,,-13449779.000000,14759124.000000,115422.000000,14874546.000000,14759124.000000,14569739.000000,189385.000000,14759124.000000,14874546.000000,14696975.000000,177571.000000,14874546.000000
12M 2024,287618877.000000,-227095256.000000,60523621.000000,-3925777.000000,-597305.000000,-9048778.000000,5720306.000000,-3925777.000000,56597844.000000,-36057302.000000,248730.000000,-37666456.000000,1360424.000000,,-36057302.000000,20540542.000000,-10123174.000000,,,-10123174.000000,10417368.000000,,10326176.000000,10417368.000000,10457653.000000,-40285.000000,10417368.000000,10326176.000000,10371115.000000,-44939.000000,10326176.000000
