Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Direksi Dan Karyawan,Total Pembayaran Kas Kepada :,Pembayaran Dividen,Penerimaan Bunga,Penerimaan Restitusi Pajak Dan Bunga,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Pembayaran Ketetapan Pajak,Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi Jangka Pendek,Penerimaan Bunga,Pinjaman Kepada Pihak Berelasi,Penerimaan Dividen Dari Penyertaan Sebesar Biaya Perolehan,Hasil Penjualan Aset Tetap,Penerimaan Hasil Penjualan Properti Investasi,Perolehan Aset Tetap,Penurunan (Kenaikan) Rekening Bank Yang Dibatasi Penggunannya,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Dari Penjualan Aset Tetap Tersedia Untuk Dijual,Penerimaan Dari Penjualan Aset Tersedia,Akuisisi Atas Kepemilikan Minoritas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Jangka Pendek Dan Jangka Panjang,Pembayaran Utang Jangka Pendek Dan Jangka Panjang,Hasil Dari (Pelunasan) Pinjaman Jangka Panjang,Hasil Dari (Pelunasan) Pinjaman Jangka Pendek,Hasil Dari (Pelunasan) Pinjaman,Penerimaan Dari Hutang Bank,Pembayaran Dividen,Pembayaran Dividen Ke Pemegang Saham Minoritas,Pembayaran Dividen Dari Anak Perusahaan Kepada Pihak Non Pengendali,Pembayaran Hutang Obligasi,Pembayaran Hutang Bank,Pembayaran Hutang Lain-Lain,Pembayaran Liabilitas Sewa,Pembayaran Untuk Pembelian Kembali Hutang Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,168901714000.000000,1798830929000.000000,-1564751510000.000000,,,-1564751510000.000000,,14590282000.000000,3146616000.000000,-30251396000.000000,-43935613000.000000,-8727594000.000000,,168901714000.000000,-75611883000.000000,28152583000.000000,,,,3839141000.000000,,-58751782000.000000,,,,,,-48851825000.000000,-75611883000.000000,-86233749000.000000,,,,,,12129000000.000000,-24875536000.000000,-17341168000.000000,,,-14495000000.000000,-12099176000.000000,,-29551869000.000000,-86233749000.000000,7056082000.000000,16760991000.000000,252951600000.000000,276768673000.000000
12M 2009,213251329000.000000,1431621489000.000000,-1116054975000.000000,,,-1116054975000.000000,,6669612000.000000,4186858000.000000,-17599182000.000000,-78040698000.000000,-17531775000.000000,,213251329000.000000,-66107833000.000000,9505000000.000000,,,,2116788000.000000,,-77729621000.000000,,,,,,,-66107833000.000000,-282347211000.000000,,,,,,149800000000.000000,-56082292000.000000,-38756919000.000000,,-203000000000.000000,-134308000000.000000,,,,-282347211000.000000,-135203715000.000000,-7722419000.000000,276768673000.000000,133842539000.000000
12M 2010,57464276000.000000,1844396473000.000000,-1714675459000.000000,,,-1714675459000.000000,,,4755871000.000000,-286417000.000000,-72958684000.000000,-3767508000.000000,,57464276000.000000,-122376584000.000000,9126464000.000000,3216907000.000000,,620000.000000,450152000.000000,,-134496402000.000000,-674325000.000000,,,,,,-122376584000.000000,-12661870000.000000,,,,,,67989144000.000000,-56150646000.000000,-24500368000.000000,,,,,,,-12661870000.000000,-77574178000.000000,-739655000.000000,133842539000.000000,55528706000.000000
12M 2011,141798770000.000000,2016325305000.000000,,-1792497819000.000000,-140932101000.000000,-1933429920000.000000,,,139329181000.000000,-5950184000.000000,-71082930000.000000,-3392682000.000000,,141798770000.000000,-226506237000.000000,,1666597000.000000,,1840000.000000,673201000.000000,,-228779634000.000000,-68241000.000000,,,,,,-226506237000.000000,136736680000.000000,825286211000.000000,-626513083000.000000,,,,,-56155837000.000000,-5880611000.000000,,,,,,,136736680000.000000,52029213000.000000,221334000.000000,55528706000.000000,107779253000.000000
12M 2012,38925023.000000,173134549.000000,,-123662996.000000,-12736047.000000,-136399043.000000,,,9324089.000000,-1442692.000000,-5691880.000000,,,38925023.000000,-36573241.000000,,225249.000000,,401.000000,445405.000000,,-37250392.000000,6096.000000,,,,,,-36573241.000000,-9966802.000000,69663986.000000,-70522288.000000,,,,,-7127794.000000,-1980706.000000,,,,,,,-9966802.000000,-7615020.000000,52464.000000,11885669.000000,4323113.000000
12M 2013,13886278.000000,202952843.000000,,-168006426.000000,-14120022.000000,-182126448.000000,,,,-1306539.000000,-5633578.000000,,,13886278.000000,-19761066.000000,,98106.000000,,,38870.000000,,-11574170.000000,15423.000000,-8339295.000000,,,,,-19761066.000000,3704030.000000,63571470.000000,-51148036.000000,,,,,-8029978.000000,-689426.000000,,,,,,,3704030.000000,-2170758.000000,-82221.000000,4323113.000000,2070134.000000
12M 2014,29224893.000000,218231529.000000,,-171475825.000000,-13858127.000000,-185333952.000000,,,6936361.000000,-3291847.000000,-7317198.000000,,,29224893.000000,-67396126.000000,,146190.000000,,,41031.000000,,-65799225.000000,-201361.000000,-1582761.000000,,,,,-67396126.000000,39927528.000000,197873009.000000,-156689705.000000,,,,,,-1255776.000000,,,,,,,39927528.000000,1756295.000000,-15340.000000,2070134.000000,3811089.000000
12M 2015,26207503.000000,220187289.000000,,-179384648.000000,-13592363.000000,-192977011.000000,,,8458927.000000,-4293770.000000,-5167932.000000,,,26207503.000000,-6339870.000000,,76437.000000,,,38451.000000,,-6296046.000000,150216.000000,-308928.000000,,,,,-6339870.000000,-19038227.000000,124230759.000000,-138079674.000000,,,,,-3377617.000000,-1811695.000000,,,,,,,-19038227.000000,829406.000000,-16321.000000,3811089.000000,4624174.000000
12M 2016,48258236.000000,219569660.000000,,-160295510.000000,-18526186.000000,-178821696.000000,,,17369826.000000,-3182614.000000,-6676940.000000,,,48258236.000000,-6762011.000000,,69602.000000,,,74013.000000,,-5533674.000000,19727.000000,-1391679.000000,,,,,-6762011.000000,-36420739.000000,57969776.000000,-86707932.000000,,,,,-4248168.000000,-3434415.000000,,,,,,,-36420739.000000,5075486.000000,9293.000000,4624174.000000,9708953.000000
12M 2017,24057140.000000,235704571.000000,,-176703482.000000,-14908954.000000,-191612436.000000,,,722560.000000,-2687871.000000,-10182873.000000,,-7886811.000000,24057140.000000,-14130323.000000,,61618.000000,,,222570.000000,,-14022830.000000,17591.000000,-234799.000000,-174473.000000,,,,-14130323.000000,-16351835.000000,76066495.000000,-82910300.000000,,,,,-5080918.000000,-4427112.000000,,,,,,,-16351835.000000,-6425018.000000,-2954.000000,9708953.000000,3280981.000000
