Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Jangka Panjang,Aset Tetap,Others,Total Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Wesel Bayar,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Utang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Obligasi,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,276768673000.000000,239189079000.000000,487804000.000000,238701275000.000000,239189079000.000000,7687106000.000000,,,7687106000.000000,402957052000.000000,51624384000.000000,978226294000.000000,,,100000000.000000,646330632000.000000,,646330632000.000000,,,,,28912428000.000000,19197117000.000000,694540177000.000000,1672766471000.000000,,,446467601000.000000,,,1395138000.000000,139628786000.000000,141023924000.000000,22057347000.000000,,,22057347000.000000,30851895000.000000,25679141000.000000,838083000.000000,202723056000.000000,,202723056000.000000,,,23294155000.000000,446467601000.000000,33713456000.000000,,,27766594000.000000,,,5946862000.000000,33713456000.000000,480181057000.000000,,225000000000.000000,3125000000.000000,651728593000.000000,4500000000.000000,647228593000.000000,651728593000.000000,194560608000.000000,118171213000.000000,1192585414000.000000,1672766471000.000000,450000000.000000
12M 2009,,,133842539000.000000,225939137000.000000,11980101000.000000,213959036000.000000,225939137000.000000,5975569000.000000,,,5975569000.000000,237105980000.000000,53248010000.000000,656111235000.000000,,,100000000.000000,645429255000.000000,,645429255000.000000,,,,,23031934000.000000,24958511000.000000,693519700000.000000,1349630935000.000000,,,190875760000.000000,,,20765279000.000000,120511012000.000000,141276291000.000000,16038048000.000000,,,16038048000.000000,12312013000.000000,18914534000.000000,1010188000.000000,,,,,,1324686000.000000,190875760000.000000,33997046000.000000,,,25049937000.000000,,,8947109000.000000,33997046000.000000,224872806000.000000,,225000000000.000000,3125000000.000000,667584167000.000000,5000000000.000000,662584167000.000000,667584167000.000000,142770506000.000000,86278456000.000000,1124758129000.000000,1349630935000.000000,450000000.000000
12M 2010,,,55528706000.000000,264316051000.000000,34842716000.000000,229473335000.000000,264316051000.000000,13628809000.000000,,,13628809000.000000,291293046000.000000,101163184000.000000,725929796000.000000,,,100000000.000000,724663338000.000000,,724663338000.000000,,,,,17151440000.000000,24883033000.000000,766797811000.000000,1492727607000.000000,,,180688108000.000000,,,26492604000.000000,97289073000.000000,123781677000.000000,12864883000.000000,,,12864883000.000000,20183624000.000000,20609153000.000000,839682000.000000,,,,,,2409089000.000000,180688108000.000000,103162484000.000000,67932115000.000000,,20780352000.000000,,,14450017000.000000,103162484000.000000,283850592000.000000,,225000000000.000000,3125000000.000000,745494366000.000000,5500000000.000000,739994366000.000000,745494366000.000000,136320703000.000000,98936946000.000000,1208877015000.000000,1492727607000.000000,450000000.000000
12M 2011,,,107779253000.000000,182749851000.000000,32090530000.000000,150659321000.000000,182749851000.000000,144353491000.000000,,,144353491000.000000,350750318000.000000,59633737000.000000,845266650000.000000,,,100000000.000000,712670223000.000000,,712670223000.000000,63232000000.000000,,,,17151440000.000000,21698752000.000000,814852415000.000000,1660119065000.000000,,,303092111000.000000,119204630000.000000,,46222347000.000000,51121896000.000000,97344243000.000000,21804796000.000000,,,21804796000.000000,3114011000.000000,22563752000.000000,,36798856000.000000,,36798856000.000000,,,2261823000.000000,303092111000.000000,155301514000.000000,117806520000.000000,,18637145000.000000,,,18857849000.000000,155301514000.000000,458393625000.000000,,225000000000.000000,3125000000.000000,756733641000.000000,6000000000.000000,750733641000.000000,756733641000.000000,128090764000.000000,88776035000.000000,1201725440000.000000,1660119065000.000000,450000000.000000
12M 2012,,,4323113.000000,25038965.000000,,25038965.000000,25038965.000000,11945483.000000,48663.000000,11896820.000000,11945483.000000,36802792.000000,8246062.000000,86356415.000000,,,49456.000000,130556722.000000,,130556722.000000,9043132.000000,,,,1548663.000000,2378850.000000,143576823.000000,229933238.000000,,,40589171.000000,12581035.000000,,5838875.000000,9191301.000000,15030176.000000,,185307.000000,2552992.000000,2738299.000000,936164.000000,3376334.000000,181953.000000,5662914.000000,,5662914.000000,,,82296.000000,40589171.000000,19720880.000000,11142694.000000,,6046370.000000,,,2531816.000000,19720880.000000,60310051.000000,,130404630.000000,1676502.000000,9908476.000000,728366.000000,9180110.000000,9908476.000000,18622476.000000,9011103.000000,169623187.000000,229933238.000000,450000000.000000
12M 2013,,,2070134.000000,30888462.000000,1300746.000000,29587716.000000,30888462.000000,1030628.000000,40106.000000,990522.000000,1030628.000000,42061749.000000,15492698.000000,91543671.000000,,190604.000000,49456.000000,127081529.000000,,127081529.000000,8172118.000000,,,,1548663.000000,10442355.000000,147484725.000000,239028396.000000,,,58257851.000000,27211784.000000,,795633.000000,18059225.000000,18854858.000000,,128045.000000,4537803.000000,4665848.000000,449666.000000,3052515.000000,,3959653.000000,,3959653.000000,,,63527.000000,58257851.000000,17909296.000000,10656823.000000,,4809191.000000,,,2443282.000000,17909296.000000,76167147.000000,,130404630.000000,1676502.000000,6706152.000000,779350.000000,5926802.000000,6706152.000000,17363948.000000,6710017.000000,162861249.000000,239028396.000000,450000000.000000
12M 2014,,,3811089.000000,30029461.000000,767257.000000,29262204.000000,30029461.000000,504469.000000,20563.000000,483906.000000,504469.000000,52997342.000000,22060271.000000,109402632.000000,,194896.000000,49456.000000,182596222.000000,,182596222.000000,9630449.000000,,,,1548663.000000,4875749.000000,198895435.000000,308298067.000000,,,77282258.000000,34562094.000000,,3054107.000000,28048870.000000,31102977.000000,,,2561838.000000,2561838.000000,1349532.000000,3658739.000000,,3959653.000000,,3959653.000000,,,87425.000000,77282258.000000,52365099.000000,44470209.000000,,4454640.000000,,,3440250.000000,52365099.000000,129647357.000000,,130404630.000000,1676502.000000,20502727.000000,821117.000000,19681610.000000,20502727.000000,18612955.000000,7453896.000000,178650710.000000,308298067.000000,450000000.000000
12M 2015,,,4624174.000000,27973781.000000,2660598.000000,25313183.000000,27973781.000000,259634.000000,,259634.000000,259634.000000,52227255.000000,17012835.000000,102097679.000000,,213628.000000,49456.000000,175062791.000000,,175062791.000000,9695574.000000,2071040.000000,,2071040.000000,1548663.000000,1095791.000000,189736943.000000,291834622.000000,,,56517831.000000,20850209.000000,,1689880.000000,21560153.000000,23250033.000000,,,473197.000000,473197.000000,1084167.000000,2850649.000000,,5371748.000000,,5371748.000000,,,2637828.000000,56517831.000000,52383010.000000,42921084.000000,,5302481.000000,,,4159445.000000,52383010.000000,108900841.000000,,130404630.000000,1676502.000000,27483250.000000,858647.000000,26624603.000000,27483250.000000,18138268.000000,5231131.000000,182933781.000000,291834622.000000,450000000.000000
12M 2016,,,9708953.000000,35042866.000000,2852915.000000,32189951.000000,35042866.000000,67069.000000,,67069.000000,67069.000000,60195857.000000,7603566.000000,112618311.000000,,247709.000000,49456.000000,166683777.000000,,166683777.000000,11401373.000000,1385288.000000,,1385288.000000,1548663.000000,2125918.000000,183442184.000000,296060495.000000,,,59559808.000000,7224444.000000,,3606058.000000,37492630.000000,41098688.000000,,,428227.000000,428227.000000,2882631.000000,3196038.000000,,4677680.000000,,4677680.000000,,,52100.000000,59559808.000000,38756037.000000,28489948.000000,,5760502.000000,,,4505587.000000,38756037.000000,98315845.000000,,130404630.000000,1676502.000000,42501581.000000,896408.000000,41605173.000000,42501581.000000,17884545.000000,5277392.000000,197744650.000000,296060495.000000,450000000.000000
12M 2017,,,3280981.000000,41281367.000000,3210411.000000,38070956.000000,41281367.000000,315664.000000,,315664.000000,315664.000000,61296731.000000,10367856.000000,116542599.000000,,316755.000000,49456.000000,170094795.000000,,170094795.000000,12471479.000000,1757754.000000,,1757754.000000,1548663.000000,1702125.000000,187941027.000000,304483626.000000,,,48785810.000000,6689156.000000,,1934707.000000,34540286.000000,36474993.000000,,,70561.000000,70561.000000,2095026.000000,3243659.000000,,,,,,,212415.000000,48785810.000000,38628462.000000,26859111.000000,,6074910.000000,,,5694441.000000,38628462.000000,87414272.000000,,130404630.000000,1676502.000000,58579134.000000,934044.000000,57645090.000000,58579134.000000,17250162.000000,9158926.000000,217069354.000000,304483626.000000,450000000.000000
