Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.81,2217.83,0.84,2153.58,204 B,,204 B,(73 B),532 B
12M 2009,0.66,2182.19,0.68,2131.01,1 B,,1 B,(133 B),465 B
12M 2010,1.01,2383.46,1.02,2345.34,1 B,68 B,69 B,13 B,545 B
12M 2011,0.90,2385.85,0.92,2347.74,156 B,118 B,274 B,166 B,542 B
12M 2012,0.92,3244.84,0.93,3211.56,178 B,108 B,286 B,244 B,443 B
12M 2013,0.57,3943.95,0.58,3901.97,380 B,130 B,510 B,485 B,406 B
12M 2014,1.13,4424.51,1.14,4381.70,479 B,553 B,"1,033 B",985 B,400 B
12M 2015,0.93,5051.90,0.95,4940.93,362 B,592 B,954 B,890 B,629 B
12M 2016,1.24,5370.22,1.26,5282.62,160 B,383 B,543 B,412 B,713 B
12M 2017,1.23,6015.89,1.25,5916.34,91 B,364 B,455 B,410 B,918 B
12M 2018,0.93,6566.87,0.94,6489.38,109 B,214 B,323 B,240 B,839 B
12M 2019,1.71,6300.88,1.73,6227.16,26 B,180 B,206 B,8 B,882 B
12M 2020,0.86,6064.58,0.87,6001.34,147 B,105 B,251 B,89 B,802 B
12M 2021,1.98,6239.32,1.99,6185.93,232 B,70 B,302 B,277 B,887 B
12M 2022,1.14,7250.31,1.15,7172.71,96 B,52 B,,(58 B),"1,176 B"
12M 2023,0.82,7302.61,0.83,7191.26,82 B,11 B,93 B,(415 B),938 B
12M 2024,0.76,7680.01,0.77,7537.67,83 B,10 B,93 B,(446 B),989 B
