Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Operasi Lainnya,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak,Pembayaran Beban Keuangan,Penerimaan Pendapatan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pelepasan (Akuisisi) Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Pemegang Saham,Penerimaan Piutang Lain-Lain,Penambahan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Pembayaran Biaya Emisi Saham,Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,460465766602.000000,980065679536.000000,-416353549860.000000,-4350556596.000000,-40511691159.000000,-8852396192.000000,,-49531951900.000000,232773.000000,460465766602.000000,-75626289888.000000,-18698833742.000000,,-56927456146.000000,,-75626289888.000000,-383485367731.000000,,1096600000.000000,-368111019780.000000,,-16720947951.000000,,,,250000000.000000,-383485367731.000000,1354108983.000000,,272296258.000000,1626405241.000000
12M 2021,-106245633952.000000,3281805544854.000000,-3131642295728.000000,-23560557092.000000,-148412910743.000000,-9740018074.000000,,-74695977837.000000,580668.000000,-106245633952.000000,-680465257752.000000,-17631181124.000000,,-18542806628.000000,-644291270000.000000,-680465257752.000000,786215480336.000000,644291270000.000000,250000000.000000,202925332307.000000,,-61251121971.000000,,,,,786215480336.000000,-495411368.000000,,1626405241.000000,1130993873.000000
12M 2022,-643332394543.000000,3060389059089.000000,-3361086788451.000000,-42466358261.000000,-194863976332.000000,-16872435282.000000,11846771580.000000,-102001431242.000000,1722764356.000000,-643332394543.000000,-125315206179.000000,-87034490871.000000,3145146609.000000,-41425861917.000000,,-125315206179.000000,924875271098.000000,,,675255863961.000000,2293585013.000000,-56171531865.000000,-2364516000.000000,,-9138130011.000000,315000000000.000000,924875271098.000000,156227670376.000000,,1130993873.000000,157358664249.000000
12M 2023,-58300798645.000000,5519247618243.000000,-5165239456346.000000,-56278849675.000000,-162077350508.000000,-51348272432.000000,3735744114.000000,-147370312831.000000,1030080790.000000,-58300798645.000000,-209738598174.000000,-110780491506.000000,,-98958106668.000000,,-209738598174.000000,113191617457.000000,,,152679845360.000000,,-27523020152.000000,-2033441691.000000,-9931766060.000000,,,113191617457.000000,-154847779362.000000,,157358664249.000000,2510884887.000000
12M 2024,163351712801.000000,5456549774667.000000,-4861940110824.000000,-69574327819.000000,-164268980451.000000,-48086514823.000000,2873849675.000000,-152202555468.000000,577844.000000,163351712801.000000,-87353670275.000000,-90880262169.000000,3553799704.000000,-27207810.000000,,-87353670275.000000,-77882387689.000000,,,-47887665282.000000,,-27523020152.000000,-2471702255.000000,,,,-77882387689.000000,-1884345163.000000,,2510884887.000000,626539724.000000
