Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,,0.00,0.00,,0.00%,0.00%,16.57%,1.31
12M 2021,7.95 B,-1.96,-0.00,0.00,138.07 B,-0.78%,-2.32%,13.98%,1.36
12M 2022,7.95 B,6.25,36.16,0.50,261.07 B,1.41%,4.84%,21.70%,1.94
12M 2023,7.95 B,0.20,885.00,0.24,203.85 B,0.05%,0.15%,13.47%,1.00
12M 2024,7.95 B,-8.16,-25.25,0.32,157.02 B,-1.95%,-6.79%,9.52%,0.65
