Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,1626405241.000000,122912200348.000000,,122912200348.000000,122912200348.000000,250000000.000000,,250000000.000000,250000000.000000,328949141271.000000,42992101452.000000,496729848312.000000,,1736778391.000000,819840159642.000000,69782286799.000000,891359224832.000000,1388089073144.000000,,,797551595633.000000,654100169920.000000,,6569828600.000000,26884872960.000000,33454701560.000000,,4161315274.000000,31317000.000000,4192632274.000000,13062028802.000000,90941090.000000,,61251121987.000000,,61251121987.000000,,31400000000.000000,797551595633.000000,158556945390.000000,,,152502102390.000000,,,152502102390.000000,6054843000.000000,158556945390.000000,956108541023.000000,,250000000.000000,,,,,,,139331.000000,431730392790.000000,431980532121.000000,,1388089073144.000000,250.000000
12M 2021,,,1130993873.000000,231016403339.000000,,231016403339.000000,231016403339.000000,,,,,577322134652.000000,39423111118.000000,848892642982.000000,,6249320.000000,1093232584092.000000,38932180194.000000,1132171013606.000000,1981063656588.000000,,,1200586486691.000000,847496683034.000000,,238636974074.000000,24236527332.000000,262873501406.000000,,324000000.000000,,324000000.000000,9225487039.000000,26036400360.000000,,53877946852.000000,,53877946852.000000,,752468000.000000,1200586486691.000000,109716194143.000000,5490964589.000000,,98624155554.000000,,,98624155554.000000,5601074000.000000,109716194143.000000,1310302680834.000000,,644541270000.000000,41586376941.000000,,,,,,1001138.000000,-15367672325.000000,670760975754.000000,,1981063656588.000000,7945412700.000000
12M 2022,,,157358664249.000000,785232661433.000000,10413105742.000000,774819555691.000000,785232661433.000000,172729671.000000,,,172729671.000000,1320694720346.000000,61613420567.000000,2325072196266.000000,,2210158798.000000,1145325893446.000000,54832486801.000000,1202368539045.000000,3527440735311.000000,,,2408092701717.000000,1542173832332.000000,,737591351981.000000,79414598520.000000,817005950501.000000,,6612030.000000,,6612030.000000,17840472448.000000,1502022134.000000,,27523020152.000000,2033441691.000000,29556461843.000000,,7350429.000000,2408092701717.000000,92873999964.000000,12030727307.000000,,71101135402.000000,2231702255.000000,,73332837657.000000,7510435000.000000,92873999964.000000,2500966701681.000000,,794541270000.000000,197448246930.000000,,,,,,1001005.000000,34483515695.000000,1026474033630.000000,,3527440735311.000000,7945412700.000000
12M 2023,,,2510884887.000000,1142828289413.000000,1893855599.000000,1140934433814.000000,1142828289413.000000,109481430.000000,,,109481430.000000,689635281394.000000,7951301372.000000,1843035238496.000000,,1698048898.000000,1244009878020.000000,155584185848.000000,1401292112766.000000,3244327351262.000000,,,2163187248862.000000,1703777797496.000000,,380279083606.000000,15297599809.000000,395576683415.000000,,609014142.000000,597040290.000000,1206054432.000000,18668238605.000000,12013041387.000000,,27523020152.000000,2231702255.000000,29754722407.000000,,2190711120.000000,2163187248862.000000,63568796212.000000,10109957962.000000,,43578115250.000000,,,43578115250.000000,9880723000.000000,63568796212.000000,2226756045074.000000,,794541270000.000000,197448246930.000000,25580767611.000000,15890825400.000000,9689942211.000000,25580767611.000000,,1021647.000000,,1017571306188.000000,,3244327351262.000000,7945412700.000000
12M 2024,,,626539724.000000,863783414266.000000,3124554010.000000,860658860256.000000,863783414266.000000,475762744.000000,,,475762744.000000,980562479924.000000,2923737128.000000,1848371933786.000000,,9040631309.000000,1373708583586.000000,98753782119.000000,1481502997014.000000,3329874930800.000000,,,2349891564422.000000,1672978084361.000000,,579837561608.000000,31709294432.000000,611546856040.000000,,305351734.000000,597040290.000000,902392024.000000,32581418144.000000,3297916533.000000,,27523020152.000000,199251768.000000,27722271920.000000,,862625400.000000,2349891564422.000000,25239565914.000000,,,16055095098.000000,,218678816.000000,16273773914.000000,8965792000.000000,25239565914.000000,2375131130336.000000,,794541270000.000000,197448246930.000000,-37246720622.000000,16202089325.000000,-53448809947.000000,-37246720622.000000,,1004156.000000,,954743800464.000000,,3329874930800.000000,7945412700.000000
