Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,741404144764.000000,-668076719931.000000,73327424833.000000,-24400673092.000000,-3642496150.000000,-20758176942.000000,-24400673092.000000,48926751741.000000,-39465460656.000000,-37482814479.000000,232773.000000,,-1982878950.000000,-39465460656.000000,9461291085.000000,7175997483.000000,7175997483.000000,,7175997483.000000,16637288568.000000,,,,,,,,,,,,,
12M 2021,3420557279845.000000,-3150245203143.000000,270312076702.000000,-174482617749.000000,-6644523821.000000,-167838093928.000000,-174482617749.000000,95829458953.000000,-61832104660.000000,-70696808530.000000,580668.000000,,8864123202.000000,-61832104660.000000,33997354293.000000,-7195065280.000000,-7195065280.000000,,-7195065280.000000,26802289013.000000,-15541948448.000000,174274620.000000,174274620.000000,174274620.000000,-15367673828.000000,-15541948448.000000,-15541946940.000000,-1508.000000,-15541948448.000000,-15367673828.000000,-15367672325.000000,-1503.000000,-15367673828.000000
12M 2022,3612965915354.000000,-3275476193344.000000,337489722010.000000,-131380948551.000000,-14011535100.000000,-117369413451.000000,-131380948551.000000,206108773459.000000,-134854994323.000000,-106357855339.000000,1840494027.000000,,-30337633011.000000,-134854994323.000000,71253779136.000000,-21565860849.000000,-21565860849.000000,,-21565860849.000000,49687918287.000000,49687918287.000000,163269600.000000,163269600.000000,163269600.000000,49851187887.000000,49687918287.000000,49687918446.000000,-159.000000,49687918287.000000,49851187887.000000,49851188020.000000,-133.000000,49851187887.000000
12M 2023,5874659885532.000000,-5675608875281.000000,199051010251.000000,-50808770173.000000,-8930120005.000000,-41878650168.000000,-50808770173.000000,148242240078.000000,-146012370612.000000,-148082131037.000000,1030080790.000000,-653766889.000000,1693446524.000000,-146012370612.000000,2229869466.000000,-673529008.000000,-673529008.000000,,-673529008.000000,1556340458.000000,1556340458.000000,-527301840.000000,-527301840.000000,-527301840.000000,1029038618.000000,1556340458.000000,1556319627.000000,20831.000000,1556340458.000000,1029038618.000000,1029017791.000000,20827.000000,1029038618.000000
12M 2024,5178832985240.000000,-5017417184141.000000,161415801099.000000,-63313695694.000000,-5947025394.000000,-57366670300.000000,-63313695694.000000,98102105405.000000,-180069819279.000000,-151484002796.000000,577844.000000,-27164909123.000000,-1421485204.000000,-180069819279.000000,-81967713874.000000,17148784690.000000,17148784690.000000,,17148784690.000000,-64818929184.000000,-64818929184.000000,1991423460.000000,1991423460.000000,1991423460.000000,-62827505724.000000,-64818929184.000000,-64818911680.000000,-17504.000000,-64818929184.000000,-62827505724.000000,-62827488233.000000,-17491.000000,-62827505724.000000
