Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2020,0.00,1727921571.16,0.00,1727921571.16,715 B,,868 B,866 B,(301 B)
12M 2021,0.00,84.42,0.00,84.42,901 B,99 B,"1,000 B",999 B,(352 B)
12M 2022,1.75,129.19,1.75,129.19,"1,572 B",71 B,"1,645 B","1,488 B",(83 B)
12M 2023,1.38,128.07,1.38,128.07,"1,734 B",,"1,777 B","1,775 B",(320 B)
12M 2024,1.71,120.16,1.71,120.16,"1,701 B",,"1,717 B","1,716 B",(502 B)
