Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Imbalan Kerja Karyawan,Pembayaran Untuk Pajak Penghasilan Badan,Pembayaran Bunga,Penerimaan Bunga,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Jangka Panjang,Penerimaan Dari Penjualan Properti Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Pembayaran Uang Muka Pembelian Aset Tetap,Perolehan (Pencairan) Aset Lainnya,Pencairan (Penempatan) Investasi Jangka Pendek,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Dari (Ke) Pihak Ketiga,Penambahan (Penerimaan) Utang Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Utang Bank,Modal Disetor,Pembayaran Imbalan Kerja Karyawan,Pembayaran Liabilitas Sewa,Penawaran Umum Perdana,Beban Emisi Saham,Penerimaan Dari Pihak Berelasi,Pembayaran Ke Pihak Berelasi,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2018,35407665013.000000,458158541286.000000,-411204126372.000000,,-4508994307.000000,-7089028245.000000,51272651.000000,,35407665013.000000,-768573928.000000,,,-765223928.000000,,,-3350000.000000,,,-768573928.000000,8128006411.000000,1831978098.000000,29335710091.000000,,,10118709300.000000,,,,,5695411545.000000,-38853802623.000000,,8128006411.000000,42767097496.000000,32862247063.000000,,75629344559.000000
12M 2019,2483651624.000000,467697030978.000000,-442439545117.000000,,-7477556528.000000,-15474576845.000000,178299136.000000,,2483651624.000000,1832565104.000000,,,1828745104.000000,,,3820000.000000,,,1832565104.000000,10995840608.000000,-24615679194.000000,-13152768287.000000,,,,-621000000.000000,,43200000000.000000,-3414003889.000000,9599291978.000000,,,10995840608.000000,15312057336.000000,75629344559.000000,,90941401895.000000
12M 2020,45065151651.000000,223150207822.000000,-178252147654.000000,,-787127270.000000,-557527470.000000,1511746223.000000,,45065151651.000000,-82028869924.000000,-82245000000.000000,,201200076.000000,,,14930000.000000,,,-82028869924.000000,-44714166449.000000,,-46812266349.000000,,,,,,,-300000000.000000,2398099900.000000,,,-44714166449.000000,-81677884722.000000,90941401894.000000,,9263517172.000000
12M 2021,11422004506.000000,129170588054.000000,-117710028976.000000,,-429269505.000000,-3915263664.000000,4305978597.000000,,11422004506.000000,82317500000.000000,82245000000.000000,,72500000.000000,,,,,,82317500000.000000,-47890471774.000000,,-37789897579.000000,,,,,-1900000000.000000,,,,-8200574195.000000,,-47890471774.000000,45849032732.000000,9263517172.000000,,55112549904.000000
12M 2022,35305145772.000000,161850010978.000000,-123675321360.000000,-415079343.000000,-1651462527.000000,-1273051863.000000,470049887.000000,,35305145772.000000,-67796910519.000000,,,-18000000.000000,47500000.000000,-67826410519.000000,,,,-67796910519.000000,22642889919.000000,,24107625003.000000,,,,,-1160454670.000000,,,,-304280414.000000,,22642889919.000000,-9848874828.000000,55112549904.000000,,45263675076.000000
12M 2023,-1025566594.000000,153364171860.000000,-146879856270.000000,-653310000.000000,-5158439196.000000,-2771258424.000000,1073125436.000000,,-1025566594.000000,-3644141346.000000,,,-78649000.000000,833777600.000000,-4399269946.000000,,,,-3644141346.000000,-10762794652.000000,,-10423184298.000000,,,,,-311639907.000000,,,,-27970447.000000,,-10762794652.000000,-15432502592.000000,45263675077.000000,,29831172485.000000
12M 2024,550652783.000000,131878038443.000000,-138142038480.000000,,3583141045.000000,2146676796.000000,1084834979.000000,,550652783.000000,-285552785.000000,,,-513052784.000000,227499999.000000,,,,,-285552785.000000,14368579900.000000,,15535371900.000000,,,,,,,,,-1166792000.000000,,14368579900.000000,14633679898.000000,29831172485.000000,,44464852383.000000
