Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Dari Aktivitas Operasi Lainnya,Pembayaran Untuk Aktivitas Operasi Lainnya,Pembayaran Pajak Penghasilan,Penerimaan Hasil Restitusi Pajak,Penerimaan Penghasilan Keuangan,Pembayaran Biaya Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Deposito Berjangka,Hasil Penjualan Aset Dimiliki Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham,Pembayaran Biaya Emisi Saham,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Atas Bagian Pokok Liabilitas Sewa,Pembayaran Utang Pihak Berelasi,Pembayaran Deviden Kas,Pengembalian Kembali Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,651971000000.000000,9612182000000.000000,-8614717000000.000000,-376823000000.000000,68753000000.000000,-22632000000.000000,-112245000000.000000,121445000000.000000,27241000000.000000,-51233000000.000000,651971000000.000000,-135037000000.000000,-135750000000.000000,713000000.000000,,,-135037000000.000000,-492060000000.000000,,,216492000000.000000,-489140000000.000000,,-219412000000.000000,,,-492060000000.000000,24874000000.000000,4270000000.000000,1110939000000.000000,1140083000000.000000
12M 2019,111262000000.000000,9367819000000.000000,-8539917000000.000000,-396086000000.000000,21709000000.000000,-18601000000.000000,-310736000000.000000,2086000000.000000,29566000000.000000,-44578000000.000000,111262000000.000000,2176000000.000000,-49697000000.000000,45000000.000000,,51828000000.000000,2176000000.000000,733820000000.000000,1246971000000.000000,-93115000000.000000,182474000000.000000,-293878000000.000000,,-308632000000.000000,,,733820000000.000000,847258000000.000000,-692000000.000000,1140083000000.000000,1986649000000.000000
12M 2020,1340637000000.000000,10636298000000.000000,-8710616000000.000000,-439271000000.000000,16583000000.000000,-26215000000.000000,-172916000000.000000,30537000000.000000,54506000000.000000,-48269000000.000000,1340637000000.000000,-295799000000.000000,-296062000000.000000,263000000.000000,,,-295799000000.000000,-1604305000000.000000,,,91222000000.000000,-246802000000.000000,-81519000000.000000,-1267465000000.000000,-79744000000.000000,-19997000000.000000,-1604305000000.000000,-559467000000.000000,1007000000.000000,1986649000000.000000,1428189000000.000000
12M 2021,795423000000.000000,11120331000000.000000,-9978850000000.000000,-458658000000.000000,49757000000.000000,-23977000000.000000,-215917000000.000000,304213000000.000000,28355000000.000000,-29831000000.000000,795423000000.000000,-233834000000.000000,-233834000000.000000,,,,-233834000000.000000,-491033000000.000000,,,,,-88805000000.000000,-339892000000.000000,-62336000000.000000,,-491033000000.000000,70556000000.000000,507000000.000000,1428189000000.000000,1499252000000.000000
12M 2022,273361000000.000000,12026749000000.000000,-11107872000000.000000,-474222000000.000000,7743000000.000000,-20542000000.000000,-278815000000.000000,118536000000.000000,25354000000.000000,-23570000000.000000,273361000000.000000,-167128000000.000000,-167374000000.000000,246000000.000000,,,-167128000000.000000,-234433000000.000000,,,,,-92157000000.000000,-47259000000.000000,-95017000000.000000,,-234433000000.000000,-128200000000.000000,1104000000.000000,1499252000000.000000,1372156000000.000000
12M 2023,920206000000.000000,12668402000000.000000,-11113671000000.000000,-515828000000.000000,55871000000.000000,-18779000000.000000,-202314000000.000000,31732000000.000000,36330000000.000000,-21537000000.000000,920206000000.000000,-274678000000.000000,-275111000000.000000,433000000.000000,,,-274678000000.000000,-161434000000.000000,,,,,-98704000000.000000,,-62730000000.000000,,-161434000000.000000,484094000000.000000,-3276000000.000000,1372156000000.000000,1852974000000.000000
12M 2024,395304000000.000000,12295019000000.000000,-11030461000000.000000,-580561000000.000000,26497000000.000000,-22081000000.000000,-439802000000.000000,118078000000.000000,47516000000.000000,-18901000000.000000,395304000000.000000,-253928000000.000000,-254124000000.000000,196000000.000000,,,-253928000000.000000,-200198000000.000000,,,,,-113291000000.000000,,-86907000000.000000,,-200198000000.000000,-58822000000.000000,1154000000.000000,1852974000000.000000,1795306000000.000000
