Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba Dari Ventura Bersama,Final,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,2024284000329.000000,-1830962261787.000000,193321738542.000000,-38884581555.000000,-55426137950.000000,16541556395.000000,-38884581555.000000,154437156987.000000,1156287576.000000,-2558840153.000000,,3715127729.000000,,1156287576.000000,155593444563.000000,-63730464014.000000,91862980549.000000,,91862980549.000000,91862980549.000000,91862918441.000000,62108.000000,91862980549.000000,91862980549.000000,91862918441.000000,62108.000000,91862980549.000000
12M 2013,3006109667438.000000,-2755261953836.000000,250847713602.000000,-41163163176.000000,-81511170954.000000,40348007778.000000,-41163163176.000000,209684550426.000000,62189849989.000000,-1241469579.000000,,63431319568.000000,,62189849989.000000,271874400415.000000,-84074933041.000000,187799467374.000000,,187799467374.000000,187799467374.000000,187799569602.000000,-102228.000000,187799467374.000000,187799467374.000000,187799569602.000000,-102228.000000,187799467374.000000
12M 2014,3311884860715.000000,-3010290190778.000000,301594669937.000000,-96822881075.000000,-112184873808.000000,15361992733.000000,-96822881075.000000,204771788862.000000,176286060199.000000,-25534925.000000,,176311595124.000000,,176286060199.000000,381057849061.000000,-103186036844.000000,277871812217.000000,,277871812217.000000,277871812217.000000,277872702376.000000,-890159.000000,277871812217.000000,277871812217.000000,277872702376.000000,-890159.000000,277871812217.000000
12M 2015,3600623912590.000000,-3276361965139.000000,324261947451.000000,-137839139770.000000,-147629447846.000000,9790308076.000000,-137839139770.000000,186422807681.000000,11884448026.000000,-94182901.000000,,112341654010.000000,-100363023083.000000,11884448026.000000,198307255707.000000,,198307255707.000000,-7080554922.000000,191226700785.000000,198307255707.000000,198307256874.000000,-1167.000000,198307255707.000000,191226700785.000000,191226701952.000000,-1167.000000,191226700785.000000
12M 2016,2476348809009.000000,-2223271266338.000000,253077542671.000000,-110670504776.000000,-131133241426.000000,20462736650.000000,-110670504776.000000,142407037895.000000,-41315770925.000000,-83533958.000000,,30942067440.000000,-72174304407.000000,-41315770925.000000,101091266970.000000,,101091266970.000000,-6621248639.000000,94470018331.000000,101091266970.000000,101091268143.000000,-1173.000000,101091266970.000000,94470018331.000000,94470019504.000000,-1173.000000,94470018331.000000
12M 2017,2163684653862.000000,-1948809130887.000000,214875522975.000000,3264054844.000000,-119207280277.000000,122471335121.000000,3264054844.000000,218139577819.000000,-40206829514.000000,-65828841.000000,,27296188588.000000,-67437189261.000000,-40206829514.000000,177932748305.000000,-24489199000.000000,153443549305.000000,-18989112758.000000,134454436547.000000,153443549305.000000,153443549172.000000,133.000000,153443549305.000000,134454436547.000000,134454436414.000000,133.000000,134454436547.000000
12M 2018,2456969219251.000000,-2205848044327.000000,251121174924.000000,-87558222704.000000,-125722852333.000000,38164629629.000000,-87558222704.000000,163562952220.000000,-43728567672.000000,-92841775.000000,,27032964663.000000,-70668690560.000000,-43728567672.000000,119834384548.000000,-1866434327.000000,117967950221.000000,-14911967231.000000,103055982990.000000,117967950221.000000,117968952089.000000,-1001868.000000,117967950221.000000,103055982990.000000,103056984858.000000,-1001868.000000,103055982990.000000
12M 2019,2617754376513.000000,-2343744198023.000000,274010178490.000000,-101552584083.000000,-129779392504.000000,28226808421.000000,-101552584083.000000,172457594407.000000,-71302582861.000000,-4029184726.000000,,-884314079.000000,-66389084056.000000,-71302582861.000000,101155011546.000000,,101155011546.000000,-14970889830.000000,86184121716.000000,101155011546.000000,101155437920.000000,-426374.000000,101155011546.000000,86184121716.000000,86184548090.000000,-426374.000000,86184121716.000000
12M 2020,2085740129302.000000,-1857042778667.000000,228697350635.000000,-94261407221.000000,-106742702497.000000,12481295276.000000,-94261407221.000000,134435943414.000000,-79313091943.000000,-14948277325.000000,,-6296734944.000000,-58068079674.000000,-79313091943.000000,55122851471.000000,,55122851471.000000,1125464872.000000,56248316343.000000,55122851471.000000,55123217206.000000,-365735.000000,55122851471.000000,56248316343.000000,56248682078.000000,-365735.000000,56248316343.000000
12M 2021,1669713392168.000000,-1479623674599.000000,190089717569.000000,-62063357174.000000,-86859188989.000000,24795831815.000000,-62063357174.000000,128026360395.000000,-76378259150.000000,-16373046737.000000,,-14505934797.000000,-45499277616.000000,-76378259150.000000,51648101245.000000,,51648101245.000000,-1458474899.000000,50189626346.000000,51648101245.000000,51648329765.000000,-228520.000000,51648101245.000000,50189626346.000000,50189854866.000000,-228520.000000,50189626346.000000
12M 2022,2462407757122.000000,-2196288562434.000000,266119194688.000000,-104916321909.000000,-105316389775.000000,400067866.000000,-104916321909.000000,161202872779.000000,-86197096626.000000,-18301707130.000000,,1548437956.000000,-69443827452.000000,-86197096626.000000,75005776153.000000,-335613636.000000,74670162517.000000,-1792423154.000000,72877739363.000000,74670162517.000000,74670236322.000000,-73805.000000,74670162517.000000,72877739363.000000,72877813168.000000,-73805.000000,72877739363.000000
12M 2023,2895507275859.0,-2574052634535.0,321454641324.0,-127675601268.0,-121428116547.0,-6247484721.0,-127675601268.0,193779040056.0,-94171917541.0,-12505961371.0,-1583973493.0,-3794698038.0,-76287284639.0,-94171917541.0,99607122515.0,-98280380.0,99508842135.0,-3454356840.0,96054485295.0,99508842135.0,99508807639.0,34496.0,99508842135.0,96054485295.0,96054450799.0,34496.0,96054485295.0
12M 2024,3372465083657.0,-2984361525535.0,388103558122.0,-192722775557.0,-134651830710.0,-58070944847.0,-192722775557.0,195380782565.0,-113340011142.0,-13995672594.0,-2104061525.0,-3735967367.0,-93504309656.0,-113340011142.0,82040771423.0,-438604540.0,81602166883.0,-7052501705.0,74549665178.0,81602166883.0,81602166807.0,76.0,81602166883.0,74549665178.0,74549665102.0,76.0,74549665178.0
