Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Pihak Berelasi,Pihak Ketiga,Total Tagihan Bruto Kepada Pemberi Kerja,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,120203017008.000000,142500000.000000,164892855777.000000,785454230.000000,164107401547.000000,164892855777.000000,106915558223.000000,11663053978.000000,95252504245.000000,106915558223.000000,236751912223.000000,28819149664.000000,207932762559.000000,236751912223.000000,,107784940638.000000,736690783869.000000,,1914406925.000000,,,74284886173.000000,10339103058.000000,12656406535.000000,99194802691.000000,835885586560.000000,,,533680753883.000000,21429598203.000000,,131280677918.000000,131280677918.000000,,2283235742.000000,2283235742.000000,18683748427.000000,226059470.000000,359777434123.000000,533680753883.000000,34048587634.000000,10923715316.000000,23124872318.000000,34048587634.000000,567729341517.000000,,16000000000.000000,,252144400839.000000,,,252144400839.000000,11844204.000000,,268156245043.000000,835885586560.000000,2480000000.000000
12M 2013,,,320470838716.000000,30071420364.000000,374248915194.000000,13438976980.000000,360809938214.000000,374248915194.000000,169433090894.000000,18682124991.000000,150750965903.000000,169433090894.000000,351102260469.000000,56607292557.000000,294494967912.000000,351102260469.000000,,59617433231.000000,1304943958868.000000,,1379315875.000000,,,118619909245.000000,8482838666.000000,191892960365.000000,320375024151.000000,1625318983019.000000,,,793347481386.000000,,,302869289611.000000,302869289611.000000,,19478661988.000000,19478661988.000000,25360476532.000000,,445639053255.000000,793347481386.000000,46470521400.000000,19392282444.000000,27078238956.000000,46470521400.000000,839818002786.000000,,248000000000.000000,321556052854.000000,215943970441.000000,,,215943970441.000000,956936.000000,,785500980231.000000,1625318983017.000000,2480000000.000000
12M 2014,,,276841255822.000000,2220000000.000000,387561650977.000000,20817201072.000000,366744449905.000000,387561650977.000000,217647392359.000000,9963118330.000000,207684274029.000000,217647392359.000000,205691374143.000000,15200657781.000000,190490716362.000000,205691374143.000000,,239061639592.000000,1329023312893.000000,,1394729825.000000,,,138861633285.000000,7071691870.000000,368356676914.000000,515684731894.000000,1844708044787.000000,,,789829144460.000000,,,324840480279.000000,324840480279.000000,,57481581502.000000,57481581502.000000,26586909636.000000,,380920173043.000000,789829144460.000000,60945958387.000000,26435446010.000000,34510512377.000000,60945958387.000000,850775102847.000000,,248000014600.000000,321556191554.000000,424376669009.000000,5000000000.000000,419376669009.000000,424376669009.000000,66777.000000,,993932941940.000000,1844708044787.000000,2480000146.000000
12M 2015,,,338182545046.000000,,365928385391.000000,5727014736.000000,360201370655.000000,365928385391.000000,248333421339.000000,31066448973.000000,217266972366.000000,248333421339.000000,484135422807.000000,30717439085.000000,453417983722.000000,484135422807.000000,,65431471075.000000,1502011245658.000000,,7059211756.000000,,892117944.000000,118991557861.000000,6650812008.000000,359486439479.000000,493080139048.000000,1995091384706.000000,,,813409554884.000000,,,372372518496.000000,372372518496.000000,,82018895070.000000,82018895070.000000,29000161467.000000,20000000.000000,329997979851.000000,813409554884.000000,95048676645.000000,38408748125.000000,56639928520.000000,95048676645.000000,908458231529.000000,,249625784600.000000,337001006554.000000,530115471572.000000,10000000000.000000,520115471572.000000,530115471572.000000,65610.000000,-30109175159.000000,1086633153177.000000,1995091384706.000000,2496257846.000000
12M 2016,,,446727061674.000000,,238314027850.000000,13581400204.000000,224732627646.000000,238314027850.000000,254684861897.000000,14178270720.000000,240506591177.000000,254684861897.000000,617886411963.000000,13335555577.000000,604550856386.000000,617886411963.000000,,67358352240.000000,1624970715624.000000,,7292742931.000000,,892117944.000000,94895999048.000000,24251932146.000000,381910287413.000000,509243079482.000000,2134213795106.000000,,,875549581773.000000,,,508635938430.000000,508635938430.000000,,67217825605.000000,67217825605.000000,21886787352.000000,154675000.000000,277654355386.000000,875549581773.000000,117004409481.000000,49843316866.000000,67161092615.000000,117004409481.000000,992553991254.000000,,249625834400.000000,342472165654.000000,584586932660.000000,15000000000.000000,569586932660.000000,584586932660.000000,64437.000000,-35025193299.000000,1141659803852.000000,2134213795106.000000,2496258344.000000
12M 2017,,,656857297887.000000,,274330150173.000000,2780236500.000000,271549913673.000000,274330150173.000000,262503453437.000000,317663574.000000,262185789863.000000,262503453437.000000,547642822210.000000,792621605.000000,546850200605.000000,547642822210.000000,,232465266092.000000,1973798989799.000000,,,,,23831052284.000000,96908240791.000000,247628560946.000000,368367854021.000000,2342166843820.000000,,,1013940915004.000000,,,430161769632.000000,430161769632.000000,,6872090230.000000,6872090230.000000,52213149802.000000,,524693905340.000000,1013940915004.000000,125369133737.000000,40583748125.000000,84785385612.000000,125369133737.000000,1139310048741.000000,,249625834400.000000,342472165654.000000,645783923754.000000,20000000000.000000,625783923754.000000,645783923754.000000,64570.000000,-35025193299.000000,1202856795079.000000,2342166843820.000000,2496258344.000000
12M 2018,,,736127823546.000000,,297609050755.000000,2780236500.000000,294828814255.000000,297609050755.000000,260196999486.000000,1138308000.000000,259058691486.000000,260196999486.000000,639854776767.000000,3070016732.000000,636784760035.000000,639854776767.000000,748388108.000000,48713873055.000000,1983250911717.000000,,,,,23410172422.000000,95907631065.000000,152143050436.000000,271460853923.000000,2254711765640.000000,,,957671673254.000000,8704863450.000000,,441204629997.000000,441204629997.000000,,5696686480.000000,5696686480.000000,23003550374.000000,645372400.000000,478416570553.000000,957671673254.000000,88803169332.000000,1739518555.000000,87063650777.000000,88803169332.000000,1046474842586.000000,,249625834400.000000,342472165654.000000,651164314852.000000,25000000000.000000,626164314852.000000,651164314852.000000,-198553.000000,-35025193299.000000,1208236923054.000000,2254711765640.000000,2496258344.000000
12M 2019,,,688987603088.000000,,409185766441.000000,,409185766441.000000,409185766441.000000,332417597670.000000,3106510347.000000,329311087323.000000,332417597670.000000,725977705623.000000,1101814385.000000,724875891238.000000,725977705623.000000,789097195.000000,47068241238.000000,2204426011255.000000,,,,,25745542573.000000,81983923408.000000,150657534518.000000,258387000499.000000,2462813011754.000000,,,1138448895846.000000,109150000000.000000,,597805439513.000000,597805439513.000000,,7768200455.000000,7768200455.000000,30066629287.000000,552461137.000000,393106165454.000000,1138448895846.000000,103199399761.000000,6900139444.000000,96299260317.000000,103199399761.000000,1241648295607.000000,,249625834400.000000,342472165654.000000,664091417622.000000,30000000000.000000,634091417622.000000,664091417622.000000,491770.000000,-35025193299.000000,1221164716147.000000,2462813011754.000000,2496258344.000000
12M 2020,,,577507317865.000000,,241166108590.000000,,241166108590.000000,241166108590.000000,425337528894.000000,3106510347.000000,422231018547.000000,425337528894.000000,714495829399.000000,291818126.000000,714204011273.000000,714495829399.000000,742848199.000000,23372329095.000000,1982621962042.000000,,,,,82268923906.000000,47293113065.000000,109275174554.000000,238837211525.000000,2221459173567.000000,,,963898747486.000000,196150000000.000000,,507171746743.000000,507171746743.000000,,6640942476.000000,6640942476.000000,21794978064.000000,1111467216.000000,231029612987.000000,963898747486.000000,104405053731.000000,1739518555.000000,102665535176.000000,104405053731.000000,1068303801217.000000,,249625834400.000000,342472165654.000000,603469730229.000000,35000000000.000000,568469730229.000000,603469730229.000000,126035.000000,-42412483968.000000,1153155372350.000000,2221459173567.000000,2496258344.000000
12M 2021,,,495506654417.000000,,391282070676.000000,5755721449.000000,385526349227.000000,391282070676.000000,348578246839.000000,4328310347.000000,344249936492.000000,348578246839.000000,659897536463.000000,16567557476.000000,643329978987.000000,659897536463.000000,746859481.000000,37848148501.000000,1933859516377.000000,,,,,72083166950.000000,44420361347.000000,92582363690.000000,209085891987.000000,2142945408364.000000,,,890539846897.000000,21999999693.000000,,524195765594.000000,524195765594.000000,,6369577573.000000,6369577573.000000,32500305706.000000,2192912595.000000,303281285736.000000,890539846897.000000,85316525248.000000,1685891272.000000,83630633976.000000,85316525248.000000,975856372145.000000,,249625834400.000000,342472165654.000000,617403409935.000000,40000000000.000000,577403409935.000000,617403409935.000000,110198.000000,-42412483968.000000,1167089036219.000000,2142945408364.000000,2496258344.000000
12M 2022,,,647154955522.000000,,376233366469.000000,,376233366469.000000,376233366469.000000,367640723915.000000,7996845190.000000,359643878725.000000,367640723915.000000,807835259682.000000,56579212853.000000,751256046829.000000,807835259682.000000,763512657.000000,49785985148.000000,2249413803393.000000,,,,,75328799721.000000,40373064172.000000,89736643910.000000,205438507803.000000,2454852311196.000000,,,1162654210757.000000,226037309507.000000,,499129340585.000000,499129340585.000000,,4429829603.000000,4429829603.000000,19033172044.000000,975404172.000000,413049154846.000000,1162654210757.000000,88487500017.000000,1509555693.000000,86977944324.000000,88487500017.000000,1251141710774.000000,,249625834400.000000,342472165654.000000,654025047943.000000,45000000000.000000,609025047943.000000,654025047943.000000,36393.000000,-42412483968.000000,1203710600422.000000,2454852311196.000000,2496258344.000000
12M 2023,,,614914599251.000000,,256167314560.000000,1614363880.000000,254552950680.000000,256167314560.000000,388355612255.000000,15406104489.000000,372949507766.000000,388355612255.000000,819717660210.000000,61118942064.000000,758598718146.000000,819717660210.000000,798454890.000000,39753108330.000000,2119706749496.000000,,,13376026507.000000,,80183732462.000000,85029203086.000000,37970154385.000000,216559116440.000000,2336265865936.000000,,,1042849914823.000000,134813326787.000000,,498579719402.000000,498579719402.000000,,4028150306.000000,4028150306.000000,17917390415.000000,585113465.000000,386926214448.000000,1042849914823.000000,95168116174.000000,2699729491.000000,92468386683.000000,95168116174.000000,1138018030997.000000,,249625834400.000000,342472165654.000000,648562208294.000000,50000000000.000000,598562208294.000000,648562208294.000000,110559.000000,-42412483968.000000,1198247834939.000000,2336265865936.000000,2496258344.000000
12M 2024,,,538738474154.000000,,484483997411.000000,18334225146.000000,466149772265.000000,484483997411.000000,277272321188.000000,22197235420.000000,255075085768.000000,277272321188.000000,687328634440.000000,264853249178.000000,422475385262.000000,687328634440.000000,764800041.000000,48244629239.000000,2036832856473.000000,,,33632964982.000000,,79661436285.000000,69470874538.000000,153520202747.000000,336285478552.000000,2373118335025.000000,,,1057582278430.000000,180733745783.000000,,432879076504.000000,432879076504.000000,,3913517776.000000,3913517776.000000,31146420685.000000,643109382.000000,408266408300.000000,1057582278430.000000,111180083986.000000,6699475779.000000,104480608207.000000,111180083986.000000,1168762362416.000000,,249625834400.000000,341178319306.000000,653016601420.000000,55000000000.000000,598016601420.000000,653016601420.000000,110635.000000,-39464893152.000000,1204355972609.000000,2373118335025.000000,2496258344.000000
