Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Bunga,Pembayaran Operasi Iain-Iain,Pendapatan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penambahan Investasi Pada Pengendalian Bersama Entitas,Penambahan Investasi Jangka Panjang Lainnya,Penerimaan Dari Penjualan Investasi,Penambahan Investasi Pada Entitas Asosiasi,Penambahan Dari Investasi Ventura Bersama,Penerimaan Dari Ventura Bersama,Penjualan Properti Investasi,Hasil Penjualan Aset Tetap,Penambahan Uang Muka Pembelian Aset Tetap,Uang Muka Investasi Pada Entitas Asosiasi,Perolehan Properti Investasi,Perolehan Aset Tetap,Penempatan Deposito Berjangka,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman,Penerimaan Modal Disetor,Modal Saham Diperoleh Kembali,Penerimaan Dari Utang Pihak Berelasi Non-Usaha,Pembayaran Utang Pihak Berelasi Non-Usaha,Pembayaran Biaya Penunjang Penawaran Umum Perdana,Pengembalian Pinjaman Kepada Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Berelasi,Penerimaan Dari Utang Pihak Berelasi Non Usaha,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Dividen,Penerimaan Dari Penjualan Saham Treasuri,Penempatan Aset Lancar Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Reklasifikasi Dari Aset Keuangan Lancar Lainnya,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,15555956372.000000,2256458616148.000000,-2074424434596.000000,,,-2074424434596.000000,-63730307661.000000,-2558840153.000000,-100189077366.000000,,15555956372.000000,-4839347995.000000,3315109825.000000,-1941480000.000000,,,,,,9512253411.000000,20847996000.000000,,,,-36510727231.000000,-62500000.000000,,-4839347995.000000,21429598203.000000,66000000000.000000,,,,,,,,,,-44570401797.000000,,,,21429598203.000000,32146206580.000000,,,88056810428.000000,120203017008.000000
12M 2013,51987062224.000000,2741592221230.000000,-2536306397561.000000,,,-2536306397561.000000,-84074933041.000000,-1241469579.000000,-67982358825.000000,,51987062224.000000,-159845695167.000000,11342600519.000000,-117185494561.000000,,,,,,1829568005.000000,25892210503.000000,,,,-51795659269.000000,-29928920364.000000,,-159845695167.000000,308126454651.000000,20000000000.000000,564173950000.000000,,,,-10617897146.000000,,,,,-41429598203.000000,-224000000000.000000,,,308126454651.000000,200267821708.000000,,,120203017008.000000,320470838716.000000
12M 2014,4292744411.000000,3360119290005.000000,-3160945987309.000000,,,-3160945987309.000000,-103186036844.000000,-25534925.000000,-91668986516.000000,,4292744411.000000,21517661903.000000,14496632404.000000,,,,,,7000000000.000000,1264170559.000000,725409909.000000,,,,-29819971333.000000,27851420364.000000,,21517661903.000000,-69439989208.000000,,14600.000000,,,,,,,,,,-69440003808.000000,,,-69439989208.000000,-43629582894.000000,,,320470838716.000000,276841255822.000000
12M 2015,108184412966.000000,3349231732567.000000,-3017490074070.000000,,,-3017490074070.000000,-100363023083.000000,-94182901.000000,-138383600484.000000,15283560937.000000,108184412966.000000,43697069705.000000,,,-892117944.000000,,,,124500000000.000000,,139863637.000000,,,,-57780447548.000000,-22270228440.000000,,43697069705.000000,-90551895005.000000,,1625770000.000000,-29141894960.000000,,,,,-4064668056.000000,16016465681.000000,,,-74987567670.000000,,,-90551895005.000000,61329587666.000000,11701559.000000,,276841255822.000000,338182545047.000000
12M 2016,227756824451.000000,2411517112371.000000,-2078764893620.000000,,-81950281340.000000,-2078764893620.000000,-72174304407.000000,-83533958.000000,-52493938975.000000,19756383040.000000,227756824451.000000,7175349671.000000,,,,,,,9225641000.000000,,12150728217.000000,,,,-15877847986.000000,1676828440.000000,,7175349671.000000,-44434800369.000000,,522900.000000,-5883298339.000000,,,,,-883141514.000000,2175000000.000000,,,-39843883416.000000,,,-44434800369.000000,108547092413.000000,-2575785.000000,,338182545046.000000,446727061674.000000
12M 2017,303805001352.000000,2373576375391.000000,-1995617263224.000000,,-79703102107.000000,-1995617263224.000000,-67437189261.000000,-65828841.000000,-29922102152.000000,23271009439.000000,303805001352.000000,49163463258.000000,,,,35020566041.000000,,,42700000000.000000,,1888863636.000000,,,,-33259366419.000000,2813400000.000000,,49163463258.000000,-83172302496.000000,,,,,-9259568741.000000,,883141514.000000,-1538429949.000000,,,,-73257445320.000000,,,-83172302496.000000,190093060007.000000,37176206.000000,20000000000.000000,446727061674.000000,656857297887.000000
12M 2018,-78264587937.000000,2296332079526.000000,,-2182635647554.000000,-83574300500.000000,-2266209948054.000000,-100216465731.000000,-92841775.000000,-45078929181.000000,37001517278.000000,-78264587937.000000,246467654122.000000,,,,189550000000.000000,,,83051687052.000000,,953590908.000000,,,,-27087623838.000000,,,246467654122.000000,-88971730310.000000,,,,,,,,,,8704863450.000000,,-97676593760.000000,,,-88971730310.000000,79231335875.000000,39189784.000000,,656857297887.000000,736127823546.000000
12M 2019,-68373075003.000000,2255260011273.000000,,-2157150627060.000000,-87326006146.000000,-2244476633206.000000,-66389084056.000000,-4029184726.000000,-44850808191.000000,36112623903.000000,-68373075003.000000,-5932076888.000000,,,,,,,532503500.000000,,,,,,-6464580388.000000,,,-5932076888.000000,27187691230.000000,,,,,,,,,,111113434597.000000,-10668298047.000000,-73257445320.000000,,,27187691230.000000,-47117460661.000000,-22759797.000000,,736127823546.000000,688987603088.000000
12M 2020,-140738938560.000000,1937891121538.000000,,-1932283852217.000000,-68455520099.000000,-2000739372316.000000,-58068079674.000000,-14948277325.000000,-32609226319.000000,27734895536.000000,-140738938560.000000,15227589717.000000,,,,,,-4344400000.000000,40534958009.000000,4954545455.000000,,,,-24066164545.000000,-1851349202.000000,,,15227589717.000000,14025129842.000000,,,-7387290669.000000,,-5160620889.000000,,,,,87000000000.000000,,-60426958600.000000,,,14025129842.000000,-111486219001.000000,5933778.000000,,688987603088.000000,577507317865.000000
12M 2021,132805546864.000000,1720542000658.000000,,-1467596892815.000000,-61294023815.000000,-1528890916630.000000,-45499277616.000000,-15092857861.000000,-14412190605.000000,16158788918.000000,132805546864.000000,-4373117274.000000,,,,,,-1379000000.000000,2259000000.000000,1818181818.000000,124000000.000000,-3873165303.000000,,,-3322133789.000000,,,-4373117274.000000,-210459802750.000000,,,,,-53627283.000000,,,,,29067929822.000000,-203217930129.000000,-36256175160.000000,,,-210459802750.000000,-82027373160.000000,26709712.000000,,577507317865.000000,495506654417.000000
