Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Beban Pajak,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Penerimaan Dari Piutang Lain-Lain Kepada Pihak Berelasi,Pembayaran Dari Piutang Lain-Lain Kepada Pihak Berelasi,Penjualan Aset Tetap,Perolehan Aset Hak Guna,Perolehan Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Lain-Lain Kepada Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Penerimaan Dari Penawaran Umum Perdana Saham Setelah Dikurangi Biaya Emisi Saham,Setoran Modal Ke Entitas Anak Dari Kepentingan Nonpengendali,Penerimaan Dari Penerbitan Saham Biasa,Penerimaan Dari Penawaran Umum,Pembayaran Biaya Emisi Penawaran Umum,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,8065633932.000000,1459132665230.000000,-1446676279806.000000,-4048108872.000000,101752800.000000,-344029092.000000,-100366328.000000,8065633932.000000,-1396949400.000000,,-1396949400.000000,,,,,,-1396949400.000000,,,,,,,,,,,,,,,6668684532.000000,1297269524.000000,7965954056.000000
12M 2021,18027861266.000000,2519739223651.000000,-2489496092702.000000,-10295159424.000000,57389261.000000,-1777178366.000000,-200321154.000000,18027861266.000000,-5512777607.000000,,-2760186020.000000,,-2752591587.000000,,,,-5512777607.000000,-16237493253.000000,,,,,,,,,,,,-16237493253.000000,-16237493253.000000,-3722409594.000000,7965954056.000000,4243544462.000000
12M 2022,19552902165.000000,2389314228089.000000,-2348318299382.000000,-15413970354.000000,12085547.000000,-5671558259.000000,-369583476.000000,19552902165.000000,-29682647919.000000,,-5318092239.000000,3275000000.000000,-24908494408.000000,234234234.000000,-645715649.000000,-2319579857.000000,-29682647919.000000,9463194444.000000,,,,10000000000.000000,-555555556.000000,,,18750000.000000,,,,,9463194444.000000,-666551310.000000,4243544462.000000,3576993152.000000
12M 2023,-35261312460.000000,2351282568136.000000,-2366673140100.000000,-15471884088.000000,107901550.000000,-2445894168.000000,-2060863790.000000,-35261312460.000000,-6741141320.000000,-24719594595.000000,-5897922965.000000,24888075861.000000,,260609910.000000,-669809531.000000,-602500000.000000,-6741141320.000000,42949585924.000000,854858646.000000,5500000000.000000,-9392736.000000,19444444444.000000,-14032901718.000000,211317188.000000,,-18739900.000000,31000000000.000000,,,,42949585924.000000,947132144.000000,3576993152.000000,4524125296.000000
12M 2024,-51012100581.000000,2277391610838.000000,-2308911585062.000000,-14343933042.000000,80415936.000000,-2187415234.000000,-3041194017.000000,-51012100581.000000,-15655837930.000000,-1064391053.000000,-12627664455.000000,,,88186999.000000,-316981982.000000,-1734987439.000000,-15655837930.000000,118284608837.000000,-854858646.000000,20000000000.000000,-11540292.000000,,-5767312075.000000,-130000000.000000,,,,109404941195.000000,-4356621345.000000,,118284608837.000000,51616670326.000000,4524125295.000000,56140795621.000000
