Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,7965954056.000000,1579117374.000000,1579117374.000000,1579117374.000000,,,,,5683080635.000000,15575636527.000000,30803788592.000000,,1143165355.000000,,,1143165355.000000,31946953947.000000,,,28538963246.000000,,,,,,,,503759812.000000,,,,,28035203434.000000,28538963246.000000,,,,,,,,28538963246.000000,,250000000.000000,,3157990701.000000,3157990701.000000,,3157990701.000000,,,3407990701.000000,31946953947.000000,250.000000
12M 2021,,,4243544462.000000,2642703780.000000,2642703780.000000,2642703780.000000,2755091587.000000,2752591587.000000,2500000.000000,2755091587.000000,65173770.000000,19127246058.000000,28833759657.000000,,3057515755.000000,212586838.000000,,3270102593.000000,32103862250.000000,,,31061126527.000000,,,,,,,162000000.000000,2790810677.000000,,,,,28108315850.000000,31061126527.000000,681168000.000000,,,,,681168000.000000,681168000.000000,31742294527.000000,,250000000.000000,,111567723.000000,111567723.000000,,111567723.000000,,,361567723.000000,32103862250.000000,2500000.000000
12M 2022,,,3576993152.000000,658793713.000000,658793713.000000,658793713.000000,24888075861.000000,24888075861.000000,,24888075861.000000,261416899.000000,3243688073.000000,32628967698.000000,,6969054057.000000,409035534.000000,3222523185.000000,10600612776.000000,43229580474.000000,,,30714546034.000000,,,,,261100412.000000,261100412.000000,369504370.000000,64821258.000000,,3333333330.000000,234438201.000000,3567771531.000000,26451348463.000000,30714546034.000000,7431633486.000000,,6111111114.000000,287994372.000000,6399105486.000000,1032528000.000000,7431633486.000000,38146179520.000000,,250000000.000000,,4714820988.000000,4714820988.000000,,4714820988.000000,-44607734.000000,163187700.000000,5083400954.000000,43229580474.000000,2500000.000000
12M 2023,,,4524125295.000000,781891879.000000,781891879.000000,781891879.000000,140059159.000000,,140059159.000000,140059159.000000,1487441500.000000,41824112581.000000,48757630414.000000,,11142052181.000000,403881345.000000,32481267326.000000,44027200852.000000,92784831266.000000,,,41469313053.000000,5490607264.000000,5091747941.000000,,932778789.000000,134607500.000000,1067386289.000000,2741924359.000000,391291752.000000,,5851105204.000000,174991428.000000,6026096632.000000,20660258816.000000,41469313053.000000,9807564726.000000,,9004881966.000000,36325760.000000,9041207726.000000,766357000.000000,9807564726.000000,51276877779.000000,,35000000000.000000,,6327342974.000000,6277342974.000000,50000000.000000,6327342974.000000,3322.000000,180607191.000000,41507953487.000000,92784831266.000000,3500000000.000000
12M 2024,,,56140795621.000000,760664313.000000,760664313.000000,760664313.000000,97850000.000000,,97850000.000000,97850000.000000,1227757691.000000,102634526352.000000,160861593977.000000,,22738319974.000000,808965043.000000,31076185722.000000,54623470739.000000,215485064716.000000,,,57698852780.000000,25479066972.000000,4917279964.000000,,72920143.000000,374030362.000000,446950505.000000,789313086.000000,632687868.000000,,5731551814.000000,269017465.000000,6000569279.000000,19432985106.000000,57698852780.000000,4419266030.000000,,3357123281.000000,152421749.000000,3509545030.000000,909721000.000000,4419266030.000000,62118118810.000000,,43752064910.000000,96296254940.000000,13053705345.000000,13003705345.000000,50000000.000000,13053705345.000000,6981.000000,264913730.000000,153366945906.000000,215485064716.000000,4375206491.000000
