Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Pajak Tangguhan,Total Beban Pajak Penghasilan,Adjustment,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,122175980795.000000,-72338643239.000000,49837337556.000000,-39890567080.000000,-39890567080.000000,,,-39890567080.000000,9946770476.000000,-2711561788.000000,,,,,,-2711561788.000000,,7235208688.000000,-2738009570.000000,-3243781146.000000,505771576.000000,,505771576.000000,-2738009570.000000,,4497199118.000000,-17271.000000,-258335.000000,4496923512.000000,,,,,4496923512.000000,4497199118.000000,-17271.000000,-258335.000000,4496923512.000000,,,,
12M 2010,149177640303.000000,-80241449565.000000,68936190738.000000,-56117282644.000000,-56117282644.000000,,,-56117282644.000000,12818908094.000000,-4510941557.000000,,,,,,-4510941557.000000,,8307966537.000000,-2305053809.000000,-3046254588.000000,741200779.000000,,741200779.000000,-2305053809.000000,,6002912728.000000,2172159.000000,,6005084887.000000,,,,,6005084887.000000,6002912728.000000,2172159.000000,,6005084887.000000,,,,
12M 2011,167481196178.000000,-88273122157.000000,79208074021.000000,-58826138239.000000,-58826138239.000000,,,-58826138239.000000,20381935782.000000,-14506272726.000000,,,,,,-14506272726.000000,,5875663056.000000,-1169370850.000000,-1806196544.000000,,636825694.000000,636825694.000000,-1169370850.000000,,4706292206.000000,,,4706292206.000000,,,,4706292206.000000,4706292206.000000,4705078326.000000,1213880.000000,,4706292206.000000,4706292206.000000,4705078326.000000,1213880.000000,4706292206.000000
12M 2012,194501975833.000000,-104021851299.000000,90480124534.000000,-72316130848.000000,-72316130848.000000,,,-72316130848.000000,18163993686.000000,-11855624657.000000,,,,,,-11855624657.000000,,6308369029.000000,-1582995817.000000,-3865474395.000000,,2282478578.000000,2282478578.000000,-1582995817.000000,,4725373212.000000,,,4725373212.000000,,,,4725373212.000000,4725373212.000000,4737470881.000000,-12097669.000000,,4725373212.000000,4725373212.000000,4737470881.000000,-12097669.000000,4725373212.000000
12M 2013,221473537146.000000,-151895506377.000000,69578030769.000000,-112871588015.000000,-105552903353.000000,-7318684662.000000,,-112871588015.000000,-43293557246.000000,-28545234141.000000,-23759120778.000000,-9431053893.000000,6031183515.000000,,-1386242985.000000,-28545234141.000000,,-71838791387.000000,16262070657.000000,-6075537000.000000,,22337607657.000000,22337607657.000000,16262070657.000000,,-55576720730.000000,,,-55576720730.000000,,,,-55576720730.000000,-55576720730.000000,-55121285990.000000,-455434740.000000,,-55576720730.000000,-55576720730.000000,-55121285990.000000,-455434740.000000,-55576720730.000000
12M 2014,340517477381.000000,-316227297417.000000,24290179964.000000,-124237826152.000000,-119771106505.000000,-4466719647.000000,,-124237826152.000000,-99947646188.000000,-39401501473.000000,-55697193455.000000,-3728432878.000000,18044559744.000000,,1979565116.000000,-39401501473.000000,,-139349147661.000000,38701018321.000000,,,38701018321.000000,38701018321.000000,38701018321.000000,,-100648129340.000000,,,-100648129340.000000,,,,-100648129340.000000,-100648129340.000000,-100361508614.000000,-286620726.000000,,-100648129340.000000,-100648129340.000000,-100361508614.000000,-286620726.000000,-100648129340.000000
12M 2015,449070584340.000000,-392911420276.000000,56159164064.000000,-157078594468.000000,-152278883823.000000,-4799710645.000000,,-157078594468.000000,-100919430404.000000,-26248538096.000000,-48038935987.000000,2226431834.000000,19968988465.000000,,-405022408.000000,-26248538096.000000,,-127167968500.000000,-5412793668.000000,,,-5412793668.000000,-5412793668.000000,-5412793668.000000,,-132580762168.000000,,,-132580762168.000000,2570722987.000000,2570722987.000000,2570722987.000000,-130010039181.000000,-132580762168.000000,-132172386621.000000,-408375547.000000,,-132580762168.000000,-130010039181.000000,-129606204959.000000,-403834222.000000,-130010039181.000000
12M 2016,576181935845.000000,-467463053481.000000,108718882364.000000,-197348421873.000000,-190092926892.000000,-7255494981.000000,,-197348421873.000000,-88629539509.000000,-24929583370.000000,-37153873410.000000,-6637256969.000000,11545557686.000000,,7315989323.000000,-24929583370.000000,,-113559122879.000000,16052214162.000000,,,16052214162.000000,16052214162.000000,16052214162.000000,,-97506908717.000000,,,-97506908717.000000,809778312.000000,809778312.000000,809778312.000000,-96697130405.000000,-97506908717.000000,-97222036255.000000,-284872462.000000,,-97506908717.000000,-96697130405.000000,-96413416552.000000,-283713853.000000,-96697130405.000000
12M 2017,631679891159.000000,-519803669533.000000,111876221626.000000,-202915116006.000000,-195544618234.000000,-7370497772.000000,,-202915116006.000000,-91038894380.000000,-9040739524.000000,-19656313953.000000,5655302.000000,25715357869.000000,,-15105438742.000000,-9040739524.000000,,-100079633904.000000,-1201460881.000000,,,-1201460881.000000,-1201460881.000000,-1201460881.000000,,-101281094785.000000,,,-101281094785.000000,2108814545.000000,2108814545.000000,2108814545.000000,-99172280240.000000,-101281094785.000000,-100850146236.000000,-430948549.000000,,-101281094785.000000,-99172280240.000000,-98741192212.000000,-431088028.000000,-99172280240.000000
12M 2018,806031479570.000000,-618688230326.000000,187343249244.000000,-269882902276.000000,-260193131853.000000,-9689770423.000000,,-269882902276.000000,-82539653032.000000,-14438580956.000000,-15972315537.000000,145754440.000000,8998694604.000000,,-7610714463.000000,-14438580956.000000,,-96978233988.000000,1377654792.000000,,,1377654792.000000,1377654792.000000,1377654792.000000,,-95600579196.000000,,,-95600579196.000000,8049308784.000000,8049308784.000000,8049308784.000000,-87551270412.000000,-95600579196.000000,-95418538172.000000,-182041024.000000,,-95600579196.000000,-87551270412.000000,-87374617045.000000,-176653367.000000,-87551270412.000000
12M 2019,1002002453771.000000,-721716941092.000000,280285512679.000000,-328530257802.000000,-316726604883.000000,-11803652919.000000,,-328530257802.000000,-48244745123.000000,-18078311500.000000,-14826881625.000000,-32442781.000000,9567767836.000000,,-12786754930.000000,-18078311500.000000,,-66323056623.000000,-9451067652.000000,-793141470.000000,,-8657926182.000000,-8657926182.000000,-9451067652.000000,,-75774124275.000000,,,-75774124275.000000,9679137696.000000,9679137696.000000,9679137696.000000,-66094986579.000000,-75774124275.000000,-75669801059.000000,-104323216.000000,,-75774124275.000000,-66094986579.000000,-66003708762.000000,-91277817.000000,-66094986579.000000
12M 2020,1283798609174.000000,-864698280519.000000,419100328655.000000,-403247021870.000000,-392704802139.000000,-10542219731.000000,,-403247021870.000000,15853306785.000000,-15661916419.000000,-70561549474.000000,,26470099827.000000,,28429533228.000000,-15661916419.000000,,191390366.000000,-14689448354.000000,,,-14689448354.000000,-14689448354.000000,-14689448354.000000,,-14498057988.000000,,,-14498057988.000000,4996817740.000000,4996817740.000000,4996817740.000000,-9501240248.000000,-14498057988.000000,-14380627056.000000,-117430932.000000,,-14498057988.000000,-9501240248.000000,-9387214298.000000,-114025950.000000,-9501240248.000000
12M 2021,1924453140978.000000,-1219420404326.000000,705032736652.000000,-478548267031.000000,-462409623024.000000,-16138644007.000000,,-478548267031.000000,226484469621.000000,-70064959786.000000,-118034051135.000000,,23940936423.000000,,24028154926.000000,-70064959786.000000,,156419509835.000000,9184536739.000000,-12069226180.000000,21253762919.000000,,21253762919.000000,9184536739.000000,,165604046574.000000,,,165604046574.000000,7062226345.000000,7062226345.000000,7062226345.000000,172666272919.000000,165604046574.000000,165308238619.000000,295807955.000000,,165604046574.000000,172666272919.000000,172365197898.000000,301075021.000000,172666272919.000000
12M 2022,1934163680964.000000,-1377109387379.000000,557054293585.000000,-526040503861.000000,-502013236172.000000,-24027267689.000000,,-526040503861.000000,31013789724.000000,-73100675960.000000,-96665120830.000000,,19404583424.000000,,4159861446.000000,-73100675960.000000,,-42086886236.000000,-2100344487.000000,-16669669780.000000,14569325293.000000,,14569325293.000000,-2100344487.000000,,-44187230723.000000,,,-44187230723.000000,11922806156.000000,11922806156.000000,11922806156.000000,-32264424567.000000,-44187230723.000000,-44314949025.000000,127718302.000000,,-44187230723.000000,-32264424567.000000,-32399970547.000000,135545980.000000,-32264424567.000000
