Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,116.22,0.00,116.07,,,,(5 B),(29 B)
12M 2010,0.00,115.72,0.00,115.59,22 B,,22 B,11 B,(19 B)
12M 2011,2.78,116.78,2.79,116.67,11 B,,11 B,2 B,(12 B)
12M 2012,3.69,117.63,3.71,117.09,161 B,,161 B,134 B,(187 B)
12M 2013,1.60,154.81,1.60,154.08,144 B,372 B,516 B,128 B,37 B
12M 2014,2.15,142.32,2.16,141.76,130 B,294 B,424 B,25 B,73 B
12M 2015,2.89,126.16,2.90,125.81,191 B,170 B,362 B,115 B,(133 B)
12M 2016,1.55,157.77,1.55,157.67,140 B,75 B,216 B,(502 B),542 B
12M 2017,1.63,148.72,1.63,148.66,102 B,0 B,102 B,(145 B),178 B
12M 2018,1.66,153.47,1.90,133.62,108 B,60 B,168 B,(56 B),(226 B)
12M 2019,1.81,147.97,2.10,127.67,163 B,177 B,340 B,108 B,(461 B)
12M 2020,1.40,146.15,1.63,125.50,367 B,760 B,"1,128 B",498 B,(801 B)
12M 2021,1.93,160.52,2.23,139.20,783 B,203 B,986 B,285 B,"(1,638 B)"
12M 2022,4.15,157.82,4.78,136.94,738 B,"1,165 B","1,903 B",784 B,"(1,157 B)"
12M 2023,1.94,154.66,2.24,133.87,251 B,"1,539 B","1,790 B","1,275 B","(1,107 B)"
12M 2024,15.46,152.64,17.90,131.85,729 B,"1,123 B","1,852 B","1,575 B","(1,764 B)"
