Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,10 B,(172 B),(163 B),-38.85
12M 2010,27 B,(133 B),(106 B),-22.09
12M 2011,47 B,(162 B),(115 B),-20.72
12M 2012,50 B,(300 B),(250 B),-45.16
12M 2013,(15 B),(169 B),(183 B),-22.81
12M 2014,(43 B),(40 B),(83 B),-10.35
12M 2015,21 B,(32 B),(12 B),-1.47
12M 2016,(2 B),(13 B),(15 B),-1.41
12M 2017,14 B,(288 B),(274 B),-25.07
12M 2018,181 B,(407 B),(226 B),-18.87
12M 2019,90 B,(345 B),(255 B),-21.27
12M 2020,94 B,(551 B),(457 B),-38.08
12M 2021,337 B,(467 B),(130 B),-10.87
12M 2022,210 B,(660 B),(449 B),-37.45
12M 2023,56 B,(497 B),(441 B),-36.75
12M 2024,273 B,(532 B),(259 B),-21.59
