Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Goodwill,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Kontraktor,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pihak Berelasi,Pihak Ketiga,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pihak Berelasi,Pihak Ketiga,Total Utang Sewa Pembiayaan,Utang Obligasi,Pinjaman Jangka Panjang,Utang Lain-Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pihak Berelasi,Pihak Ketiga,Total Utang Sewa Pembiayaan,Utang Lain-Lain,Utang Obligasi,Pinjaman Jangka Panjang,Surat Berharga Yang Diterbitkan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,4635505837.000000,3169767789.000000,1465738048.000000,4635505837.000000,6636115905.000000,,6636115905.000000,6636115905.000000,36871339.000000,,36871339.000000,36871339.000000,6404116635.000000,2427432720.000000,20140042436.000000,,619449877997.000000,1272393922.000000,664061291.000000,,,4734229101.000000,626120562311.000000,646260604747.000000,,,48726434400.000000,,,,,,5809373347.000000,5809373347.000000,,34141726152.000000,,34141726152.000000,,3600571233.000000,1886009572.000000,,,3098554096.000000,,,,,,,,,,3098554096.000000,190200000.000000,48726434400.000000,108607037570.000000,,,,,,,,,,,107391096065.000000,107391096065.000000,,1215941505.000000,108607037570.000000,157333471970.000000,,418525000000.000000,,,,4667081282.000000,,4667081282.000000,4667081282.000000,2500051495.000000,63235000000.000000,488927132777.000000,646260604747.000000,4185250000.000000
12M 2010,,,11074984085.000000,6845791368.000000,4229192717.000000,11074984085.000000,6799997581.000000,5421650.000000,6794575931.000000,6799997581.000000,204564225.000000,59801662.000000,144762563.000000,204564225.000000,11800761802.000000,3161722781.000000,33042030474.000000,,690468381832.000000,2013594701.000000,626218513.000000,,,2022550000.000000,695130745046.000000,728172775520.000000,,,52169449963.000000,22369070591.000000,,,22369070591.000000,,6431146097.000000,6431146097.000000,,,,,,2727338883.000000,6764057156.000000,,12267064197.000000,1571866705.000000,,,,,,,,,,13838930902.000000,38906334.000000,52169449963.000000,119263854059.000000,,,,,,,,,,,116632744591.000000,116632744591.000000,,2631109468.000000,119263854059.000000,171433304022.000000,,478525000000.000000,,,,16731605759.000000,500000000.000000,16231605759.000000,16731605759.000000,2997865739.000000,58485000000.000000,556739471498.000000,728172775520.000000,4785250000.000000
12M 2011,,,8371817540.000000,6849318411.000000,1522499129.000000,8371817540.000000,5553564693.000000,,5553564693.000000,5553564693.000000,470082282.000000,,470082282.000000,470082282.000000,14681002837.000000,1161595497.000000,30238062849.000000,,830577469107.000000,2650791636.000000,601717450.000000,,,1000000.000000,833830978193.000000,864069041042.000000,,,42159687312.000000,10827793235.000000,,,10827793235.000000,,5822504051.000000,5822504051.000000,,,6700000.000000,6700000.000000,,2191531626.000000,6209079126.000000,,1490000000.000000,15275015271.000000,,,,,,,,,,16765015271.000000,337064003.000000,42159687312.000000,172486140026.000000,,,,,,,,,,,167068871262.000000,167068871262.000000,371241.000000,5416897523.000000,172486140026.000000,214645827338.000000,,553525000000.000000,12977450000.000000,12977450000.000000,12977450000.000000,21436684085.000000,1000000000.000000,20436684085.000000,21436684085.000000,2999079619.000000,58485000000.000000,649423213704.000000,864069041042.000000,5535250000.000000
12M 2012,,,26473208024.000000,8768409357.000000,17704798667.000000,26473208024.000000,8910450851.000000,127597600.000000,8782853251.000000,8910450851.000000,1008772923.000000,,1008772923.000000,1008772923.000000,9950371138.000000,14050215417.000000,60393018353.000000,,1166592246596.000000,4932898973.000000,2976101123.000000,,,1499945862.000000,1176001192554.000000,1236394210907.000000,,,247255726912.000000,,154775200000.000000,5917874727.000000,160693074727.000000,,34662996004.000000,34662996004.000000,,,52020000.000000,52020000.000000,,3904254060.000000,9296588107.000000,,1489999992.000000,36605455475.000000,,,,,,,,,,38095455467.000000,551338547.000000,247255726912.000000,335057100697.000000,,,,,,,,,,,326106959727.000000,326106959727.000000,,8950140970.000000,335057100697.000000,582312827609.000000,,553525000000.000000,12977450000.000000,12977450000.000000,12977450000.000000,26106951348.000000,1500000000.000000,24606951348.000000,26106951348.000000,2986981950.000000,58485000000.000000,654081383298.000000,1236394210907.000000,5535250000.000000
12M 2013,,,387496147183.000000,377079342443.000000,10416804740.000000,387496147183.000000,14958828009.000000,452020000.000000,14506808009.000000,14958828009.000000,3533341444.000000,15000000.000000,3518341444.000000,3533341444.000000,16486658455.000000,5389449846.000000,427864424937.000000,,1318670096945.000000,27270506630.000000,5891327514.000000,,40010000000.000000,232374518876.000000,1624216449965.000000,2052080874902.000000,,,390769321625.000000,,,7522062509.000000,7522062509.000000,,11220791372.000000,11220791372.000000,,193836723060.000000,474243549.000000,194310966609.000000,82736011415.000000,4904610164.000000,14741335272.000000,,,,52578212039.000000,,522500038.000000,167157557.000000,689657595.000000,,,20835766410.000000,,74103636044.000000,1229908240.000000,390769321625.000000,415544102391.000000,,371761300159.000000,,,290939221.000000,290939221.000000,30832801793.000000,,,,,402885041173.000000,,12659061218.000000,415544102391.000000,806313424016.000000,,803048359300.000000,410716879018.000000,,410716879018.000000,29470665358.000000,2000000000.000000,27470665358.000000,29470665358.000000,2531547210.000000,,1245767450886.000000,2052080874902.000000,8030483593.000000
12M 2014,,,398975151248.000000,381288920062.000000,17686231186.000000,398975151248.000000,24809624680.000000,,24809624680.000000,24809624680.000000,803528516.000000,15000000.000000,788528516.000000,803528516.000000,23779489885.000000,6907993939.000000,455275788268.000000,,1283526255838.000000,65971524951.000000,4494754209.000000,,40010000000.000000,8630297074.000000,1402632832072.000000,1857908620340.000000,,,382688020399.000000,,,11810908551.000000,11810908551.000000,,24037791718.000000,24037791718.000000,,179789677021.000000,,179789677021.000000,34145798256.000000,3059708993.000000,23129888735.000000,,,,83488380766.000000,,287277143.000000,273013271.000000,560290414.000000,,,21163842396.000000,,105212513576.000000,1501733549.000000,382688020399.000000,330101278395.000000,,292776559024.000000,,647186347.000000,204392498.000000,851578845.000000,15453750068.000000,,,,,309081887937.000000,,21019390458.000000,330101278395.000000,712789298794.000000,,803048359300.000000,410716879018.000000,,410716879018.000000,-70890843256.000000,2000000000.000000,-72890843256.000000,-70890843256.000000,2244926484.000000,,1145119321546.000000,1857908620340.000000,8030483593.000000
12M 2015,,,246439101961.000000,,,246439101961.000000,33106193398.000000,1089800.000000,33105103598.000000,33106193398.000000,1116897284.000000,16387410.000000,1100509874.000000,1116897284.000000,22904947140.000000,21325623817.000000,324892763600.000000,,1235678088553.000000,59752048887.000000,2809048210.000000,,40010000000.000000,8803451334.000000,1347052636984.000000,1671945400584.000000,,,458099061809.000000,,,25165365653.000000,25165365653.000000,,31716046939.000000,31716046939.000000,,177949758281.000000,,177949758281.000000,36082262171.000000,2590666501.000000,29645110662.000000,,,,129179178861.000000,,638075034.000000,187111135.000000,825186169.000000,,,23162617118.000000,,153166982148.000000,1782869454.000000,458099061809.000000,198837732212.000000,,169597380164.000000,,787923811.000000,,787923811.000000,,,,,,170385303975.000000,,28452428237.000000,198837732212.000000,656936794021.000000,,803048359300.000000,410716879018.000000,,410716879018.000000,-204770309725.000000,2000000000.000000,-206770309725.000000,-204770309725.000000,1885765974.000000,4127911996.000000,1015008606563.000000,1671945400584.000000,8030483593.000000
12M 2016,,,717384677505.000000,,,717384677505.000000,58850982116.000000,,58850982116.000000,58850982116.000000,1225025547.000000,134059851.000000,1090965696.000000,1225025547.000000,23574784693.000000,204644557898.000000,1005680027759.000000,,1087256835984.000000,75534336945.000000,1057970391.000000,,40010000000.000000,94028330353.000000,1297887473673.000000,2303567501432.000000,,,463447516866.000000,,,16810976992.000000,16810976992.000000,,33818006660.000000,33818006660.000000,,228900378334.000000,,228900378334.000000,19584197017.000000,2685620095.000000,40481486310.000000,,,,103000000000.000000,,657255387.000000,357200519.000000,1014455906.000000,,,15931952836.000000,,119946408742.000000,1220442716.000000,463447516866.000000,116070214533.000000,,74597380164.000000,,130668427.000000,562409867.000000,693078294.000000,,,,,,75290458458.000000,,40779756075.000000,116070214533.000000,579517731399.000000,,1091778398100.000000,927725134093.000000,,927725134093.000000,-301992345980.000000,2000000000.000000,-303992345980.000000,-301992345980.000000,1602052121.000000,4936531699.000000,1724049770033.000000,2303567501432.000000,10917783981.000000
12M 2017,,,246241795184.000000,,,246241795184.000000,81103982935.000000,,81103982935.000000,81103982935.000000,951343348.000000,5234306.000000,946109042.000000,951343348.000000,27085106932.000000,300815277874.000000,656197506273.000000,,1295256766338.000000,73629937882.000000,704558462.000000,,40010000000.000000,90146887466.000000,1499748150148.000000,2155945656421.000000,,,477769152275.000000,,,18685037594.000000,18685037594.000000,,36721057011.000000,36721057011.000000,,288900378294.000000,,288900378294.000000,7760120143.000000,3967165612.000000,44049880097.000000,,,,74597380164.000000,,130668427.000000,389370857.000000,520039284.000000,,,1524564029.000000,,76641983477.000000,1043530047.000000,477769152275.000000,53299014353.000000,,,,,173039010.000000,173039010.000000,,,,,,173039010.000000,,53125975343.000000,53299014353.000000,531068166628.000000,,1091778398100.000000,927725134093.000000,,927725134093.000000,-402842492217.000000,2000000000.000000,-404842492217.000000,-402842492217.000000,1170964093.000000,7045485724.000000,1624877489793.000000,2155945656421.000000,10917783981.000000
12M 2018,,,224622127737.000000,,,224622127737.000000,128505940773.000000,122381700.000000,128383559073.000000,128505940773.000000,2002490300.000000,10000000.000000,1992490300.000000,2002490300.000000,29527007252.000000,161911389181.000000,546568955243.000000,,1758982036815.000000,72324489746.000000,409296658.000000,237770574237.000000,40010000000.000000,82818233348.000000,2192314630804.000000,2738883586047.000000,,,772702399108.000000,,,24815940446.000000,24815940446.000000,,62204069201.000000,62204069201.000000,,543910378334.000000,8607262.000000,543918985596.000000,33151394830.000000,5951722224.000000,48825715798.000000,,,,50000000000.000000,,,207550904.000000,207550904.000000,,,1524564029.000000,,51732114933.000000,2102456080.000000,772702399108.000000,123461098798.000000,,60000000000.000000,,,,,,,,,,60000000000.000000,,63461098798.000000,123461098798.000000,896163497906.000000,,1200070544500.000000,1124816856453.000000,,1124816856453.000000,-498261030389.000000,2000000000.000000,-500261030389.000000,-498261030389.000000,1004310726.000000,15089406851.000000,1842720088141.000000,2738883586047.000000,12000705445.000000
