Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pasien,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Direksi Dan Karyawan,Pembayaran Kas Untuk Operasional Lainnya,Pembayaran Pajak,Pembayaran Beban Keuangan,Penerimaan Restitusi Pajak,"Lain-Lain, Bersih",Penerimaan Kas Dari Lebih Bayar Penghasilan,Penerimaan Jasa Giro Dan Bunga Deposito,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Investasi,Uang Muka Akuisisi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Utang Kontraktor Untuk Pembelian Aset Tetap,Hasil Dari Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Aset Dalam Penyelesaian,Pembayaran Untuk Piutang Lain-Lain Kepada Pihak Berelasi,Perolehan Perangkat Lunak,Dampak Penggabungan Usaha,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dana Dari Penawaran Saham,Pembayaran Biaya Emisi Saham,Penerimaan Pinjaman Dari Pemegang Saham,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang Pihak Ketiga,Penerimaan Utang Bank Jangka Panjang Pihak Berelasi,Pembayaran Utang Bank Jangka Panjang,Penerimaan Pinjaman Jangka Pendek Pihak Ketiga,Pembayaran Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek Pihak Berelasi,Pembayaran Pinjaman Jangka Panjang Pihak Berelasi,Penerimaan Pinjaman Jangka Panjang Pihak Ketiga,Pembayaran Pinjaman Jangka Panjang Pihak Ketiga,Pembayaran Bunga,Pembayaran Liabilitas Sewa,Pembayaran Utang Sewa Pembiayaan Kepada Pihak Ketiga,Pembayaran Utang Sewa Pembiayaan Kepada Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Penerimaan Utang Lain-Lain Pihak Berelasi,Pembayaran Uang Muka Investasi,Penerimaan Dari Penerbitan Obligasi,Penerbitan Saham Baru,Penempatan Sinking Fund,Setoran Modal Pemegang Saham Non-Pengendali,Tambahan Modal Disetor,Setoran Performa Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,9702099155.000000,122988870459.000000,-21246807771.000000,-48030484445.000000,-32741073567.000000,-10696470686.000000,,,,,-571934835.000000,9702099155.000000,-172314755614.000000,,,-170321870826.000000,-1371261469.000000,,,,,,-621623319.000000,,-172314755614.000000,163051612403.000000,26000000000.000000,,16030373700.000000,,,,,,33259500000.000000,-25204000000.000000,,,110145983488.000000,-1740244785.000000,,,,,,,,,,,,,4560000000.000000,163051612403.000000,438955944.000000,,4196549893.000000,4635505837.000000
12M 2010,27039912689.000000,149013758627.000000,-21664564446.000000,-58546254711.000000,-30049452122.000000,-7656297548.000000,,,,,-4057277111.000000,27039912689.000000,-132125628325.000000,,,-129931637465.000000,-2549984281.000000,,600000000.000000,,,,-244006579.000000,,-132125628325.000000,111525193884.000000,60000000000.000000,,,,,,,,,,,-882226152.000000,76111420012.000000,-24203999976.000000,,,,,,,,,,,500000000.000000,,,111525193884.000000,6439478248.000000,,4635505837.000000,11074984085.000000
12M 2011,46919447070.000000,168727629066.000000,-21402276646.000000,-59497460872.000000,-34352099562.000000,-7553875700.000000,,,,,997530784.000000,46919447070.000000,-161209667046.000000,,,-160994442933.000000,-385940588.000000,,420562500.000000,,,,-249846025.000000,,-161209667046.000000,111587053431.000000,90000000000.000000,-2022550000.000000,,,,,,,10827793235.000000,,,-20612398599.000000,64253209418.000000,-13233326084.000000,-17625674539.000000,,,,,,,,,,,,,111587053431.000000,-2703166545.000000,,11074984085.000000,8371817540.000000
12M 2012,50478634987.000000,191145089675.000000,-18910041506.000000,-65507185493.000000,-47737269091.000000,-8718936177.000000,,,,,206977579.000000,50478634987.000000,-300427229525.000000,,,-287720128632.000000,-12005926660.000000,,48000000.000000,,,,-749174233.000000,,-300427229525.000000,268049985022.000000,,,154775200000.000000,,,,,,10917874727.000000,-10827793235.000000,,-1574116080.000000,142913564025.000000,-15017870000.000000,-13136874415.000000,,,,,,,,,,,,,268049985022.000000,18101390484.000000,,8371817540.000000,26473208024.000000
12M 2013,-14601024872.000000,216112691488.000000,-32364723747.000000,-107846988279.000000,-82193035257.000000,-14340152592.000000,,,,,6031183515.000000,-14601024872.000000,-171629437643.000000,,,-165932104370.000000,125000000.000000,,-3017999001.000000,,,,-2804334272.000000,,-171629437643.000000,551301213892.000000,,-1497945862.000000,39061523060.000000,,,,,,,,,-1480050606.000000,143430606721.000000,-33681446423.000000,-22769721080.000000,,-197967222.000000,,,,-220000000000.000000,,648760734180.000000,-324518876.000000,,,,551301213892.000000,365070751377.000000,6398000000.000000,8505333297.000000,379974084674.000000
12M 2014,-43357968346.000000,332037690127.000000,-48845066389.000000,-165644159232.000000,-159309308582.000000,-19641684014.000000,,,,,18044559744.000000,-43357968346.000000,-42000246370.000000,,,-40015521288.000000,910915578.000000,,-2225581662.000000,,,,-670058998.000000,,-42000246370.000000,92405254641.000000,,,-14047046039.000000,,,,,,,,,-595736548.000000,,-60232581111.000000,-55737892234.000000,,-725701229.000000,,,,220000000000.000000,,,3744211802.000000,,,,92405254641.000000,7047039925.000000,143118098.000000,379974084674.000000,387164242697.000000
12M 2015,20570017651.000000,441008387205.000000,-55493618732.000000,-197199009167.000000,-160462005107.000000,-27252725013.000000,,,,,19968988465.000000,20570017651.000000,-44104794592.000000,,,-31545800534.000000,669701025.000000,,-11743250907.000000,,-1307666667.000000,,-177777509.000000,,-44104794592.000000,-142355729448.000000,,,-1839918740.000000,,,,,,,,,-472814645.000000,,-90943356111.000000,-48636191058.000000,,-290294634.000000,,,,,,,-173154260.000000,,,,-142355729448.000000,-165890506389.000000,,387164242697.000000,221273736308.000000
12M 2016,-2319159813.000000,550128675141.000000,-88815836505.000000,-264783895534.000000,-213122912080.000000,,,,,2729251479.000000,11545557686.000000,-2319159813.000000,-202689122973.000000,,,-10869227139.000000,146850000.000000,,-189657697334.000000,,-2223100000.000000,,-85948500.000000,,-202689122973.000000,684308246991.000000,,,237950620053.000000,,,,,,,,,-628448719.000000,,-135171641056.000000,-38763690513.000000,,-366760061.000000,,,,,,,-155941353.000000,,621444108640.000000,,684308246991.000000,479299964205.000000,,221273736308.000000,700573700513.000000
12M 2017,13834633480.000000,609197233790.000000,-88976020472.000000,-316655834314.000000,-219425866544.000000,,,,,3979763151.000000,25715357869.000000,13834633480.000000,-407693231851.000000,,,-203582932849.000000,75892000.000000,,-120107744225.000000,,-83541747227.000000,,-536699550.000000,,-407693231851.000000,-79158344552.000000,,,59999999960.000000,,,,,,,,,-657255398.000000,,-117407388805.000000,-20634158246.000000,,-357200519.000000,,,,,,,-102341544.000000,,,,-79158344552.000000,-473016942923.000000,,700573700513.000000,227556757590.000000
12M 2018,180782235454.000000,751821095835.000000,-56996801276.000000,-399951566268.000000,-123089187442.000000,,,,,,8998694605.000000,180782235454.000000,-383991929289.000000,,,-186302810058.000000,125100000.000000,,-2251522377.000000,,-221009137700.000000,,,25446440846.000000,-383991929289.000000,175459123536.000000,,,255010000000.000000,,,,,,,,,-130668416.000000,,-65535645933.000000,-13529703141.000000,,-354858974.000000,,,,,,,,,,,175459123536.000000,-27750570299.000000,,227556757590.000000,199806187291.000000
12M 2019,90011624990.000000,981566882404.000000,-95159808682.000000,-498160470179.000000,-264758967030.000000,-42968293476.000000,,,,,9492281953.000000,90011624990.000000,-390527038525.000000,,,-170935387428.000000,193500000.000000,,-45204761149.000000,,-169101729948.000000,,-5478660000.000000,,-390527038525.000000,308147845736.000000,,,322949094546.000000,,,,,,,,,,,,-14595432810.000000,,-205816000.000000,,,,,,,,,,,308147845736.000000,7632432201.000000,,199806187291.000000,207438619492.000000
12M 2020,93881891402.000000,1206282381896.000000,-518399717152.000000,-518122857052.000000,,-2085522676.000000,-100262493441.000000,,,,26470099827.000000,93881891402.000000,-550711027296.000000,,,-544122343656.000000,,,108657000.000000,-6697340640.000000,,,,,-550711027296.000000,854320635527.000000,,,,171000000000.000000,-24678569749.000000,830000000000.000000,,-134309028160.000000,,,,,,,,-330000000000.000000,,,,342308233436.000000,,,,,,,,854320635527.000000,397491499633.000000,,232117189241.000000,629608688874.000000
12M 2021,336786662790.000000,1917035104557.000000,-782054151603.000000,-700717424697.000000,,-6292866811.000000,-115124935079.000000,,,,23940936423.000000,336786662790.000000,-468280289395.000000,,,-464023277324.000000,,,313000000.000000,-3165516135.000000,,-1404495936.000000,,,-468280289395.000000,179238263141.000000,,,,390000000000.000000,-20000000000.000000,220000000000.000000,,-839428499944.000000,,,,,,,,,-174990000.000000,,,428841753085.000000,,,,,,,,179238263141.000000,47744636536.000000,,653177723083.000000,700922359619.000000
12M 2022,210474822261.000000,1932446236358.000000,-789221263965.000000,-858868120858.000000,,-12881913537.000000,-80404699161.000000,,,,19404583424.000000,210474822261.000000,-678222368151.000000,,,-655546517280.000000,,,294685224.000000,-4343974611.000000,,-18626561484.000000,,,-678222368151.000000,885079436935.000000,,,,36827459956.000000,-142490111313.000000,100000000000.000000,,-57661026547.000000,,,,,,,,,-1596885161.000000,,,,,950000000000.000000,,,,,,885079436935.000000,417331891045.000000,,700922359619.000000,1118254250664.000000
12M 2023,55917000000.000000,2365859000000.000000,-1058144000000.000000,-1126223000000.000000,,-9178000000.000000,-145447000000.000000,,,,29050000000.000000,55917000000.000000,-585390000000.000000,,,-479017000000.000000,-12833000000.000000,-88474000000.000000,,-5066000000.000000,,,,,-585390000000.000000,-73596000000.000000,,,,11525000000.000000,-477247000000.000000,,,-80956000000.000000,,,,,481631000000.000000,-6021000000.000000,,-707000000.000000,-1821000000.000000,,,,,,,,,,,-73596000000.000000,-603069000000.000000,,1118254000000.000000,515185000000.000000
12M 2024,273245000000.000000,3082122000000.000000,-1316328000000.000000,-1364631000000.000000,,-27842000000.000000,-120996000000.000000,7437000000.000000,,,13483000000.000000,273245000000.000000,-532317000000.000000,,,-473679000000.000000,-51070000000.000000,,,-7568000000.000000,,,,,-532317000000.000000,21095000000.000000,,,,29610000000.000000,-18255000000.000000,288607000000.000000,,-251795000000.000000,,,,,,-24083000000.000000,,-707000000.000000,-2282000000.000000,,,,,,,,,,,21095000000.000000,-237977000000.000000,,515185000000.000000,277208000000.000000
