Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi,Adjustment,Pembayaran Bunga,Penerimaan Bunga,Pembayaran Pajak Penghasilan Badan,Penerimaan Taksiran Tagihan Pajak Penghasilan Setelah Dikurangi Denda Pajak,Penerimaan (Pembayaran) Kegiatan Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan (Peningkatan) Investasi Jangka Pendek,Hasil Penjualan Aset Tetap,Penyertaan Dalam Saham,Dividen Dari Mwi,Penerimaan Dividen Dari Anak Perusahaan,Perolehan Aset Tetap,Penambahan Jaminan,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Untuk Akuisisi Kepentingan Non Pengendali,Perolehan Entitas Anak Setelah Dikurangi Kas Diperoleh,Penambahan Penyertaan Pada Entitas Anak,Hasil Penjualan Aset Lain-Lain,Penempatan Aset Keuangan Lancar Lainnya,Penarikan Aset Keuangan Lancar Lainnya,Investasi Perusahaan Asosiasi,Pengembalian Investasi Pada Entitas Asosiasi,Dividen Dari Entitas Asosiasi,Penempatan Deposito,Penyertaan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Anak Perusahaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Beban Keuangan,Penerbitan Obligasi,Biaya Penerbitan Utang Obligasi,Penerimaan Dividen Dari Anak Perusahaan,Penerimaan Hutang Pembiayaan Konsumen,Pembayaran/(Penambahan) Utang Pembiayaan Konsumen,Pembayaran Hutang Sewa Guna Usaha,Penambahan (Pembayaran) Utang Pihak Berelasi,Pembayaran Dividen Kas,Pembayaran Dividen Entitas Anak,Penerimaan Dari Penerbitan Obligasi Wajib Konversi,Pembayaran Obligasi,Biaya Penerbitan Obligasi Wajib Konversi,Penerimaan Dari Penerbitan Saham Umum Terbatas I,Biaya Penerbitan Saham Melalu Biaya Penerbitan Saham Melalui Penawaran Umum Terbatas I,Penerimaan Dari Penerbitan Saham Melalui Penawaran Umum Perdana Entitas Anak,Penerimaan Dari Penerbitan Saham Entitas Anak (Setoran Modal Saham - Entitas Anak),"Setoran Modal Saham – Entitas Induk,",Biaya Transaksi Penerbitan Saham Entitas Anak,Penambahan Uang Muka Pemesanan Saham,Penambahan Modal Saham,Penerbitan Modal Saham - Bersih,Pembayaran Utang Jangka Panjang,Penambahan Liabilitas Derifatif,Tambahan Modal Disetor Pada Entitas Anak,Pembayaran Utang Bunga Pinjaman Bank,Selisih Kurs Karena Penjabaran Laporan Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Total Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-278299635764.000000,5380811447644.000000,-5391268207153.000000,-90995428298.000000,-94250810323.000000,,,2464804373.000000,-85061442007.000000,,,-278299635764.000000,-8363995161.000000,,292901055.000000,,,,-8656896216.000000,,,,,,,,,,,,,,-8363995161.000000,415950553786.000000,,1553754195306.000000,-1305301523075.000000,,-47088280772.000000,,,,570750000.000000,,-946027042.000000,,-3776810631.000000,,,,,,,,,,,,218738250000.000000,,,,,,,,415950553786.000000,,,,129286922861.000000,82808799727.000000,,212095722588.000000
12M 2009,-530009390613.000000,5283904488429.000000,-5382983094740.000000,-92435563120.000000,-256897670737.000000,,,3630126274.000000,-85227676719.000000,,,-530009390613.000000,-19273886878.000000,,600200000.000000,,,,-19874086878.000000,,,,,,,,,,,,,,-19273886878.000000,422108488514.000000,,1109698154623.000000,-730267485261.000000,,-99702293805.000000,,,,,-274744398.000000,-877727034.000000,,-31150000000.000000,,,,,,,,,,,,78690000000.000000,95992584389.000000,,,,,,,422108488514.000000,,,,-127174788977.000000,212095722588.000000,,84920933611.000000
12M 2010,-290111195917.000000,5232436435731.000000,-5145016509353.000000,-120520311973.000000,-190639644400.000000,,,1271094776.000000,-67642260698.000000,,,-290111195917.000000,-20148049000.000000,177149378.000000,287785000.000000,-1000000000.000000,,,-12096527619.000000,,-7516455759.000000,,,,,,,,,,,,-20148049000.000000,300810568090.000000,,2440879202307.000000,-1995339757584.000000,,-108522999790.000000,,,,,-604338193.000000,,-1538650.000000,-35600000000.000000,,,,,,,,,,,,,,,,,,,,300810568090.000000,,,,-9448676827.000000,84920933611.000000,,75472256784.000000
12M 2011,-698332687278.000000,6434623131565.000000,-6548146641637.000000,-142373782058.000000,-389088478475.000000,,,636012498.000000,-53982929171.000000,,,-698332687278.000000,-9442822478.000000,4522850622.000000,420913631.000000,,,,-14386586731.000000,,,,,,,,,,,,,,-9442822478.000000,734820501982.000000,,7191548550174.000000,-6218240938095.000000,,-171538889592.000000,,,,,-198220505.000000,,,-66750000000.000000,,,,,,,,,,,,,,,,,,,,734820501982.000000,,,,27044992226.000000,75472256784.000000,,102517249010.000000
12M 2012,55496712982.000000,9434639054952.000000,-8593686185510.000000,-224567870922.000000,-411710825819.000000,,,1154695184.000000,-150332154903.000000,,,55496712982.000000,-942329395521.000000,,3925744372.000000,,,,-35278699893.000000,,-868000000.000000,-910108440000.000000,,,,,,,,,,,-942329395521.000000,1034975285267.000000,,4370413248575.000000,-4216704866134.000000,,-211587540529.000000,-3839571414.000000,,,,708870550.000000,,,-97900000000.000000,,807550400000.000000,,,266644000000.000000,-3385796214.000000,127778800000.000000,,,-4702259567.000000,,,,,,,,,,1034975285267.000000,8896886048.000000,,8896886048.000000,157039488776.000000,171179455224.000000,,328218944000.000000
12M 2013,-1032746608758.000000,10202784176606.000000,-10224807453600.000000,-258943226123.000000,-525005364699.000000,,,1665003331.000000,-228439744273.000000,,,-1032746608758.000000,-296451022536.000000,,5317830988.000000,,,,-35755688533.000000,,-11714707291.000000,-234882370000.000000,,,,-24378000000.000000,,,,5000000000.000000,,-38087700.000000,-296451022536.000000,1434008684046.000000,,5375914225898.000000,-4654211285101.000000,,-281572002065.000000,1105790863950.000000,-10337110573.000000,,,-501943563.000000,,,-95230000000.000000,-5844064500.000000,,,,,,,,,,,,,,,,,,,1434008684046.000000,63887647553.000000,,63887647553.000000,168698700305.000000,328218944000.000000,,496917644305.000000
12M 2014,162996070112.000000,10671825323973.000000,-9553350373876.000000,-302656906476.000000,-374932976415.000000,,,1387069280.000000,-279276066374.000000,,,162996070112.000000,-38594941109.000000,,1021231233.000000,,,,-60462686044.000000,,-5606662794.000000,,,,,,24378000000.000000,,2075176496.000000,,,,-38594941109.000000,-192015793020.000000,,4998942264491.000000,-5758922864669.000000,,-355240743560.000000,959052032000.000000,-35346079518.000000,,,-500401764.000000,,,,,,,,,,,,,,,,,,,,,,,-192015793020.000000,11317253621.000000,,11317253621.000000,-56297410396.000000,496917644305.000000,,440620233909.000000
12M 2015,-495312939652.000000,6508225849385.000000,-5972299049395.000000,-141552916980.000000,-176503143169.000000,,-677605018708.000000,335543386.000000,-35914204171.000000,,,-495312939652.000000,-30420351879.000000,,563324175.000000,,,,-30983676054.000000,,,,,,,,,,,,,,-30420351879.000000,-60817004079.000000,,,-26433461209.000000,,,,,,,-195640451.000000,,,,,,-200274194725.000000,,,,,,,,,,,,165183332506.000000,902959800.000000,,,,-60817004079.000000,-3676905937.000000,,-3676905937.000000,-590227201547.000000,612436930216.000000,,22209728669.000000
12M 2016,-12232331075.000000,2018389692079.000000,-1594283506191.000000,-62638004826.000000,-573569621366.000000,,-42693881247.000000,241642834037.000000,920156439.000000,,,-12232331075.000000,-4543874108.000000,,720720000.000000,,,,-5264594108.000000,,,,,,,,,,,,,,-4543874108.000000,14739156010.000000,,,40440782558.000000,,,,,,,-197136676.000000,,,,,,-14017071210.000000,,,,,,,,51219292750.000000,,,,-62706711412.000000,,,,,14739156010.000000,-146222804.000000,,-146222804.000000,-2183271977.000000,22209728669.000000,,20026456692.000000
12M 2017,-78402317983.000000,2049346983565.000000,-2042962801871.000000,-58325046532.000000,14458031641.000000,,-36005255216.000000,-5146887415.000000,232657845.000000,,,-78402317983.000000,-11183474092.000000,,371762136.000000,,,,-11555236228.000000,,,,,,,,,,,,,,-11183474092.000000,84553121279.000000,,,,,,,,,,,,,,,,,,,,,,,,84553121279.000000,,,,,,,,,84553121279.000000,3548085.000000,,3548085.000000,-5029122711.000000,20026456692.000000,,14997333981.000000
