Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Investasi Pada Entitas Asosiasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Liabilitas Derivatif,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Obligasi Konversi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Dari Pihak Berelasi,Utang Obligasi,Obligasi Konversi,Liabilitas Pajak Tangguhan,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Liabilitas Derivatif,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Adjustment,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,212095722588.000000,,,212095722588.000000,,145732624319.000000,,145732624319.000000,145732624319.000000,10232812729.000000,11745467.000000,10221067262.000000,10232812729.000000,467010907210.000000,,263810655007.000000,1098882721853.000000,,714611629.000000,32980781490.000000,,,77744574146.000000,111439967265.000000,1210322689118.000000,,,775185020496.000000,,,696007495797.000000,696007495797.000000,,865833198.000000,44599266581.000000,45465099779.000000,6985426346.000000,15692820919.000000,,274744362.000000,696750352.000000,,,971494714.000000,,,,,,10062682941.000000,775185020496.000000,6456576231.000000,,,,,,,,,,,,,,180976682.000000,296005638.000000,,476982320.000000,5979593911.000000,6456576231.000000,,781641596727.000000,,321310000000.000000,,107989708114.000000,,107989708114.000000,107989708114.000000,,,-618615723.000000,428681092391.000000,1210322689118.000000,3213100000.000000
12M 2009,,,84920933611.000000,,,84920933611.000000,,318810685847.000000,,318810685847.000000,318810685847.000000,17551233643.000000,,17551233643.000000,17551233643.000000,573407605820.000000,,793330161417.000000,1788020620338.000000,,2090272370.000000,41474723672.000000,,,117249989939.000000,160814985981.000000,1948835606319.000000,,,1253533781285.000000,,,1014186709125.000000,1014186709125.000000,,1094710.000000,206629383765.000000,206630478475.000000,6433798909.000000,15539032745.000000,,296005602.000000,,,,296005602.000000,,,,,,10447756429.000000,1253533781285.000000,7866835923.000000,,,,,817800.000000,,,,,,,,,,,,,7866018123.000000,7866835923.000000,,1261400617208.000000,,445000000000.000000,50992584389.000000,194527559144.000000,1000000000.000000,193527559144.000000,194527559144.000000,,25010.000000,-3085179432.000000,687434989111.000000,1948835606319.000000,4450000000.000000
12M 2010,,,75472256784.000000,,,75472256784.000000,4522850622.000000,594185844358.000000,260233227462.000000,333952616896.000000,594185844358.000000,11545962434.000000,,11545962434.000000,11545962434.000000,558076336826.000000,,1010530143090.000000,2254333394114.000000,,2396615559.000000,77682905951.000000,3750755859.000000,,55875864144.000000,139706141513.000000,2394039535627.000000,,,1527754131293.000000,,,1397919628563.000000,1397919628563.000000,,3160775000.000000,94445427510.000000,97606202510.000000,11452472900.000000,11721785539.000000,,198220505.000000,,,,198220505.000000,,,,,,8855821276.000000,1527754131293.000000,11371839391.000000,,,,,,,,,,,,,,258446904.000000,,,258446904.000000,11113392487.000000,11371839391.000000,,1539125970684.000000,,445000000000.000000,50992584389.000000,363316398453.000000,2000000000.000000,361316398453.000000,363316398453.000000,,45829.000000,-4395463728.000000,854913564943.000000,2394039535627.000000,4450000000.000000
12M 2011,,,132561021568.000000,,,132561021568.000000,,1263984893434.000000,267515602345.000000,996469291089.000000,1263984893434.000000,66964543631.000000,,66964543631.000000,66964543631.000000,779647407308.000000,,1471332637867.000000,3714490503808.000000,,4431754122.000000,78971970543.000000,5650766603.000000,,7029349793.000000,96083841061.000000,3810574344869.000000,,,2701343058709.000000,,,2399351172297.000000,2399351172297.000000,,,234341471165.000000,234341471165.000000,41834002476.000000,13339467319.000000,,219602746.000000,,,,219602746.000000,,,,,,12257342706.000000,2701343058709.000000,16718750726.000000,,,,,,,,,,,,,,38844158.000000,,,38844158.000000,16679906568.000000,16718750726.000000,,2718061809435.000000,,445000000000.000000,50992584389.000000,599575125475.000000,3000000000.000000,596575125475.000000,599575125475.000000,,60329.000000,-3055234759.000000,1092512535434.000000,3810574344869.000000,4450000000.000000
12M 2012,,,351484746036.000000,,,351484746036.000000,,1401781011054.000000,54738568828.000000,1347042442226.000000,1401781011054.000000,115116414777.000000,23094391.000000,115093320386.000000,115116414777.000000,1436427513388.000000,,1868985974958.000000,5173795660213.000000,,10955096400.000000,107202403265.000000,7192625495.000000,564707251.000000,48435799460.000000,174350631871.000000,5348146292084.000000,,,3397297616385.000000,,,3111988046365.000000,3111988046365.000000,,,171736822596.000000,171736822596.000000,72119247334.000000,17171910748.000000,,441149254.000000,,,,441149254.000000,,,,,,23840440088.000000,3397297616385.000000,109171935155.000000,,,,70135964655.000000,,,,,,,,,,526168200.000000,,,526168200.000000,38509802300.000000,109171935155.000000,,3506469551540.000000,,476150000000.000000,367722847734.000000,868947565941.000000,4000000000.000000,864947565941.000000,868947565941.000000,,128659890041.000000,196436828.000000,1841676740544.000000,5348146292084.000000,4761500000.000000
12M 2013,,,510451334882.000000,,,510451334882.000000,,1944503089022.000000,18965792988.000000,1925537296034.000000,1944503089022.000000,591158706694.000000,,591158706694.000000,591158706694.000000,2956876836429.000000,,2034386760831.000000,8037376727858.000000,,33492181407.000000,109111961382.000000,2225701917.000000,564707251.000000,59817388975.000000,205211940932.000000,8242588668790.000000,,,4733318360064.000000,4139589645584.000000,,,4139589645584.000000,,,374818087541.000000,374818087541.000000,106253700367.000000,29798941484.000000,,499933099.000000,,60945000000.000000,122417540.000000,61567350639.000000,,,,,,21290634449.000000,4733318360064.000000,1480102336935.000000,213307500000.000000,,1101131226082.000000,59074625003.000000,,,,,,,,,,393245792.000000,,34062210475.000000,34455456267.000000,72133529583.000000,1480102336935.000000,,6213420696999.000000,,476150000000.000000,227925445452.000000,1252550198584.000000,5000000000.000000,1247550198584.000000,1252550198584.000000,,59886858316.000000,12655469439.000000,2029167971791.000000,8242588668790.000000,4761500000.000000
12M 2014,,,612436930216.000000,,,612436930216.000000,,2055589014948.000000,1163171601.000000,2054425843347.000000,2055589014948.000000,973241739211.000000,,973241739211.000000,973241739211.000000,1950096820973.000000,,2849384022086.000000,8440748527434.000000,,80744066692.000000,124924981506.000000,2913008851.000000,564707251.000000,412107327500.000000,621254091800.000000,9062002619234.000000,,,3262857720974.000000,2752487541615.000000,,,2752487541615.000000,,70763317078.000000,229004915671.000000,299768232749.000000,81099267055.000000,34333164939.000000,,196704303.000000,,61457712334.000000,,61654416637.000000,,,,,,33515097979.000000,3262857720974.000000,3425399804715.000000,1120937700171.000000,,1991943826019.000000,45936969102.000000,,,,,,,,,,196072824.000000,,161472048906.000000,161668121730.000000,104913187693.000000,3425399804715.000000,,6688257525689.000000,,476150000000.000000,241063101353.000000,1571854621115.000000,6000000000.000000,1565854621115.000000,1571854621115.000000,,68072723108.000000,16604647969.000000,2373745093545.000000,9062002619234.000000,4761500000.000000
12M 2015,,,22209728669.000000,,,22209728669.000000,,76106745034.000000,,76106745034.000000,76106745034.000000,14277276685.000000,,14277276685.000000,14277276685.000000,81652564228.000000,,91568640101.000000,285814954717.000000,,138157834003.000000,105019188421.000000,5023541164.000000,,271340353753.000000,519540917341.000000,805355872058.000000,,,3735092035846.000000,2838697109887.000000,,,2838697109887.000000,,59314017226.000000,653823473526.000000,713137490752.000000,39620658225.000000,10931985040.000000,,197136677.000000,,103462500000.000000,,103659636677.000000,,2180010055.000000,11582613050.000000,13762623105.000000,14667506160.000000,615026000.000000,3735092035846.000000,3438719648248.000000,976819307513.000000,,2077682883500.000000,32799313203.000000,,,,,,,,,,,,326655381412.000000,326655381412.000000,24762762620.000000,3438719648248.000000,,7173811684094.000000,,476150000000.000000,254200757252.000000,-7051017100713.000000,7000000000.000000,-7058017100713.000000,-7051017100713.000000,,-47789468575.000000,,-6368455812036.000000,805355872058.000000,4761500000.000000
12M 2016,,,20026456692.000000,,,20026456692.000000,,23695407862.000000,,23695407862.000000,23695407862.000000,12136810081.000000,,12136810081.000000,12136810081.000000,134872163398.000000,,38206504538.000000,228937342571.000000,,69586213123.000000,81729145428.000000,4714274674.000000,,45065209621.000000,201094842846.000000,430032185417.000000,,,4204061085053.000000,,,,,,,618241518182.000000,618241518182.000000,36098011474.000000,11724685535.000000,,,,169689415713.000000,,169689415713.000000,,,38483948302.000000,38483948302.000000,,3329823505847.000000,4204061085053.000000,3035281217058.000000,2953534307551.000000,,,,,,59314017226.000000,12358797335.000000,71672814561.000000,,,,,,,,,10074094946.000000,3035281217058.000000,,7239342302111.000000,,476150000000.000000,319421599480.000000,-7544893657660.000000,7000000000.000000,-7551893657660.000000,-7544893657660.000000,,-59988058514.000000,,-6809310116694.000000,430032185417.000000,4761500000.000000
12M 2017,,,14997333981.000000,,,14997333981.000000,,12016947638.000000,,12016947638.000000,12016947638.000000,6321926047.000000,,6321926047.000000,6321926047.000000,87548539710.000000,,53393183479.000000,174277930855.000000,,4627317055.000000,48984347751.000000,4441727513.000000,,33788617019.000000,91842009338.000000,266119940193.000000,,,670486781041.000000,,,,,,33487225965.000000,371140134392.000000,404627360357.000000,35055990039.000000,15789953152.000000,,,,155147460521.000000,,155147460521.000000,,,59866016972.000000,59866016972.000000,,,670486781041.000000,3163943966979.000000,2963413844690.000000,,,,,,25863933225.000000,163654872548.000000,189518805773.000000,,,,,,,,,11011316516.000000,3163943966979.000000,,3834430748020.000000,,1990106494550.000000,2244840105223.000000,-7732516822736.000000,7000000000.000000,-7739516822736.000000,-7732516822736.000000,,-70740584864.000000,,-3568310807827.000000,266119940193.000000,26007494645.000000
