Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,1194846991.000000,,,,,6400177000.000000,6330000000.000000,70177000.000000,6400177000.000000,,1204449356.000000,8799473347.000000,,107452109883.000000,,107452109883.000000,116251583230.000000,,,4635692263.000000,,3033935592.000000,3033935592.000000,,,,,,63284147.000000,,,8330000.000000,,8330000.000000,1530142524.000000,4635692263.000000,110856601568.000000,,5786586000.000000,105070015568.000000,110856601568.000000,,,,,,110856601568.000000,115492293831.000000,,12500000000.000000,1813124807.000000,-13553835408.000000,759289399.000000,116251583230.000000,12500.000000
12M 2020,,,1598618593.000000,121100000.000000,,121100000.000000,121100000.000000,5380000000.000000,5380000000.000000,,5380000000.000000,,710475696.000000,7810194289.000000,,110489305473.000000,,110489305473.000000,118299499762.000000,,,8096071446.000000,,1876488350.000000,1876488350.000000,,5786586000.000000,,5786586000.000000,,45497096.000000,,,,,,387500000.000000,8096071446.000000,111150650722.000000,,,111150650722.000000,111150650722.000000,,,,,,111150650722.000000,119246722168.000000,,12500000000.000000,1844857936.000000,-15292080342.000000,-947222406.000000,118299499762.000000,12500.000000
12M 2021,,,1640863689.000000,,,,,1500000000.000000,1500000000.000000,,1500000000.000000,,16656737.000000,3157520426.000000,,84078638502.000000,,84078638502.000000,87236158928.000000,,,85830394709.000000,,1040464689.000000,1040464689.000000,,,82798999655.000000,82798999655.000000,,678430365.000000,,,,,,1312500000.000000,85830394709.000000,76222328.000000,,,,,,,,76222328.000000,76222328.000000,76222328.000000,85906617037.000000,,12500000000.000000,1366357603.000000,-12536815712.000000,1329541891.000000,87236158928.000000,12500.000000
12M 2022,,,2526388016.000000,1862355000.000000,476215000.000000,1386140000.000000,1862355000.000000,,,,,,2570012963.000000,6958755979.000000,,93960340166.000000,29008233903.000000,122968574069.000000,129927330048.000000,,,14934702650.000000,,4719822501.000000,4719822501.000000,,,194234858.000000,194234858.000000,52500000.000000,1177809854.000000,,,4570335437.000000,,4570335437.000000,4220000000.000000,14934702650.000000,23667348437.000000,,,,,,,23585647090.000000,81701347.000000,23667348437.000000,23667348437.000000,38602051087.000000,,95000000000.000000,1366357603.000000,-5041078642.000000,91325278961.000000,129927330048.000000,3800000000.000000
12M 2023,,,173585482379.000000,9034654622.000000,2157360622.000000,6877294000.000000,9034654622.000000,616160546.000000,,616160546.000000,616160546.000000,,7154007150.000000,190390304697.000000,,96500448603.000000,66074841290.000000,162575289893.000000,352965594590.000000,,,30040784573.000000,,1607706500.000000,1607706500.000000,,,11750189.000000,11750189.000000,799100000.000000,146205334.000000,,13319600072.000000,4894372221.000000,149630257.000000,18363602550.000000,9112420000.000000,30040784573.000000,154241915425.000000,,,,,,135154159928.000000,18691274869.000000,396480628.000000,154241915425.000000,154241915425.000000,184282699998.000000,,113450790525.000000,59480725336.000000,-4248621268.000000,168682894593.000000,352965594591.000000,4538000000.000000
12M 2024,,,3251404222.000000,10788599250.000000,2988885984.000000,7799713266.000000,10788599250.000000,319711092.000000,,319711092.000000,319711092.000000,5616404888.000000,6187614007.000000,26163733459.000000,,288131096234.000000,19358017479.000000,307489113713.000000,333652847172.000000,,,88948818039.000000,,14151571475.000000,14151571475.000000,,20406095714.000000,11750189.000000,20417845903.000000,5634887144.000000,656023863.000000,,21223542259.000000,5241383211.000000,167570850.000000,26632496320.000000,21455993334.000000,88948818039.000000,127583534191.000000,,,,,,113930617666.000000,13449891658.000000,203024867.000000,127583534191.000000,127583534191.000000,216532352230.000000,,113451637050.000000,59488614949.000000,-55819757057.000000,117120494942.000000,333652847172.000000,4538000000.000000
