Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan Lain-Lain,Pembayaran Bunga,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Peralatan,Pembayaran Uang Muka Sewa Kapal,Hasil Penjualan Aset Tetap,Uang Muka Pembelian Aset Tetap,Pembayaran Deposit Sewa,Penerimaan Uang Muka Pihak Ketiga,Penerimaan Piutang Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Saham,Penerimaan Penawaran Saham Perdana,Pelaksanaan Waran,Pembayaran Biaya Emisi Penawaran Saham Perdana,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Bunga,Penerimaan Utang Lain – Lain,Pihak Berelasi,Pihak Ketiga,Total Penerimaan Utang Lain – Lain,Pembayaran Utang Lain – Lain,Pihak Berelasi,Pihak Ketiga,Total Pembayaran Utang Lain – Lain,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,7165048075.000000,10056509536.000000,-1286993696.000000,-1139190886.000000,-365191275.000000,,,-100085604.000000,7165048075.000000,-6155505229.000000,-10905505229.000000,,,4750000000.000000,,,,,-6155505229.000000,-107718000.000000,,,,,,,,,,,,,,,,-107718000.000000,-107718000.000000,901824846.000000,293022145.000000,1194846991.000000
12M 2020,4276805896.000000,9290959635.000000,-3372903388.000000,-836094200.000000,-678499725.000000,,,-126656426.000000,4276805896.000000,-3864057794.000000,-4894057794.000000,,,80000000.000000,,,,950000000.000000,-3864057794.000000,-8976500.000000,,,,,,,,,,,,,,,,-8976500.000000,-8976500.000000,403771602.000000,1194846991.000000,1598618593.000000
12M 2021,72461562.000000,10501100000.000000,-8814335918.000000,-680078154.000000,-808764366.000000,,,-125460000.000000,72461562.000000,35133131752.000000,-5146868248.000000,,,35400000000.000000,,,1000000000.000000,3880000000.000000,35133131752.000000,-35163348218.000000,,,,,,,,,,,,,-5786586000.000000,-29376762218.000000,-35163348218.000000,,-35163348218.000000,42245096.000000,1598618593.000000,1640863689.000000
12M 2022,6923438928.000000,38978783840.000000,-26373635000.000000,-2178208306.000000,-3107999173.000000,,,-395502433.000000,6923438928.000000,-3282149803.000000,-5782149803.000000,,,2000000000.000000,,,-1000000000.000000,1500000000.000000,-3282149803.000000,-2755764797.000000,4275000000.000000,,,,,,,,,,,,,-4379764797.000000,-4379764797.000000,-2651000000.000000,-2755764797.000000,885524328.000000,1640863689.000000,2526388017.000000
12M 2023,3980971396.000000,39355911497.000000,-25868060060.000000,,-8503484908.000000,1327228886.000000,-1817886019.000000,-512738000.000000,3980971396.000000,-53588357454.000000,-11720770088.000000,-42343802366.000000,,,,,,476215000.000000,-53588357454.000000,220666480422.000000,,79704000000.000000,8158218.000000,-3146999960.000000,148896000000.000000,,,,,,,,,,,-4794677836.000000,220666480422.000000,171059094364.000000,2526388016.000000,173585482380.000000
12M 2024,6712161740.000000,73891199568.000000,-56480205848.000000,,-8486064188.000000,25316549.000000,-1492001188.000000,-746083153.000000,6712161740.000000,-179029767041.000000,-177323495078.000000,-874746601.000000,,,,,,-831525362.000000,-179029767041.000000,1983527144.000000,,,8736138.000000,,,-13362857143.000000,,,20406095714.000000,,20406095714.000000,,,,,-5068447565.000000,1983527144.000000,-170334078157.000000,173585482379.000000,3251404222.000000
