Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.00,3580.07,0.00,1665.13,212 B,574 B,785 B,88 B,"1,067 B"
12M 2009,0.00,765.98,0.00,417.33,55 B,573 B,628 B,(166 B),"1,302 B"
12M 2010,2.16,564.16,3.32,367.41,8 B,575 B,583 B,(876 B),"1,931 B"
12M 2011,4.31,765.61,11.50,286.97,"1,012 B",70 B,"1,082 B",(259 B),821 B
12M 2012,3.25,1198.50,5.15,757.37,16 B,873 B,889 B,"(3,192 B)","4,663 B"
12M 2013,4.05,1369.53,7.08,784.43,515 B,"1,322 B","1,837 B","(3,053 B)","5,489 B"
12M 2014,3.15,2477.81,4.07,1917.36,515 B,"1,381 B","1,896 B","(8,740 B)","11,719 B"
12M 2015,4.23,2433.00,5.12,2010.57,123 B,226 B,349 B,"(7,351 B)","9,095 B"
12M 2016,4.03,2477.94,6.45,1548.39,491 B,"2,090 B","2,582 B",(333 B),"7,672 B"
12M 2017,3.69,2576.26,6.28,1513.31,568 B,"1,755 B","2,323 B","(4,817 B)","8,636 B"
12M 2018,3.97,2113.35,5.86,1432.99,625 B,"1,068 B","1,693 B","(2,932 B)","7,548 B"
12M 2019,3.19,1750.34,4.63,1206.00,610 B,556 B,"1,166 B","(2,149 B)","5,917 B"
12M 2020,7.39,1893.67,10.41,1344.23,965 B,"2,098 B","3,062 B",368 B,"4,465 B"
12M 2021,4.91,464.26,5.79,393.90,150 B,661 B,811 B,"(6,572 B)","9,748 B"
12M 2022,1.76,584.80,1.93,533.65,483 B,691 B,"1,174 B","(7,538 B)","13,374 B"
12M 2023,1.04,565.59,1.14,516.56,286 B,727 B,"1,013 B","(6,198 B)","12,617 B"
12M 2024,0.85,577.87,0.95,518.41,488 B,645 B,"1,133 B","(6,179 B)","9,949 B"
