Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Properti Investasi,Investasi Jangka Panjang,Investasi Pada Entitas Asosiasi,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Simpanan Nasabah,Utang Pihak Berelasi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Obligasi Konversi,Pihak Berelasi,Total Obligasi Konversi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Obligasi Konversi,Pihak Berelasi,Pihak Ketiga,Total Obligasi Konversi,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,697470707000.000000,13254359000.000000,783730639000.000000,783730639000.000000,,783730639000.000000,10258370000.000000,10258370000.000000,,10258370000.000000,,257579947000.000000,66877903000.000000,1829171925000.000000,,,512610809000.000000,31336060000.000000,,2515449000.000000,1203252756000.000000,10626069000.000000,221690233000.000000,1982031376000.000000,3811203301000.000000,,,761744440000.000000,209428420000.000000,,,209428420000.000000,,273943242000.000000,663323000.000000,274606565000.000000,,,14974753000.000000,,,14974753000.000000,97295740000.000000,155674404000.000000,,,1245253000.000000,1256741000.000000,,,2501994000.000000,,,,7262564000.000000,761744440000.000000,603861351000.000000,,,,,,,184990000.000000,982904000.000000,572341740000.000000,,,573509634000.000000,6334930000.000000,24016787000.000000,603861351000.000000,1365605791000.000000,,628350900000.000000,,-40508703000.000000,,,-40508703000.000000,196059281000.000000,1661696032000.000000,2445597510000.000000,3811203301000.000000,628350900.000000
12M 2009,,,794143787000.000000,7521667000.000000,623190451000.000000,623190451000.000000,,623190451000.000000,8970659000.000000,8970659000.000000,,8970659000.000000,,298914035000.000000,104502221000.000000,1837242820000.000000,,,504750988000.000000,63426316000.000000,,2265549000.000000,1095366602000.000000,20076072000.000000,241757179000.000000,1927642706000.000000,3764885526000.000000,,,535471112000.000000,53914913000.000000,,,53914913000.000000,,224662444000.000000,36955000.000000,224699399000.000000,,,28116058000.000000,,,28116058000.000000,59647987000.000000,156500683000.000000,,,184990000.000000,676178000.000000,,,861168000.000000,,,,11730904000.000000,535471112000.000000,613776076000.000000,,,,,,,,297295000.000000,573108274000.000000,,,573405569000.000000,5126322000.000000,35244185000.000000,613776076000.000000,1149247188000.000000,,628350900000.000000,,121251342000.000000,,,121251342000.000000,209116945000.000000,1656919151000.000000,2615638338000.000000,3764885526000.000000,3141754500.000000
12M 2010,,,1458875700000.000000,3042937000.000000,654466893000.000000,654466893000.000000,,654466893000.000000,14743054000.000000,14743054000.000000,,14743054000.000000,,265820097000.000000,99476349000.000000,2496425030000.000000,,,556826967000.000000,28530942000.000000,,1044992000.000000,1008752884000.000000,28639259000.000000,194064593000.000000,1817859637000.000000,4314284667000.000000,,,565156336000.000000,6682755000.000000,,,6682755000.000000,,252680703000.000000,335797000.000000,253016500000.000000,,,22932004000.000000,,,22932004000.000000,80027797000.000000,187672775000.000000,,,,1017632000.000000,,,1017632000.000000,,,,13806873000.000000,565156336000.000000,625579841000.000000,,,,,,,,1577981000.000000,573801643000.000000,,,575379624000.000000,4679073000.000000,45521144000.000000,625579841000.000000,1190736177000.000000,,1025460444000.000000,1317355320000.000000,434561848000.000000,2000000000.000000,432561848000.000000,434561848000.000000,230950000000.000000,115220878000.000000,3123548490000.000000,4314284667000.000000,5127302220.000000
12M 2011,,,1341581271000.000000,5495327000.000000,993413953000.000000,993413953000.000000,,993413953000.000000,32043084000.000000,32043084000.000000,,32043084000.000000,,278368569000.000000,105771603000.000000,2756673807000.000000,,,1130857599000.000000,219178875000.000000,,,2699542807000.000000,45774844000.000000,283019451000.000000,4378373576000.000000,7135047383000.000000,,,1936148379000.000000,34844755000.000000,,,34844755000.000000,,424596276000.000000,,424596276000.000000,,,80605405000.000000,,,80605405000.000000,80134423000.000000,302766815000.000000,,574572025000.000000,400518611000.000000,2480715000.000000,,,977571351000.000000,,,,35629354000.000000,1936148379000.000000,425696097000.000000,,67082885000.000000,,67082885000.000000,,,,2714509000.000000,,,,2714509000.000000,296107407000.000000,59791296000.000000,425696097000.000000,2361844476000.000000,,1128006488000.000000,2037216943000.000000,1045154646000.000000,4000000000.000000,1041154646000.000000,1045154646000.000000,455143106000.000000,107681724000.000000,4773202907000.000000,7135047383000.000000,5640032442.000000
12M 2012,,,4080956654000.000000,,1064249160000.000000,1064249160000.000000,,1064249160000.000000,39536454000.000000,38725318000.000000,811136000.000000,39536454000.000000,,346748321000.000000,186399699000.000000,5717890288000.000000,,,1410478277000.000000,,,,2488001116000.000000,57200143000.000000,373197883000.000000,4328877419000.000000,10046767707000.000000,,,1054560551000.000000,14780924000.000000,,,14780924000.000000,,260043207000.000000,,260043207000.000000,,,82437005000.000000,,,82437005000.000000,141314190000.000000,172407301000.000000,,,,1314967000.000000,,,1314967000.000000,,,,382262957000.000000,1054560551000.000000,1257117894000.000000,,69367172000.000000,,69367172000.000000,,,799000000000.000000,4303737000.000000,,,,803303737000.000000,308101925000.000000,76345060000.000000,1257117894000.000000,2311678445000.000000,,1128006488000.000000,2068557654000.000000,3487693661000.000000,6000000000.000000,3481693661000.000000,3487693661000.000000,975519399000.000000,75312060000.000000,7735089262000.000000,10046767707000.000000,5640032442.000000
12M 2013,,,4889801420000.000000,,1224277843000.000000,1224277843000.000000,,1224277843000.000000,52284089000.000000,48287973000.000000,3996116000.000000,52284089000.000000,55500000000.000000,470635929000.000000,456591318000.000000,7149090599000.000000,,,1896628833000.000000,,,19297235000.000000,3299978501000.000000,66546564000.000000,394086491000.000000,5676537624000.000000,12825628223000.000000,,,1659599787000.000000,79982886000.000000,,,79982886000.000000,,392374315000.000000,,392374315000.000000,,,121684092000.000000,,,121684092000.000000,202568652000.000000,235342851000.000000,,,335942665000.000000,30039213000.000000,,,365981878000.000000,,68949708000.000000,68949708000.000000,192715405000.000000,1659599787000.000000,1802159046000.000000,,,7891637000.000000,7891637000.000000,,,1280726076000.000000,33603468000.000000,,,,1314329544000.000000,376686373000.000000,103251492000.000000,1802159046000.000000,3461758833000.000000,,1128006488000.000000,2068557276000.000000,1575697390000.000000,7000000000.000000,1568697390000.000000,1575697390000.000000,1639703071000.000000,2951905165000.000000,9363869390000.000000,12825628223000.000000,5640032442.000000
12M 2014,,,10636445048000.000000,,1589028177000.000000,1589028177000.000000,,1589028177000.000000,52606117000.000000,47297133000.000000,5308984000.000000,52606117000.000000,,599067801000.000000,566274979000.000000,13443422122000.000000,,,2528906170000.000000,,29845493000.000000,99941308000.000000,3160958814000.000000,82350878000.000000,539771754000.000000,6441774417000.000000,19885196539000.000000,,,1723978897000.000000,97765335000.000000,,,97765335000.000000,,484195361000.000000,,484195361000.000000,,13230000000.000000,131365052000.000000,,,131365052000.000000,151580800000.000000,211913838000.000000,,,391061994000.000000,26048819000.000000,,,417110813000.000000,,,,216817698000.000000,1723978897000.000000,1844078700000.000000,,60134934000.000000,8935776000.000000,69070710000.000000,1536886000.000000,,1298329638000.000000,12450954000.000000,,,,1310780592000.000000,334091452000.000000,128599060000.000000,1844078700000.000000,3568057597000.000000,,1128006488000.000000,2068557276000.000000,2221891288000.000000,8000000000.000000,2213891288000.000000,2221891288000.000000,2342225047000.000000,8556458843000.000000,16317138942000.000000,19885196539000.000000,5640032442.000000
12M 2015,,,7699640184000.000000,,1464274552000.000000,1453952262000.000000,10322290000.000000,1464274552000.000000,68571881000.000000,64480564000.000000,4091317000.000000,68571881000.000000,,660183471000.000000,515057677000.000000,10407727765000.000000,,,2223642948000.000000,,1806957489000.000000,239919695000.000000,2382548619000.000000,124555779000.000000,314919449000.000000,7092543979000.000000,17500271744000.000000,,,1312536004000.000000,33992202000.000000,,,33992202000.000000,,337657382000.000000,,337657382000.000000,,26385453000.000000,108072564000.000000,,,108072564000.000000,245672025000.000000,210644918000.000000,,,24841606000.000000,2271895000.000000,,,27113501000.000000,61522826000.000000,,61522826000.000000,261475133000.000000,1312536004000.000000,798604554000.000000,,,30620586000.000000,30620586000.000000,,,193896774000.000000,1633713000.000000,,,,195530487000.000000,428899283000.000000,143554198000.000000,798604554000.000000,2111140558000.000000,,1128006488000.000000,2068557276000.000000,1333753697000.000000,9000000000.000000,1324753697000.000000,1333753697000.000000,1666913440000.000000,9191900285000.000000,15389131186000.000000,17500271744000.000000,5640032442.000000
12M 2016,,,2915431718000.000000,,1710542290000.000000,1700690141000.000000,9852149000.000000,1710542290000.000000,275848675000.000000,267206425000.000000,8642250000.000000,275848675000.000000,4150000000.000000,966145801000.000000,3681213529000.000000,9553332013000.000000,,,2367423231000.000000,,1876544659000.000000,779204065000.000000,5242724503000.000000,181408368000.000000,375730999000.000000,10823035825000.000000,20376367838000.000000,,,1881228383000.000000,58556776000.000000,,,58556776000.000000,,530923304000.000000,,530923304000.000000,,,,186176100000.000000,4884835000.000000,191060935000.000000,130477813000.000000,240458781000.000000,,,70000000000.000000,1346018000.000000,361591365000.000000,,432937383000.000000,,,,296813391000.000000,1881228383000.000000,2689312017000.000000,,41499737000.000000,17094283000.000000,58594020000.000000,,,,1073456000.000000,,2030774774000.000000,,2031848230000.000000,379670578000.000000,219199189000.000000,2689312017000.000000,4570540400000.000000,,1128006488000.000000,2068557276000.000000,1324073558000.000000,10000000000.000000,1314073558000.000000,1324073558000.000000,1830149056000.000000,9455041060000.000000,15805827438000.000000,20376367838000.000000,5640032442.000000
12M 2017,,,7140229605000.000000,,1719267426000.000000,1647376341000.000000,71891085000.000000,1719267426000.000000,147030844000.000000,146008343000.000000,1022501000.000000,147030844000.000000,2377184000.000000,1082894015000.000000,406066200000.000000,10497865274000.000000,,,2334416685000.000000,,1862155981000.000000,889333602000.000000,5995103138000.000000,99880139000.000000,530907309000.000000,11711796854000.000000,22209662128000.000000,,,1861393468000.000000,118150958000.000000,,,118150958000.000000,,601662574000.000000,4479330000.000000,606141904000.000000,,,,151372485000.000000,4303377000.000000,155675862000.000000,93209147000.000000,194485651000.000000,,,14000000000.000000,3235280000.000000,432123336000.000000,,449358616000.000000,,,,244371330000.000000,1861393468000.000000,2497795015000.000000,,43900116000.000000,,43900116000.000000,,,49000000000.000000,2295398000.000000,,1660222495000.000000,,1711517893000.000000,464216143000.000000,278160863000.000000,2497795015000.000000,4359188483000.000000,,1128006488000.000000,2068557276000.000000,1111448514000.000000,11000000000.000000,1100448514000.000000,1111448514000.000000,3320273339000.000000,10222188028000.000000,17850473645000.000000,22209662128000.000000,5640032442.000000
12M 2018,,,4624271256000.000000,,1752246446000.000000,1715553049000.000000,36693397000.000000,1752246446000.000000,226620966000.000000,159608854000.000000,67012112000.000000,226620966000.000000,2377184000.000000,1168833255000.000000,2046571885000.000000,9820920992000.000000,,,2518586345000.000000,,1890135227000.000000,753122507000.000000,3837242869000.000000,201647388000.000000,503756356000.000000,9704490692000.000000,19525411684000.000000,,,2273024715000.000000,124409403000.000000,,,124409403000.000000,,584835554000.000000,123427496000.000000,708263050000.000000,,,,185855466000.000000,3815251000.000000,189670717000.000000,91037542000.000000,347427582000.000000,,,21000000000.000000,2263491000.000000,476861786000.000000,,500125277000.000000,,,,312091144000.000000,2273024715000.000000,1788053654000.000000,,47875026000.000000,,47875026000.000000,,,28000000000.000000,1071495000.000000,,991213103000.000000,,1020284598000.000000,386247137000.000000,333646893000.000000,1788053654000.000000,4061078369000.000000,,1128006488000.000000,2068557276000.000000,-1623062610000.000000,12000000000.000000,-1635062610000.000000,-1623062610000.000000,3544964094000.000000,10345868067000.000000,15464333315000.000000,19525411684000.000000,5640032442.000000
12M 2019,,,3315187283000.000000,,1931872436000.000000,1895893384000.000000,35979052000.000000,1931872436000.000000,253489006000.000000,233836439000.000000,19652567000.000000,253489006000.000000,,1145444041000.000000,1960565616000.000000,8606558382000.000000,,,3028963325000.000000,,1274019829000.000000,780818591000.000000,3071299439000.000000,256899808000.000000,522078478000.000000,8934079470000.000000,17540637852000.000000,,,2689303079000.000000,86102900000.000000,,,86102900000.000000,,732792176000.000000,43170497000.000000,775962673000.000000,,,,375693663000.000000,8306763000.000000,384000426000.000000,106076975000.000000,489187465000.000000,,,22400000000.000000,1022952000.000000,500127972000.000000,,523550924000.000000,,,,324421716000.000000,2689303079000.000000,2586055335000.000000,,52009545000.000000,,52009545000.000000,,,5600000000.000000,1085870000.000000,,497633884000.000000,,504319754000.000000,110623499000.000000,1919102537000.000000,2586055335000.000000,5275358414000.000000,,1128455048000.000000,2079706363000.000000,-3139096924000.000000,12000000000.000000,-3151096924000.000000,-3139096924000.000000,2389399002000.000000,9806815949000.000000,12265279438000.000000,17540637852000.000000,5642275242.000000
12M 2020,,,2694706379000.000000,,2230141112000.000000,2186537386000.000000,43603726000.000000,2230141112000.000000,166475540000.000000,157926358000.000000,8549182000.000000,166475540000.000000,,926768652000.000000,1312250992000.000000,7330342675000.000000,,,4583995711000.000000,,1305584490000.000000,997476701000.000000,3100963427000.000000,97362863000.000000,468419767000.000000,10553802959000.000000,17884145634000.000000,,,2864848927000.000000,162098834000.000000,,,162098834000.000000,,579532703000.000000,15888840000.000000,595421543000.000000,,,,122231612000.000000,4933002000.000000,127164614000.000000,240423010000.000000,493840915000.000000,,,191012500000.000000,7935555000.000000,551358375000.000000,2485997000.000000,752792427000.000000,52097381000.000000,,52097381000.000000,441010203000.000000,2864848927000.000000,2620257556000.000000,,,,,,,2084386654000.000000,13376111000.000000,,,10740301000.000000,2108503066000.000000,155329662000.000000,356424828000.000000,2620257556000.000000,5485106483000.000000,,1128791468000.000000,2092715725000.000000,-1080923431000.000000,12000000000.000000,-1092923431000.000000,-1080923431000.000000,1711271300000.000000,8547184089000.000000,12399039151000.000000,17884145634000.000000,5643957342.000000
