Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Jangka Pendek,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Keuangan Lainnya,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,12518987030.000000,122028403872.000000,5127068715.000000,116901335157.000000,122028403872.000000,1325207435.000000,1274850739.000000,50356696.000000,1325207435.000000,,68058007390.000000,,7813024564.000000,211743630291.000000,,47881296945.000000,,9447032460.000000,7800309917.000000,65128639322.000000,276872269613.000000,,,120107524966.000000,,,35467523885.000000,20929002.000000,35488452887.000000,,8588336612.000000,3231974486.000000,11820311098.000000,,40103648244.000000,,,40103648244.000000,9797653969.000000,,9797653969.000000,,163004278.000000,,22734454490.000000,22897458768.000000,,,120107524966.000000,66071995688.000000,,47438833.000000,,43466726078.000000,43514164911.000000,22557830777.000000,66071995688.000000,186179520654.000000,,50001500000.000000,,40690817149.000000,,40690817149.000000,40690817149.000000,431810.000000,,90692748959.000000,276872269613.000000,100003000.000000
12M 2010,,,12759157610.000000,175479679525.000000,11339780127.000000,164139899398.000000,175479679525.000000,1395122812.000000,1331070404.000000,64052408.000000,1395122812.000000,,64710156392.000000,,9529776206.000000,263873892545.000000,,53066404412.000000,,6367766060.000000,9821866820.000000,69256037292.000000,333129929837.000000,,,166071283831.000000,,,48857847300.000000,,48857847300.000000,,8666068905.000000,5730231129.000000,14396300034.000000,,30958003552.000000,,,30958003552.000000,15953298562.000000,,15953298562.000000,,47438833.000000,,55858395550.000000,55905834383.000000,,,166071283831.000000,50139400395.000000,,,,25283892742.000000,25283892742.000000,24855507653.000000,50139400395.000000,216210684226.000000,,71500000000.000000,,45418752115.000000,,45418752115.000000,45418752115.000000,493495.000000,,116919245610.000000,333129929836.000000,715000000.000000
12M 2011,,,189419330218.000000,201404166004.000000,13393072016.000000,188011093988.000000,201404166004.000000,1216610385.000000,1108033531.000000,108576854.000000,1216610385.000000,,53049292387.000000,,14701203398.000000,459790602392.000000,,67398292985.000000,,6990099441.000000,7494846182.000000,81883238608.000000,541673841000.000000,,,112665224368.000000,21959084945.000000,,42320276538.000000,37125746.000000,42357402284.000000,,13340016753.000000,3415420015.000000,16755436768.000000,,,17429865302.000000,2598465686.000000,20028330988.000000,10235656927.000000,,10235656927.000000,,1329312456.000000,,,1329312456.000000,,,112665224368.000000,28466297888.000000,,119380170.000000,,,119380170.000000,28346917718.000000,28466297888.000000,141131522256.000000,,107000000000.000000,214500000000.000000,77469213387.000000,500000000.000000,76969213387.000000,77469213387.000000,1569981334.000000,3124023.000000,400542318744.000000,541673841000.000000,1070000000.000000
12M 2012,,,119507444101.000000,289157043450.000000,16105946584.000000,273051096866.000000,289157043450.000000,209010242.000000,,209010242.000000,209010242.000000,,52877056801.000000,,48451992523.000000,510202547117.000000,,81063310104.000000,,8745832101.000000,9482324620.000000,99291466825.000000,609494013942.000000,,,137512947804.000000,31398354509.000000,,60085089310.000000,11568847.000000,60096658157.000000,,,5271661515.000000,5271661515.000000,12432415479.000000,,14871421717.000000,3068877218.000000,17940298935.000000,,9662805691.000000,9662805691.000000,,710753518.000000,,,710753518.000000,,,137512947804.000000,37418152790.000000,,82460899.000000,,,82460899.000000,37335691891.000000,37418152790.000000,174931100594.000000,,107000000000.000000,214500000000.000000,112292153401.000000,1000000000.000000,111292153401.000000,112292153401.000000,25359014.000000,745400933.000000,434562913348.000000,609494013942.000000,1070000000.000000
12M 2013,,,47589357527.000000,277580729491.000000,12064537872.000000,265516191619.000000,277580729491.000000,234592015.000000,,234592015.000000,234592015.000000,,53263258533.000000,,75092738268.000000,453760675834.000000,,134670265336.000000,,10723703738.000000,12615100420.000000,158009069494.000000,611769745328.000000,,,113684498431.000000,53229439942.000000,,43016379298.000000,,43016379298.000000,,,604863040.000000,604863040.000000,3367243380.000000,,3182653214.000000,2435345056.000000,5617998270.000000,,7424213043.000000,7424213043.000000,,424361458.000000,,,424361458.000000,,,113684498431.000000,46766782179.000000,,46818804.000000,,,46818804.000000,46719963375.000000,46766782179.000000,160451280610.000000,,107000000000.000000,214500000000.000000,128454987515.000000,1500000000.000000,126954987515.000000,128454987515.000000,25130475.000000,1338346728.000000,451318464718.000000,611769745328.000000,1070000000.000000
12M 2014,,,41256538369.000000,303203625220.000000,12466564617.000000,290737060603.000000,303203625220.000000,116943766.000000,,116943766.000000,116943766.000000,,74985171053.000000,,22059352891.000000,441621631299.000000,,148954451135.000000,,12386150190.000000,16420849442.000000,177761450767.000000,619383082066.000000,,,111683722179.000000,33874656885.000000,,51590268910.000000,,51590268910.000000,,,667240061.000000,667240061.000000,6503474941.000000,,6477056396.000000,3385504706.000000,9862561102.000000,,9038844336.000000,9038844336.000000,,146675944.000000,,,146675944.000000,,,111683722179.000000,53950225983.000000,,21113159.000000,,,21113159.000000,53929112824.000000,53950225983.000000,165633948162.000000,,107000000000.000000,214500000000.000000,131380135847.000000,2000000000.000000,129380135847.000000,131380135847.000000,25052342.000000,843945715.000000,453749133904.000000,619383082066.000000,1070000000.000000
12M 2015,,,30922884864.000000,336758454297.000000,15371431200.000000,321387023097.000000,336758454297.000000,324110872.000000,,324110872.000000,324110872.000000,,76682141187.000000,,22616471512.000000,467304062732.000000,,145278949208.000000,,16928251976.000000,19388113324.000000,181595314508.000000,648899377240.000000,,,149060988246.000000,41315424803.000000,,47462859570.000000,,47462859570.000000,,,5054856915.000000,5054856915.000000,12012012362.000000,,31929009729.000000,3169610460.000000,35098620189.000000,,7250854926.000000,7250854926.000000,,866359481.000000,,,866359481.000000,,,149060988246.000000,65624793028.000000,,1537332816.000000,,,1537332816.000000,64087460212.000000,65624793028.000000,214685781274.000000,,107000000000.000000,214500000000.000000,112027323968.000000,2500000000.000000,109527323968.000000,112027323968.000000,558757.000000,685713241.000000,434213595966.000000,648899377240.000000,1070000000.000000
12M 2016,,,6593262476.000000,346657795260.000000,20009901740.000000,326647893520.000000,346657795260.000000,717018372.000000,,717018372.000000,717018372.000000,,94201581437.000000,,24592356488.000000,472762014033.000000,,146765140999.000000,55341666667.000000,17162474633.000000,17927871756.000000,237197154055.000000,709959168088.000000,,,155284557576.000000,50703321426.000000,,41038832083.000000,,41038832083.000000,,,1015333999.000000,1015333999.000000,9788387828.000000,,30890912491.000000,2773773031.000000,33664685522.000000,8392312293.000000,,8392312293.000000,,4053112977.000000,,6628571448.000000,10681684425.000000,,,155284557576.000000,113747712801.000000,,5800837142.000000,,34799999966.000000,40600837108.000000,73146875693.000000,113747712801.000000,269032270377.000000,,107000000000.000000,214500000000.000000,118324002894.000000,3000000000.000000,115324002894.000000,118324002894.000000,691311.000000,1102203506.000000,440926897711.000000,709959168088.000000,1070000000.000000
12M 2017,,,5238550050.000000,387774286090.000000,21130005397.000000,366644280693.000000,387774286090.000000,1337304510.000000,,1337304510.000000,1337304510.000000,,103446614309.000000,,22587328383.000000,520384083342.000000,,151096093283.000000,52441666667.000000,26771185214.000000,29976733281.000000,260285678445.000000,780669761787.000000,,,252247858307.000000,114063599833.000000,,74685967049.000000,,74685967049.000000,,,4218912325.000000,4218912325.000000,12573825461.000000,,21642585527.000000,3025208757.000000,24667794284.000000,8941365740.000000,,8941365740.000000,,6467822167.000000,,6628571448.000000,13096393615.000000,,,252247858307.000000,115679280937.000000,,5811332526.000000,,28171428518.000000,33982761044.000000,81696519893.000000,115679280937.000000,367927139244.000000,,107000000000.000000,214500000000.000000,90949514135.000000,3500000000.000000,87449514135.000000,90949514135.000000,757267.000000,292351141.000000,412742622543.000000,780669761787.000000,1070000000.000000
12M 2018,,,3998894576.000000,248920628843.000000,22990434445.000000,225930194398.000000,248920628843.000000,315917444.000000,,315917444.000000,315917444.000000,,106276782334.000000,,32845617720.000000,392357840917.000000,,134332773420.000000,49541666667.000000,67226076519.000000,4558522802.000000,255659039408.000000,648016880325.000000,,,240203560883.000000,130486637289.000000,,38929060275.000000,,38929060275.000000,,,4390582383.000000,4390582383.000000,11688665686.000000,,38845510070.000000,1572827875.000000,40418337945.000000,1880911057.000000,,1880911057.000000,,5056229612.000000,,7353136636.000000,12409366248.000000,,,240203560883.000000,107313562569.000000,,2554411075.000000,,24195076349.000000,26749487424.000000,80564075145.000000,107313562569.000000,347517123452.000000,,107000000000.000000,214500000000.000000,-20770878588.000000,4000000000.000000,-24770878588.000000,-20770878588.000000,766319.000000,-230130858.000000,300499756873.000000,648016880325.000000,1070000000.000000
12M 2019,,,2637369506.000000,180920402107.000000,17013371513.000000,163907030594.000000,180920402107.000000,314964230.000000,,314964230.000000,314964230.000000,,104723459796.000000,,28689254781.000000,317285450420.000000,,131463966244.000000,46641666667.000000,88942215893.000000,6730628813.000000,273778477617.000000,591063928037.000000,,,254266866831.000000,152312953748.000000,,42983708016.000000,,42983708016.000000,,,10974030180.000000,10974030180.000000,11065426443.000000,,11967906987.000000,1936593452.000000,13904500439.000000,10820794628.000000,,10820794628.000000,,4291044274.000000,,7914409103.000000,12205453377.000000,,,254266866831.000000,101625859467.000000,,4211224501.000000,,18195130676.000000,22406355177.000000,79219504290.000000,101625859467.000000,355892726298.000000,,107000000000.000000,214500000000.000000,-86273530900.000000,4500000000.000000,-90773530900.000000,-86273530900.000000,866662.000000,-56134023.000000,235171201739.000000,591063928037.000000,1070000000.000000
12M 2020,,,2199931138.000000,67741431604.000000,20588870981.000000,47152560623.000000,67741431604.000000,776577462.000000,,776577462.000000,776577462.000000,,96505108105.000000,,14979057349.000000,182202105658.000000,,663892086439.000000,43741666667.000000,63448429140.000000,29598398313.000000,800680580559.000000,982882686217.000000,,,295518213807.000000,156810838912.000000,,49081933007.000000,,49081933007.000000,,,16507455918.000000,16507455918.000000,19585229925.000000,,20922707473.000000,2698783813.000000,23621491286.000000,16433960405.000000,,16433960405.000000,,7248602788.000000,,6228701566.000000,13477304354.000000,,,295518213807.000000,97505112943.000000,,5457302146.000000,,19692148220.000000,25149450366.000000,72355662577.000000,97505112943.000000,393023326750.000000,,107000000000.000000,214500000000.000000,-280090883971.000000,5000000000.000000,-285090883971.000000,-280090883971.000000,965511.000000,548449277927.000000,589859359467.000000,982882686217.000000,1070000000.000000
12M 2021,,,2851093946.000000,46334324743.000000,45209803377.000000,1124521366.000000,46334324743.000000,3392064319.000000,,3392064319.000000,3392064319.000000,,105058320655.000000,,12682740400.000000,170318544063.000000,,452293726532.000000,40841666667.000000,30136885230.000000,21056918192.000000,544329196621.000000,714647740684.000000,,,225904727379.000000,129128390006.000000,,16378170243.000000,9064643378.000000,25442813621.000000,,,9652237381.000000,9652237381.000000,19008695153.000000,,24476878971.000000,1268026361.000000,25744905332.000000,8971514169.000000,,8971514169.000000,,6213106629.000000,66701124.000000,1676363964.000000,7956171717.000000,,,225904727379.000000,48408719261.000000,,2479582889.000000,89637600.000000,3101498635.000000,5670719124.000000,42738000137.000000,48408719261.000000,274313446640.000000,,107000000000.000000,214500000000.000000,-262314124507.000000,5500000000.000000,-267814124507.000000,-262314124507.000000,875006.000000,381147543545.000000,440334294044.000000,714647740684.000000,1070000000.000000
12M 2022,,,4018557970.000000,59291220816.000000,58079408175.000000,1211812641.000000,59291220816.000000,2478471244.000000,,2478471244.000000,2478471244.000000,,98673293083.000000,,27096822594.000000,191558365707.000000,,445652326506.000000,37941666667.000000,29995050920.000000,16556199023.000000,530145243116.000000,721703608823.000000,,,280381533530.000000,154884603578.000000,,37169142457.000000,996157350.000000,38165299807.000000,,,12746989671.000000,12746989671.000000,23333840099.000000,,33999550102.000000,2729189276.000000,36728739378.000000,9484302543.000000,,9484302543.000000,,3271756890.000000,89637600.000000,1676363964.000000,5037758454.000000,,,280381533530.000000,36524877314.000000,,46060324.000000,,1425134665.000000,1471194989.000000,35053682325.000000,36524877314.000000,316906410844.000000,,107000000000.000000,214500000000.000000,-297856257077.000000,6000000000.000000,-303856257077.000000,-297856257077.000000,5911511.000000,381147543545.000000,404797197979.000000,721703608823.000000,1070000000.000000
12M 2023,,,4466982711.000000,53036496921.000000,49873338467.000000,3163158454.000000,53036496921.000000,2972987088.000000,1898389735.000000,1074597353.000000,2972987088.000000,1800000000.000000,84186199591.000000,,14018934774.000000,160481601085.000000,,439014005578.000000,35041666667.000000,22781854556.000000,15932221919.000000,512769748720.000000,673251349805.000000,,,259804085141.000000,163309517399.000000,,34333241410.000000,35333699.000000,34368575109.000000,,,10740342390.000000,10740342390.000000,23831994347.000000,,17323670863.000000,2703116515.000000,20026787378.000000,5265164678.000000,,5265164678.000000,,1470703232.000000,13654424.000000,777346184.000000,2261703840.000000,,,259804085141.000000,44301192612.000000,,1888796058.000000,,647788477.000000,2536584535.000000,41764608077.000000,44301192612.000000,304105277753.000000,,107000000000.000000,214500000000.000000,-333512650295.000000,6500000000.000000,-340012650295.000000,-333512650295.000000,11178802.000000,381147543545.000000,369146072052.000000,673251349805.000000,1070000000.000000
