Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kepada Pemasok, Karyawan Dan Dihasilkan Dari Aktivitas Operasi","Kontraktor, Pemasok Dan Lainnya",Karyawan,Beban Usaha,"Total Pembayaran Kepada Pemasok, Karyawan Dan Dihasilkan Dari Aktivitas Operasi",Penghasilan (Biaya) Lain-Lain,Penerimaan Retribusi Pajak Penghasilan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Untuk Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Merek,Aset Tak Berwujud,Perolehan Aset Hak-Guna,Hasil Penjualan Aset Hak-Guna,Penerimaan Dari Penjualan Aset Keuangan Tersedia Untuk Dijual,Penambahan Penyertaan Saham,Penambahan Investasi,Investasi Jangka Pendek,Laba Penjualan Investasi Jangka Panjang,Transaksi Dengan Pihak Non-Pengendali,Investasi Untuk Reksadana,Penerimaan Setoran Modal Dari Kepentingan Non-Pengendali,Uang Muka Aset Dalam Proses Pembangunan,Pembayaran Biaya Penawaran Saham Perdana,Penambahan(Pengurangan) Aset Tidak Lancar Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank Jangka Pendek,Pelunasan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pelunasan Utang Bank Jangka Panjang,Pembayaran Dividen Kas,Pembayaran Utang Sewa Pembiayaan,Pelunasan Utang Sewa Pembiayaan Jangka Pendek,Pelunasan Utang Sewa Pembiayaan Jangka Panjang,Penambahan Utang Sewa Pembiayaan Jangka Panjang,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Bersih Dari Penawaran Umum Saham Per Dana Saham Perusahaan,Penambahan(Pengurangan) Aset Tidak Lancar Lainnya,Penambahan Modal Pemegang Saham,Realisasi Beban Kesejahteraan Karyawan,Penerimaan Modal Dari Ncl,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,41971011176.000000,557141786163.000000,-507570363532.000000,,,,-507570363532.000000,,,977803696.000000,-8137658935.000000,-440556216.000000,,41971011176.000000,-6365666282.000000,-11830789046.000000,5134504127.000000,,,,,,,,,,330618637.000000,,,,,,,,-6365666282.000000,-39026482775.000000,2052778780.000000,,,-6226500000.000000,-31000930000.000000,,,-163004277.000000,,,,,,,-3688827278.000000,,,-39026482775.000000,-3421137881.000000,15940124911.000000,12518987030.000000
12M 2010,16176099136.000000,560272826862.000000,-535696030264.000000,,,,-535696030264.000000,,,602178946.000000,-7304207330.000000,-1698669078.000000,,16176099136.000000,-12993634981.000000,-14334189625.000000,3672523819.000000,,,,,,,,,,,,,,,-2331969175.000000,,,-12993634981.000000,-2942293575.000000,45397761917.000000,,,-29034333336.000000,-30600917388.000000,,,-3398645458.000000,,,,,,21498500000.000000,-6804659310.000000,,,-2942293575.000000,240170580.000000,12518987030.000000,12759157610.000000
12M 2011,20619824390.000000,685823384549.000000,-653608155324.000000,,,,-653608155324.000000,,721661652.000000,10532225733.000000,-4093869939.000000,-18755422281.000000,,20619824390.000000,-21692064473.000000,-22506975733.000000,2417212577.000000,-2909470987.000000,,,,,,,,,,,,1307169670.000000,,,,,-21692064473.000000,177732412691.000000,103722453119.000000,-137621763724.000000,,-25283892742.000000,-10700000000.000000,,-1605273771.000000,,,,,,-779110191.000000,250000000000.000000,,,,177732412691.000000,176660172608.000000,12759157610.000000,189419330218.000000
12M 2012,-13923794274.000000,628752692328.000000,-633215920328.000000,,,,-633215920328.000000,,,8352284783.000000,-2871014249.000000,-14941836808.000000,,-13923794274.000000,-51250944070.000000,-23960405088.000000,671453288.000000,,,,,,,,,-20000000000.000000,,-1625358274.000000,-8000000000.000000,,,,1663366004.000000,,-51250944070.000000,-4737147772.000000,90006935957.000000,-80567666393.000000,,,-10700000000.000000,,-3476417336.000000,,,,,,,,,,,-4737147772.000000,-69911886116.000000,189419330218.000000,119507444102.000000
12M 2013,-2863783370.000000,654960939465.000000,-641513720060.000000,,,,-641513720060.000000,,,6120301209.000000,-4452016392.000000,-17979287592.000000,,-2863783370.000000,-87284641055.000000,-66174235227.000000,163941713.000000,,,,,,,,,-21000000000.000000,,,,,,,-274347541.000000,,-87284641055.000000,18230337851.000000,106566193392.000000,-84735107959.000000,,,-252500.000000,,-3600495082.000000,,,,,,,,,,,18230337851.000000,-71918086574.000000,119507444101.000000,47589357527.000000
12M 2014,2367299124.000000,647401871758.000000,-634394605089.000000,,,,-634394605089.000000,,,4488038304.000000,-6614903334.000000,-8513102515.000000,,2367299124.000000,11840535936.000000,-36406237004.000000,820846593.000000,,,,,,8546043985.000000,,,39000000000.000000,,,,,,,-120117638.000000,,11840535936.000000,-20540654218.000000,241483892402.000000,-260838675459.000000,,,,,-1185871161.000000,,,,,,,,,,,-20540654218.000000,-6332819158.000000,47589357527.000000,41256538369.000000
12M 2015,1011148821.000000,659656184514.000000,-649746551153.000000,,,,-649746551153.000000,,,2103125594.000000,-7458541320.000000,-3543068814.000000,,1011148821.000000,-16959116625.000000,-17855085482.000000,1474293078.000000,,,,,,,,,,,,,,,,-578324221.000000,,-16959116625.000000,5614314299.000000,169674568550.000000,-162233800632.000000,,,,,-1826453619.000000,,,,,,,,,,,5614314299.000000,-10333653505.000000,41256538369.000000,30922884864.000000
12M 2016,4896207231.000000,675544579962.000000,,-287735152754.000000,-179729034647.000000,-189355387940.000000,-656819575341.000000,,1119724416.000000,246079021.000000,-12899075940.000000,-2295524887.000000,,4896207231.000000,-77401156728.000000,-21999694986.000000,1753164112.000000,,-58000000000.000000,,,,,,,,,,,,,,845374146.000000,,-77401156728.000000,48175327109.000000,203121048535.000000,-193733151912.000000,46400000000.000000,-4971428586.000000,,,-2641140928.000000,,,,,,,,,,,48175327109.000000,-24329622388.000000,30922884864.000000,6593262476.000000
12M 2017,-33053446183.000000,690460852798.000000,,-266476182358.000000,-196199162914.000000,-229205697685.000000,-691881042957.000000,,382912367.000000,165492106.000000,-14870677402.000000,-17310983095.000000,,-33053446183.000000,-19988350373.000000,-24620449209.000000,4430075504.000000,,,,,,,,,,,,,,,,202023332.000000,,-19988350373.000000,51687084130.000000,325147721717.000000,-261787443310.000000,,-6628571448.000000,,,-5044622829.000000,,,,,,,,,,,51687084130.000000,-1354712426.000000,6593262476.000000,5238550050.000000
12M 2018,6591999142.000000,641371371854.000000,,-264418820429.000000,-212453727395.000000,-164599205263.000000,-641471753087.000000,,-2057344414.000000,51051934.000000,-17876319191.000000,26574992046.000000,,6591999142.000000,-13495551085.000000,-15680456223.000000,2068715119.000000,,,,,,,,,,,,,,,,116190019.000000,,-13495551085.000000,5663896469.000000,631150926624.000000,-614727889168.000000,10000000000.000000,-13251786981.000000,,,-7507354006.000000,,,,,,,,,,,5663896469.000000,-1239655474.000000,5238550050.000000,3998894576.000000
