Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,906.90,0.00,906.90,23 B,44 B,66 B,54 B,92 B
12M 2010,0.00,163.52,0.00,163.52,56 B,25 B,81 B,68 B,98 B
12M 2011,1.10,372.87,1.10,372.87,23 B,0 B,23 B,(166 B),347 B
12M 2012,0.94,406.11,0.94,406.11,45 B,0 B,45 B,(75 B),373 B
12M 2013,0.72,421.77,0.72,421.77,57 B,0 B,57 B,9 B,340 B
12M 2014,0.47,424.04,0.47,424.04,41 B,0 B,41 B,(1 B),330 B
12M 2015,0.34,405.81,0.34,405.81,54 B,2 B,56 B,25 B,318 B
12M 2016,0.45,412.08,0.51,360.36,71 B,41 B,112 B,105 B,317 B
12M 2017,0.35,385.74,0.40,336.73,140 B,34 B,174 B,168 B,268 B
12M 2018,0.45,280.84,0.54,234.54,155 B,27 B,181 B,177 B,152 B
12M 2019,0.43,219.79,0.53,176.20,176 B,22 B,198 B,195 B,63 B
12M 2020,0.17,551.27,0.19,510.39,190 B,25 B,215 B,213 B,(113 B)
12M 2021,0.35,411.53,0.39,373.36,156 B,6 B,162 B,159 B,(56 B)
12M 2022,0.34,378.31,0.37,342.85,183 B,1 B,185 B,181 B,(89 B)
12M 2023,0.29,344.99,0.32,312.24,189 B,3 B,192 B,187 B,(99 B)
12M 2024,0.26,343.37,0.28,313.33,180 B,4 B,184 B,179 B,(95 B)
