Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,516318810609.000000,-248243582562.000000,268075228047.000000,-239534376763.000000,-181381741557.000000,-58792395084.000000,,639759878.000000,-239534376763.000000,28540851284.000000,-1503692412.000000,3603888868.000000,2603406269.000000,977803696.000000,-8759104215.000000,70312970.000000,-1503692412.000000,27037158872.000000,-4807024528.000000,-1643224240.000000,-3163800288.000000,-4807024528.000000,22230134344.000000,-98462.000000,22230035882.000000,,,,,22230035882.000000,22230134344.000000,-98462.000000,,22230035882.000000,,,,
12M 2010,566186416236.000000,-264700125431.000000,301486290805.000000,-249274385993.000000,-188406922073.000000,-61328958103.000000,,461494183.000000,-249274385993.000000,52211904812.000000,-3592334382.000000,2378159447.000000,572979838.000000,602415091.000000,-7145888758.000000,,-3592334382.000000,48619570430.000000,-11855453940.000000,-10211254648.000000,-1644199292.000000,-11855453940.000000,36764116490.000000,-203450.000000,36763913040.000000,,,,,36763913040.000000,36764116490.000000,-203450.000000,,36763913040.000000,,,,
12M 2011,648375230795.000000,-302234427169.000000,346140803626.000000,-299048565505.000000,-237071451138.000000,-62150803961.000000,,173689594.000000,-299048565505.000000,47092238121.000000,7314157353.000000,,,11037017511.000000,-3722860158.000000,,7314157353.000000,54406395474.000000,-11746989119.000000,-12369322500.000000,622333381.000000,-11746989119.000000,42659406355.000000,,42659406355.000000,3124023.000000,3124023.000000,3124023.000000,42662530378.000000,42659406355.000000,42659142766.000000,263589.000000,,42659406355.000000,42662530378.000000,42662266789.000000,263589.000000,42662530378.000000
12M 2012,717788399047.000000,-341349583616.000000,376438815431.000000,-322363585767.000000,-252453042168.000000,-68961879366.000000,,-948664233.000000,-322363585767.000000,54075229664.000000,5479419926.000000,,,8362002148.000000,-2882582222.000000,,5479419926.000000,59554649590.000000,-14031570771.000000,-15787303431.000000,1755732660.000000,-14031570771.000000,45523078819.000000,,45523078819.000000,825998083.000000,825998083.000000,825998083.000000,46349076902.000000,45523078819.000000,45522940014.000000,138805.000000,,45523078819.000000,46349076902.000000,46348938097.000000,138805.000000,46349076902.000000
12M 2013,641284586295.000000,-315414276301.000000,325870309994.000000,-304335307562.000000,-227579776482.000000,-70607464988.000000,,-6148066092.000000,-304335307562.000000,21535002432.000000,1471205830.000000,,,5997743794.000000,-4526537964.000000,,1471205830.000000,23006208262.000000,-6843350187.000000,-8428708398.000000,1585358211.000000,-6843350187.000000,16162858075.000000,,16162858075.000000,592945795.000000,592945795.000000,592945795.000000,16755803870.000000,16162858075.000000,16162834114.000000,23961.000000,,16162858075.000000,16755803870.000000,16755779909.000000,23961.000000,16755803870.000000
12M 2014,671398849823.000000,-331723960863.000000,339674888960.000000,-331730069034.000000,-258020744538.000000,-72957150143.000000,,-752174353.000000,-331730069034.000000,7944819926.000000,-2245381558.000000,,,4399473920.000000,-6644855478.000000,,-2245381558.000000,5699438368.000000,-2774368169.000000,-4436814621.000000,1662446452.000000,-2774368169.000000,2925070199.000000,,2925070199.000000,51642973.000000,51642973.000000,51642973.000000,2976713172.000000,2925070199.000000,2925148332.000000,-78133.000000,,2925070199.000000,2976713172.000000,2976791305.000000,-78133.000000,2976713172.000000
12M 2015,694782752351.000000,-352531773903.000000,342250978448.000000,-353705548759.000000,-276404928033.000000,-74365330842.000000,,-2935289884.000000,-353705548759.000000,-11454570311.000000,-5378650555.000000,,,1998268064.000000,-7376918619.000000,,-5378650555.000000,-16833220866.000000,2776670972.000000,,2776670972.000000,2776670972.000000,-14056549894.000000,,-14056549894.000000,5378066940.000000,5378066940.000000,5378066940.000000,-8678482954.000000,-14056549894.000000,-14056494567.000000,-55327.000000,,-14056549894.000000,-8678482954.000000,-8678433080.000000,-49874.000000,-8678482954.000000
12M 2016,685443920925.000000,-327735509125.000000,357708411800.000000,-333064042514.000000,-246530425273.000000,-86518897015.000000,,-14720226.000000,-333064042514.000000,24644369286.000000,-12863138915.000000,,,230089979.000000,-13093228894.000000,,-12863138915.000000,11781230371.000000,-2967619292.000000,-2362908750.000000,-604710542.000000,-2967619292.000000,8813611079.000000,,8813611079.000000,-2100309334.000000,-2100309334.000000,-2100309334.000000,6713301745.000000,8813611079.000000,8813450554.000000,160525.000000,,8813611079.000000,6713301745.000000,6713169191.000000,132554.000000,6713301745.000000
12M 2017,731577343628.000000,-355796818935.000000,375780524693.000000,-392785591252.000000,-292295610957.000000,-104038548363.000000,,3548568068.000000,-392785591252.000000,-17005066559.000000,-14653152161.000000,,,165492106.000000,-14818644267.000000,,-14653152161.000000,-31658218720.000000,6967392602.000000,-1746785750.000000,8714178352.000000,6967392602.000000,-24690826118.000000,,-24690826118.000000,-3493449050.000000,-3493449050.000000,-3493449050.000000,-28184275168.000000,-24690826118.000000,-24690946486.000000,120368.000000,,-24690826118.000000,-28184275168.000000,-28184341124.000000,65956.000000,-28184275168.000000
12M 2018,502517714607.000000,-288808650976.000000,213709063631.000000,-351066641340.000000,-250979367019.000000,-103765098590.000000,,3677824269.000000,-351066641340.000000,-137357577709.000000,-17797590669.000000,,,51051934.000000,-17848642603.000000,,-17797590669.000000,-155155168378.000000,41024141531.000000,-234297500.000000,41258439031.000000,41024141531.000000,-114131026847.000000,,-114131026847.000000,1888161177.000000,1888161177.000000,1888161177.000000,-112242865670.000000,-114131026847.000000,-114131038530.000000,11683.000000,,-114131026847.000000,-112242865670.000000,-112242874722.000000,9052.000000,-112242865670.000000
12M 2019,537567605097.000000,-305240878778.000000,232326726319.000000,-300200960407.000000,-189091124023.000000,-112216399677.000000,,1106563293.000000,-300200960407.000000,-67874234088.000000,-20388804193.000000,,,44959458.000000,-20433763651.000000,,-20388804193.000000,-88263038281.000000,21317144171.000000,-880109250.000000,22197253421.000000,21317144171.000000,-66945894110.000000,,-66945894110.000000,1443598556.000000,1443598556.000000,1443598556.000000,-65502295554.000000,-66945894110.000000,-66945955666.000000,61556.000000,,-66945894110.000000,-65502295554.000000,-65502395897.000000,100343.000000,-65502295554.000000
12M 2020,297216309211.000000,-197541994773.000000,99674314438.000000,-267841538270.000000,-170255355402.000000,-101732251632.000000,,4146068764.000000,-267841538270.000000,-168167223832.000000,-21245812831.000000,,,31456631.000000,-21277269462.000000,,-21245812831.000000,-189413036663.000000,-13801895089.000000,-1371678440.000000,-12430216649.000000,-13801895089.000000,-203214931752.000000,,-203214931752.000000,557903089480.000000,557903089480.000000,557903089480.000000,354688157728.000000,-203214931752.000000,-203215042745.000000,110993.000000,,-203214931752.000000,354688157728.000000,354688058879.000000,98849.000000,354688157728.000000
12M 2021,210528089820.000000,-143858591874.000000,66669497946.000000,-165499677097.000000,-80449716083.000000,-81331537047.000000,,-3718423967.000000,-165499677097.000000,-98830179151.000000,-18939099873.000000,,,90439301.000000,-19029539174.000000,,-18939099873.000000,-117769279024.000000,-30997431321.000000,,-30997431321.000000,-30997431321.000000,-148766710345.000000,,-148766710345.000000,-758355078.000000,-758355078.000000,-758355078.000000,-149525065423.000000,-148766710345.000000,-148766724700.000000,14355.000000,,-148766710345.000000,-149525065423.000000,-149524974918.000000,-90505.000000,-149525065423.000000
12M 2022,360183468535.000000,-227053839928.000000,133129628607.000000,-159520497322.000000,-85911386953.000000,-76162040983.000000,,2552930614.000000,-159520497322.000000,-26390868715.000000,-16313070738.000000,,,102067409.000000,-16415138147.000000,,-16313070738.000000,-42703939453.000000,277133500.000000,-1522873440.000000,1800006940.000000,277133500.000000,-42426805953.000000,,-42426805953.000000,2888692323.000000,2888692323.000000,2888692323.000000,-39538113630.000000,-42426805952.000000,-42426859760.000000,53808.000000,,-42426805952.000000,-39538113630.000000,-39538150135.000000,36505.000000,-39538113630.000000
12M 2023,418529044960.000000,-272734101537.000000,145794943423.000000,-148314018182.000000,-78545374439.000000,-84661270867.000000,,14892627124.000000,-148314018182.000000,-2519074759.000000,-17499358714.000000,,,96940594.000000,-17596299308.000000,,-17499358714.000000,-20018433473.000000,-11909165403.000000,-3644321780.000000,-8264843623.000000,-11909165403.000000,-31927598876.000000,,-31927598876.000000,-3728567551.000000,-3728567551.000000,-3728567551.000000,-35656166427.000000,-31927598876.000000,-31927835367.000000,236491.000000,,-31927598876.000000,-35656166427.000000,-35656393218.000000,226791.000000,-35656166427.000000
12M 2024,431604947156.000000,-258220935559.000000,173384011597.000000,-153108582017.000000,-78553902553.000000,-78375827540.000000,,3821148076.000000,-153108582017.000000,20275429580.000000,-18632101444.000000,,,154474875.000000,-18786576319.000000,,-18632101444.000000,1643328136.000000,-6105217680.000000,,,-6105217680.000000,-4461889544.000000,,-4461889544.000000,2735483640.000000,2735483640.000000,2735483640.000000,-1726405904.000000,-4461889544.000000,-4461998092.000000,108548.000000,,-4461889544.000000,-1726405904.000000,-1726608898.000000,202994.000000,-1726405904.000000
