Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Keuangan Lainnya,Utang Pajak,Beban Akrual,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Derivatif,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Liabilitas Keuangan Lainnya,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,16020335749.000000,,168260916238.000000,168260916238.000000,168260916238.000000,494767126.000000,494767126.000000,,494767126.000000,20004298606.000000,135648348061.000000,340428665780.000000,,1227089000000.000000,2552063831.000000,,,,228755014801.000000,1458396078632.000000,1798824744412.000000,,,249105931621.000000,,,,,,2121101954.000000,397406801.000000,2518508755.000000,,625132981.000000,,625132981.000000,,4964716721.000000,1772418685.000000,,,102666666667.000000,102666666667.000000,136558487812.000000,249105931621.000000,1075601316130.000000,,24704241452.000000,24704241452.000000,,,187949554271.000000,710652535904.000000,898602090175.000000,151204152503.000000,,,1090832000.000000,1075601316130.000000,1324707247751.000000,,50000000000.000000,,424117496661.000000,,,424117496661.000000,,,474117496661.000000,1798824744412.000000,600000000.000000
12M 2011,,,378502837982.000000,204000000000.000000,200724290791.000000,200724290791.000000,200724290791.000000,3596987473.000000,441811079.000000,3155176394.000000,3596987473.000000,18473915626.000000,159362970407.000000,964661002279.000000,,1553888000000.000000,26747951061.000000,16459990867.000000,38657000000.000000,,244143884884.000000,1879896826812.000000,2844557829091.000000,,,396490218856.000000,,,,,,3155855292.000000,22084114470.000000,25239969762.000000,,13089860549.000000,,13089860549.000000,,4198010309.000000,35625074260.000000,,,150568701471.000000,150568701471.000000,167768602505.000000,396490218856.000000,1547099803082.000000,,28668215032.000000,28668215032.000000,37994084041.000000,,711222002208.000000,564791679740.000000,1276013681948.000000,201470127061.000000,,,2953695000.000000,1547099803082.000000,1943590021938.000000,,60000000000.000000,320524297388.000000,558437593806.000000,,,558437593806.000000,,-37994084041.000000,900967807153.000000,2844557829091.000000,600000000.000000
12M 2012,,,263326438283.000000,,361973206020.000000,361973206020.000000,361973206020.000000,,,,,39841980242.000000,251583430111.000000,916725054656.000000,,2396838000000.000000,193050136773.000000,,134188155650.000000,1601040752.000000,239595001568.000000,2965272334743.000000,3881997389399.000000,,,743786309548.000000,,,,,,8663340396.000000,,8663340396.000000,,,,,238853627456.000000,6788820064.000000,41375634938.000000,,,253800000000.000000,253800000000.000000,194304886694.000000,743786309548.000000,1417659919264.000000,,,,,,622029633252.000000,497282534246.000000,1119312167498.000000,253321565415.000000,38348911351.000000,,6677275000.000000,1417659919264.000000,2161446228812.000000,,73500000000.000000,951119512188.000000,734106206376.000000,,,734106206376.000000,174353374.000000,-38348911351.000000,1720551160587.000000,3881997389399.000000,735000000.000000
12M 2013,,,525226189089.000000,,193887607715.000000,193887607715.000000,193887607715.000000,,,,,51095036519.000000,599261392005.000000,1369470225328.000000,,3783891000000.000000,345318692721.000000,,129302629238.000000,,682890000806.000000,4941402322765.000000,6310872548093.000000,,,562014322972.000000,,,,,,18007068443.000000,17120035615.000000,35127104058.000000,,,,,208622625.000000,5306453023.000000,102672096415.000000,,,308484895651.000000,308484895651.000000,110215151200.000000,562014322972.000000,3456485528856.000000,,,,,,2656439950804.000000,471243150685.000000,3127683101489.000000,318175773367.000000,,,10626654000.000000,3456485528856.000000,4018499851828.000000,,79428954800.000000,1229780387788.000000,931702049963.000000,,,931702049963.000000,,51461303714.000000,2292372696265.000000,6310872548093.000000,794280292.000000
12M 2014,,,1318887876272.000000,,100414857384.000000,100414857384.000000,100414857384.000000,,,,,70457750875.000000,1019932437646.000000,2509692922177.000000,,9304749000000.000000,479036359916.000000,,124417102827.000000,,476804508275.000000,10385006971018.000000,12894699893195.000000,,,4465836035816.000000,,,,,,3562344698.000000,29011898244.000000,32574242942.000000,,,,,8450496344.000000,11342809750.000000,116339229968.000000,,,3732000000000.000000,3732000000000.000000,565129256812.000000,4465836035816.000000,4825947065458.000000,,,,,,4153168313247.000000,471243150685.000000,4624411463932.000000,186930432526.000000,,,14605169000.000000,4825947065458.000000,9291783101274.000000,,79436348100.000000,1230127872888.000000,551770664989.000000,,,551770664989.000000,,-18094056.000000,1861316791921.000000,11153099893195.000000,1137528604.000000
12M 2015,,,229325000000.000000,,279237000000.000000,279237000000.000000,279237000000.000000,,,,,54644000000.000000,1254366000000.000000,1817572000000.000000,,9542252000000.000000,525836000000.000000,,119532000000.000000,,1733555000000.000000,11921175000000.000000,13738747000000.000000,,,831915000000.000000,,,,,,293000000.000000,31684000000.000000,31977000000.000000,,,,,523000000.000000,32857000000.000000,211919000000.000000,,,304180000000.000000,304180000000.000000,250459000000.000000,831915000000.000000,8092296000000.000000,,,,,,3754404000000.000000,,3754404000000.000000,264041000000.000000,,4056000000000.000000,17851000000.000000,8092296000000.000000,8924211000000.000000,,113758000000.000000,3589495000000.000000,690484000000.000000,,,690484000000.000000,,420799000000.000000,4814536000000.000000,13738747000000.000000,1137528604.000000
12M 2016,,,184996000000.000000,,958050000000.000000,958050000000.000000,958050000000.000000,368363000000.000000,368363000000.000000,,368363000000.000000,47852000000.000000,1007569000000.000000,2566830000000.000000,,9667972000000.000000,550270000000.000000,,121495000000.000000,125000000.000000,1112602000000.000000,11452464000000.000000,14019294000000.000000,,,994268000000.000000,,,,,,17227000000.000000,51728000000.000000,68955000000.000000,,,,,454000000.000000,19489000000.000000,172969000000.000000,,,,,732401000000.000000,994268000000.000000,8236642000000.000000,,,,,,3846124000000.000000,,3846124000000.000000,402508000000.000000,,3967221000000.000000,20789000000.000000,8236642000000.000000,9230910000000.000000,,113758000000.000000,3589771000000.000000,925598000000.000000,,,925598000000.000000,,59257000000.000000,4688384000000.000000,13919294000000.000000,1137579698.000000
12M 2017,,,280149000000.000000,,754948000000.000000,754948000000.000000,754948000000.000000,28291000000.000000,28291000000.000000,,28291000000.000000,37922000000.000000,937568000000.000000,2038878000000.000000,,,9404369000000.000000,,114897000000.000000,229000000.000000,1051694000000.000000,10571189000000.000000,12610067000000.000000,,,821160000000.000000,,,,,,9578000000.000000,26116000000.000000,35694000000.000000,,,,,427000000.000000,9693000000.000000,159945000000.000000,,,,,615401000000.000000,821160000000.000000,7695498000000.000000,,,,,,3649029000000.000000,,3649029000000.000000,,,4019204000000.000000,27265000000.000000,7695498000000.000000,8516658000000.000000,,113758000000.000000,3589771000000.000000,509528000000.000000,,,509528000000.000000,,-119647000000.000000,4093410000000.000000,12610068000000.000000,1137579698.000000
12M 2018,,,147045000000.000000,,1005389000000.000000,1005389000000.000000,1005389000000.000000,26335000000.000000,26335000000.000000,,26335000000.000000,35295000000.000000,859457000000.000000,2073521000000.000000,,,8288344000000.000000,,108299000000.000000,747000000.000000,1199570000000.000000,9596960000000.000000,11670481000000.000000,,,1176265000000.000000,,,,,,486000000.000000,14410000000.000000,14896000000.000000,,,,,157000000.000000,8863000000.000000,77463000000.000000,,,222766000000.000000,222766000000.000000,852120000000.000000,1176265000000.000000,7164311000000.000000,,,,,,7134063000000.000000,,7134063000000.000000,,,,30248000000.000000,7164311000000.000000,8340576000000.000000,,113758000000.000000,3589771000000.000000,-719479000000.000000,,,-719479000000.000000,,-14145000000.000000,2969905000000.000000,11310481000000.000000,1137579698.000000
12M 2019,,,361534000000.000000,,611786000000.000000,611786000000.000000,611786000000.000000,11887000000.000000,11887000000.000000,,11887000000.000000,37649000000.000000,741750000000.000000,1764606000000.000000,,,8441722000000.000000,,110769000000.000000,1145000000.000000,846583000000.000000,9400219000000.000000,11164825000000.000000,,,1266989000000.000000,,,,,,2548000000.000000,8512000000.000000,11060000000.000000,,,,,15383000000.000000,7791000000.000000,171741000000.000000,,,372831000000.000000,372831000000.000000,688183000000.000000,1266989000000.000000,6624320000000.000000,,,,,,6585646000000.000000,,6585646000000.000000,,,,38674000000.000000,6624320000000.000000,7891309000000.000000,,113758000000.000000,3589771000000.000000,-482813000000.000000,,,-482813000000.000000,,-247200000000.000000,2973516000000.000000,10864825000000.000000,1137579698.000000
12M 2020,,,237176000000.000000,,614221000000.000000,614221000000.000000,614221000000.000000,5797000000.000000,5797000000.000000,,5797000000.000000,45234000000.000000,541843000000.000000,1444271000000.000000,,,9161218000000.000000,,105874000000.000000,2340000000.000000,1331033000000.000000,10600465000000.000000,12044736000000.000000,,,1271016000000.000000,,,,,,29000000.000000,15172000000.000000,15201000000.000000,,,,,25607000000.000000,52821000000.000000,184768000000.000000,,,376064000000.000000,376064000000.000000,616555000000.000000,1271016000000.000000,6676932000000.000000,,,,,,6315792000000.000000,,6315792000000.000000,,13613000000.000000,,347527000000.000000,6676932000000.000000,7947948000000.000000,,113758000000.000000,3589771000000.000000,219288000000.000000,,,219288000000.000000,2140000000.000000,-278169000000.000000,3646788000000.000000,11594736000000.000000,1137579698.000000
12M 2021,,,593415000000.000000,,511522000000.000000,511522000000.000000,511522000000.000000,420452000000.000000,5176000000.000000,415276000000.000000,420452000000.000000,48402000000.000000,358938000000.000000,1932729000000.000000,,,8204844000000.000000,89029000000.000000,1190000000.000000,443000000.000000,1406865000000.000000,9702371000000.000000,11635100000000.000000,,,1350564000000.000000,,,,,,,34136000000.000000,34136000000.000000,,19753000000.000000,904000000.000000,20657000000.000000,,42863000000.000000,142247000000.000000,,,495829000000.000000,495829000000.000000,614832000000.000000,1350564000000.000000,5723992000000.000000,,,,,,4731409000000.000000,,4731409000000.000000,562501000000.000000,,,430082000000.000000,5723992000000.000000,7074556000000.000000,,113758000000.000000,4050261000000.000000,-1386566000000.000000,22900000000.000000,-1409466000000.000000,-1386566000000.000000,416808000000.000000,16283000000.000000,3210544000000.000000,10285100000000.000000,1137579698.000000
12M 2022,,,2361000000.000000,,512434000000.000000,512434000000.000000,512434000000.000000,754000000.000000,752000000.000000,2000000.000000,754000000.000000,8371000000.000000,204044000000.000000,727964000000.000000,,,7743300000000.000000,17257000000.000000,9430000000.000000,,1103564000000.000000,8873551000000.000000,9601515000000.000000,,,1330243000000.000000,,,,,,,34646000000.000000,34646000000.000000,,17081000000.000000,1866000000.000000,18947000000.000000,,43625000000.000000,117549000000.000000,,,495384000000.000000,495384000000.000000,620092000000.000000,1330243000000.000000,2874639000000.000000,,,,,,2060081000000.000000,,2060081000000.000000,597782000000.000000,,,216776000000.000000,2874639000000.000000,4204882000000.000000,,113758000000.000000,4900723000000.000000,-448288000000.000000,22900000000.000000,-471188000000.000000,-448288000000.000000,-2000000.000000,14884000000.000000,4581075000000.000000,8785957000000.000000,1137579698.000000
12M 2023,,,5253000000.000000,,754552000000.000000,754552000000.000000,754552000000.000000,2614000000.000000,2612000000.000000,2000000.000000,2614000000.000000,5732000000.000000,178049000000.000000,946200000000.000000,,,7814095000000.000000,17257000000.000000,8382000000.000000,,1099648000000.000000,8939382000000.000000,9885582000000.000000,,,3363726000000.000000,,110000000000.000000,2092580000000.000000,2202580000000.000000,,13343000000.000000,57021000000.000000,70364000000.000000,,35027000000.000000,518000000.000000,35545000000.000000,,70626000000.000000,48622000000.000000,7595000000.000000,,142783000000.000000,142783000000.000000,785611000000.000000,3363726000000.000000,810207000000.000000,,,,,,248102000000.000000,,248102000000.000000,515403000000.000000,,,46702000000.000000,810207000000.000000,4173933000000.000000,,113758000000.000000,4900723000000.000000,680048000000.000000,22900000000.000000,657148000000.000000,680048000000.000000,3000000.000000,17117000000.000000,5711649000000.000000,9885582000000.000000,1137579698.000000
12M 2024,,,18272000000.000000,,616530000000.000000,616530000000.000000,616530000000.000000,5474000000.000000,5474000000.000000,,5474000000.000000,2458000000.000000,134183000000.000000,776917000000.000000,,,7757970000000.000000,17257000000.000000,7334000000.000000,,1242861000000.000000,9025422000000.000000,9802339000000.000000,,,2648598000000.000000,,4000000000.000000,1842000000000.000000,1846000000000.000000,,9043000000.000000,59938000000.000000,68981000000.000000,,6859000000.000000,3000000.000000,6862000000.000000,,50851000000.000000,89251000000.000000,,,,,586653000000.000000,2648598000000.000000,456927000000.000000,,,,,,,,,406618000000.000000,,,50309000000.000000,456927000000.000000,3105525000000.000000,,113758000000.000000,4909611000000.000000,1654363000000.000000,22900000000.000000,1631463000000.000000,1654363000000.000000,6000000.000000,19076000000.000000,6696814000000.000000,9802339000000.000000,1137579698.000000
