Period,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Usaha,Others,Total Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,286366035985.000000,-67567106767.000000,,-67567106767.000000,218798929218.000000,-16967189903.000000,,,,,,-16967189903.000000,201831739315.000000,105924936603.000000,1788678021.000000,-78059477682.000000,-1678989902.000000,183874726166.000000,105924936603.000000,307756675918.000000,-77345011555.000000,230411664363.000000,,230411664363.000000,230411664363.000000,230411664363.000000,,230411664363.000000,230411664363.000000,230411664363.000000,,230411664363.000000
12M 2011,330955798089.000000,-77277056306.000000,,-77277056306.000000,253678741783.000000,-30516649757.000000,,,,,,-30516649757.000000,223162092026.000000,-47134040269.000000,10524340711.000000,-129025383122.000000,321260380.000000,71045741762.000000,-47134040269.000000,176028051757.000000,-41707954612.000000,134320097145.000000,-37994084041.000000,96326013104.000000,134320097145.000000,134320097145.000000,,134320097145.000000,96326013104.000000,96326013104.000000,,96326013104.000000
12M 2012,529407625241.000000,-125629562579.000000,,-125629562579.000000,403778062662.000000,-49875259055.000000,,,,,,-49875259055.000000,353902803607.000000,-112947555519.000000,9878596026.000000,-173917816409.000000,,51091664864.000000,-112947555519.000000,240955248088.000000,-65250721647.000000,175704526441.000000,-354827310.000000,175349699131.000000,175704526441.000000,175668612570.000000,35913871.000000,175704526441.000000,175349699131.000000,175313785260.000000,35913871.000000,175349699131.000000
12M 2013,840096512954.000000,-174627149611.000000,-174627149611.000000,-174627149611.000000,665469363343.000000,-83780377304.000000,,,,-83780377304.000000,-83780377304.000000,-83780377304.000000,581688986039.000000,-313560678842.000000,12400860599.000000,-285456428561.000000,,-40505110880.000000,-313560678842.000000,268128307197.000000,-70518807954.000000,197609499243.000000,89810215065.000000,287419714308.000000,197609499243.000000,197595843587.000000,13655656.000000,197609499243.000000,287419714308.000000,287406058652.000000,13655656.000000,287419714308.000000
12M 2014,1071929125635.000000,-208631294443.000000,-208631294443.000000,-208631294443.000000,863297831192.000000,-102996122204.000000,,,,-102996122204.000000,-102996122204.000000,-102996122204.000000,760301708988.000000,-1268035433053.000000,15784361728.000000,-440085619035.000000,,-843734175746.000000,-1268035433053.000000,-507733724065.000000,127802339091.000000,-379931384974.000000,-51479397770.000000,-431410782744.000000,-379931384974.000000,-379931384974.000000,,-379931384974.000000,-431410782744.000000,-431410782744.000000,,-431410782744.000000
12M 2015,1785853000000.000000,-324097000000.000000,-324097000000.000000,-324097000000.000000,1461756000000.000000,-131061000000.000000,,,,-131061000000.000000,-131061000000.000000,-131061000000.000000,1330695000000.000000,-1088680000000.000000,31342000000.000000,-1035031000000.000000,,-84991000000.000000,-1088680000000.000000,242015000000.000000,-105140000000.000000,136875000000.000000,421295000000.000000,558170000000.000000,136875000000.000000,136875000000.000000,,136875000000.000000,558170000000.000000,558170000000.000000,,558170000000.000000
12M 2016,1821446000000.000000,-358468000000.000000,-358468000000.000000,-358468000000.000000,1462978000000.000000,-160032000000.000000,,,,-160032000000.000000,-160032000000.000000,-160032000000.000000,1302946000000.000000,-893596000000.000000,15697000000.000000,-1005066000000.000000,,95773000000.000000,-893596000000.000000,409350000000.000000,-172221000000.000000,237129000000.000000,-363557000000.000000,-126428000000.000000,237129000000.000000,237129000000.000000,,237129000000.000000,-126428000000.000000,-126428000000.000000,,-126428000000.000000
12M 2017,1908487000000.000000,-438822000000.000000,-438822000000.000000,-438822000000.000000,1469665000000.000000,-160022000000.000000,,,,-160022000000.000000,-160022000000.000000,-160022000000.000000,1309643000000.000000,-1098508000000.000000,20057000000.000000,-1002138000000.000000,,-116427000000.000000,-1098508000000.000000,211135000000.000000,119827000000.000000,330962000000.000000,-920615000000.000000,-589653000000.000000,330962000000.000000,330962000000.000000,,330962000000.000000,-589653000000.000000,-589653000000.000000,,-589653000000.000000
12M 2018,1899775000000.000000,-478673000000.000000,-478673000000.000000,-478673000000.000000,1421102000000.000000,-166763000000.000000,,,,-166763000000.000000,-166763000000.000000,-166763000000.000000,1254339000000.000000,-2456677000000.000000,7984000000.000000,-954603000000.000000,,-1510058000000.000000,-2456677000000.000000,-1202338000000.000000,-21505000000.000000,-1223843000000.000000,100338000000.000000,-1123505000000.000000,-1223843000000.000000,-1223843000000.000000,,-1223843000000.000000,-1123505000000.000000,-1123505000000.000000,,-1123505000000.000000
12M 2019,1767050000000.000000,-492100000000.000000,-492100000000.000000,-492100000000.000000,1274950000000.000000,-189103000000.000000,,,,-189103000000.000000,-189103000000.000000,-189103000000.000000,1085847000000.000000,-843976000000.000000,13058000000.000000,-855885000000.000000,,-1149000000.000000,-843976000000.000000,241871000000.000000,-13489000000.000000,228382000000.000000,-224771000000.000000,3611000000.000000,228382000000.000000,228382000000.000000,,228382000000.000000,3611000000.000000,3611000000.000000,,3611000000.000000
