Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,-115613.30,-0.00,0.00,(7.32 B),-7.87%,-12.11%,-30.74%,
12M 2021,0.00 B,-5196.55,-0.00,0.00,2.51 B,-0.10%,-0.55%,0.49%,0.75
12M 2022,1.00 B,19.08,0.00,0.00,46.38 B,8.25%,16.37%,27.14%,6.74
12M 2023,1.25 B,15.81,16.95,1.23,76.05 B,3.69%,8.03%,13.10%,2.68
12M 2024,1.25 B,-14.94,-9.84,0.74,52.48 B,-3.39%,-8.20%,-0.75%,-0.14
