Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,2309000000.000000,-9128059198.000000,-6819059198.000000,-515554852.000000,-515554852.000000,-515554852.000000,-7334614050.000000,-5393220.000000,,,-5393220.000000,-5393220.000000,-7340007270.000000,1559342443.000000,-5780664827.000000,,-5780664827.000000,-5780664827.000000,-5780664827.000000,,-5780664827.000000,-5780664827.000000,-5780664827.000000,,-5780664827.000000
12M 2021,24634528516.000000,-23449116770.000000,1185411746.000000,-932621130.000000,-932621130.000000,-932621130.000000,252790616.000000,-433569404.000000,-336643441.000000,,-96925963.000000,-433569404.000000,-180778788.000000,-79048691.000000,-259827479.000000,,-259827479.000000,-259827479.000000,-259827479.000000,,-259827479.000000,-259827479.000000,-259827479.000000,,-259827479.000000
12M 2022,184878777719.000000,-145959063245.000000,38919714474.000000,-9542444196.000000,-9542444196.000000,-9542444196.000000,29377270278.000000,-4309040743.000000,-4359589973.000000,,50549230.000000,-4309040743.000000,25068229535.000000,-5985692958.000000,19082536577.000000,-841520.000000,19081695057.000000,19082536577.000000,19082536577.000000,,19082536577.000000,19081695057.000000,19081695057.000000,,19081695057.000000
12M 2023,272434920238.000000,-215868146834.000000,56566773404.000000,-18994748936.000000,-18994748936.000000,-18994748936.000000,37572024468.000000,-14345848245.000000,-14040778402.000000,,-305069843.000000,-14345848245.000000,23226176223.000000,-3462416803.000000,19763759420.000000,-15205945.000000,19748553475.000000,19763759420.000000,19763759420.000000,,19763759420.000000,19748553475.000000,19748553475.000000,,19748553475.000000
12M 2024,249090558472.000000,-235274137556.000000,13816420916.000000,-16580844921.000000,-16580844921.000000,-16580844921.000000,-2764424005.000000,-20054759571.000000,-19974217130.000000,,-80542441.000000,-20054759571.000000,-22819183576.000000,4146247850.000000,-18672935726.000000,2567167.000000,-18670368559.000000,-18672935726.000000,-18672935726.000000,,-18672935726.000000,-18670368559.000000,-18670368559.000000,,-18670368559.000000
