Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,25338455.000000,15297093322.000000,15297093322.000000,,15297093322.000000,54657230946.000000,54650084446.000000,7146500.000000,54657230946.000000,,326061580.000000,70305724303.000000,,1380468750.000000,1765012623.000000,,3145481373.000000,73451205676.000000,,,25731788568.000000,,1700277600.000000,370777045.000000,2071054645.000000,,23468870998.000000,,23468870998.000000,,61569018.000000,,,,,,130293907.000000,25731788568.000000,,,,,,,,,25731788568.000000,,50000000000.000000,,-2280582892.000000,,-2280582892.000000,-2280582892.000000,,47719417108.000000,73451205676.000000,50000.000000
12M 2021,,,509131978.000000,16059742367.000000,15851932226.000000,207810141.000000,16059742367.000000,203542871800.000000,203501871801.000000,40999999.000000,203542871800.000000,2081596955.000000,3548006614.000000,225741349714.000000,,16798785228.000000,1685963931.000000,15901893416.000000,34386642575.000000,260127992289.000000,,,203760431860.000000,,2665304770.000000,1688143918.000000,4353448688.000000,,194750106991.000000,76724998.000000,194826831989.000000,,12366532.000000,,,,4378475641.000000,4378475641.000000,189309010.000000,203760431860.000000,8907970800.000000,,,8907970800.000000,8907970800.000000,,,8907970800.000000,212668402660.000000,,50000000000.000000,,-2540410371.000000,,-2540410371.000000,-2540410371.000000,,47459589629.000000,260127992289.000000,50000.000000
12M 2022,,,92355023.000000,19189329145.000000,19189329145.000000,,19189329145.000000,27944333567.000000,27913833568.000000,30499999.000000,27944333567.000000,14851227053.000000,10181016034.000000,72258260822.000000,,113579230303.000000,,45445852521.000000,159025082824.000000,231283343646.000000,,,71178282238.000000,,,29802461755.000000,29802461755.000000,,13288616339.000000,81678586.000000,13370294925.000000,1795250000.000000,657701597.000000,1487360754.000000,,8691834986.000000,14500474063.000000,23192309049.000000,872904158.000000,71178282238.000000,43563776721.000000,,25328134685.000000,17659519064.000000,42987653749.000000,513390297.000000,62732675.000000,43563776721.000000,114742058959.000000,,100000000000.000000,,16541284686.000000,,16541284686.000000,16541284686.000000,,116541284686.000000,231283343645.000000,1000000000.000000
12M 2023,,,14960446826.000000,60866375491.000000,57896070166.000000,2970305325.000000,60866375491.000000,68435258895.000000,68137578380.000000,297680515.000000,68435258895.000000,25060291138.000000,25826059339.000000,195148431689.000000,,226938769285.000000,313074245.000000,112782954097.000000,340034797627.000000,535183229316.000000,,,121553594255.000000,,,8347673012.000000,8347673012.000000,,18191790287.000000,80691905.000000,18272482192.000000,593896135.000000,412338593.000000,690801171.000000,,47511598540.000000,44500595795.000000,92012194335.000000,1224208817.000000,121553594255.000000,167371090584.000000,,108254680533.000000,58917554120.000000,167172234653.000000,,198855931.000000,167371090584.000000,288924684839.000000,,125000000000.000000,84968706316.000000,36289838161.000000,5000000000.000000,31289838161.000000,36289838161.000000,,246258544477.000000,535183229316.000000,1250000000.000000
12M 2024,,,5128474764.000000,19429988996.000000,17957036327.000000,1472952669.000000,19429988996.000000,67793739986.000000,67754268956.000000,39471030.000000,67793739986.000000,24512161521.000000,13061166145.000000,129925531412.000000,,314920693319.000000,4458598022.000000,101028141954.000000,420407433295.000000,550332964707.000000,,,224764465965.000000,,1981117168.000000,50997999738.000000,52979116906.000000,,74246109597.000000,63136907.000000,74309246504.000000,498480135.000000,270584519.000000,1548482522.000000,,51999729294.000000,42033401077.000000,94033130371.000000,1125425008.000000,224764465965.000000,97980322604.000000,,69079775757.000000,28451015117.000000,97530790874.000000,,449531730.000000,97980322604.000000,322744788569.000000,,125000000000.000000,84968706316.000000,17619469602.000000,5000000000.000000,12619469602.000000,17619469602.000000,,227588175918.000000,550332964487.000000,1250000000.000000
