Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,(9 B),(1 B),(10 B),-205582.56
12M 2021,(2 B),(16 B),(18 B),-361159.72
12M 2022,43 B,(102 B),(59 B),-59.43
12M 2023,(31 B),,(121 B),-97.01
12M 2024,103 B,(71 B),32 B,25.76
