Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Kenaikan Uang Muka Pembelian Aset Tetap,Penambahan Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Biaya Penerbitan Langsung Sehubungan Dengan Penawaran Umum Perdana,Penerimaan Modal Disetor,Penerimaan Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Pembayaran Leasing,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-8884128066.000000,738072068.000000,-9622200134.000000,,,-8884128066.000000,-1395000000.000000,-1395000000.000000,,,-1395000000.000000,10278033066.000000,,49000000000.000000,15303532512.000000,-54025499446.000000,,,,,,10278033066.000000,-1095000.000000,26433455.000000,25338455.000000
12M 2021,-1657782778.000000,23871879471.000000,-25193018808.000000,-336643441.000000,,-1657782778.000000,-19318318778.000000,-16400203140.000000,-974115638.000000,-1944000000.000000,-19318318778.000000,21459895079.000000,,,184314076405.000000,-161884627767.000000,-969553559.000000,,,,,21459895079.000000,483793523.000000,25338455.000000,509131978.000000
12M 2022,42605039757.000000,181749190941.000000,-131563576442.000000,-4359589973.000000,-3220984769.000000,42605039757.000000,-113583761404.000000,-102031861105.000000,-7956380299.000000,-3595520000.000000,-113583761404.000000,69074583938.000000,-265000000.000000,50000000000.000000,253908754422.000000,-259782206841.000000,-8806933314.000000,,,38000000000.000000,-3980030329.000000,69074583938.000000,-1904137709.000000,509131978.000000,-1395005731.000000
12M 2023,-30971411870.000000,230757873892.000000,-242928559535.000000,-14040778402.000000,-4759947825.000000,-30971411870.000000,-123735653689.000000,-90285573772.000000,-23244377417.000000,-10205702500.000000,-123735653689.000000,170371716945.000000,-2266293684.000000,112500000000.000000,4902187267.000000,-40490925328.000000,-26019560712.000000,,,147611592000.000000,-25865282598.000000,170371716945.000000,15664651386.000000,-1395005731.000000,14269645655.000000
12M 2024,103183044794.000000,290526944967.000000,-162697587340.000000,-19974217130.000000,-4672095703.000000,103183044794.000000,-85695381269.000000,-70979614459.000000,-14715766810.000000,,-85695381269.000000,-28177316938.000000,,,65797119592.000000,-9359490858.000000,-49928171650.000000,,,13600000000.000000,-48286774022.000000,-28177316938.000000,-10689653413.000000,14269645655.000000,3579992242.000000
