Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Penerimaan Lain-Lain,Pembayaran Kepada Pemasok,Pembayaran Beban Operasi,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak,Pembayaran Bunga,Pembayaran Beban-Beban,Penerimanaan (Pembayaran) Operasional Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penempatan Deposito,Pencairan Deposito,Pembangunan Cold Storage Dalam Penyelesaian,Pembayaran Uang Muka,Uang Muka Pembangunan Cold Storage,Uang Muka Pembelian Aset,Uang Muka Pemeliharaan Aset,Total Pembayaran Uang Muka,Uang Muka Pemeliharaan Aset,Perolehan Aset Hak Guna,Pembelian Aset Biologis,Penambahan Setoran Modal Entitas Anak,Penambahan Aset Tidak Lancar Lainnya,Penerimaan (Pembayaran) Piutang Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penambahan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Penerimaan Utang Lain-Lain Pihak Ketiga,Pembayaran Utang Lain-Lain Pihak Ketiga,Penerimaan Piutang Lain-Lain Pihak Berelasi,Pembayaran Utang Pemegang Saham,Pembayaran Biaya Emisi Saham,Penerimaan Dari Penerbitan Saham Biasa,Penerimaan Dari Lembaga Pembiayaan,Penerimaan Utang Bank,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Total Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Total Pembayaran Utang Bank,Pembayaran Dividen,Penempatan Deposito Jaminan,Penerimaan Dari Penerbitan Waran,Penerimaan Neto Penawaran Umum Perdana,Tambahan Setoran Modal,Penerimaan (Pembayaran) Dari Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Dari Entitas Anak Yang Baru Dikonsolidasikan,Kas Dan Setara Kas Akhir Periode
12M 2018,54240319399.000000,783618052785.000000,384509152.000000,,-617833708613.000000,,-36432580989.000000,-6379375565.000000,-40074933350.000000,-29041644021.000000,,,54240319399.000000,-120483658711.000000,-18881819978.000000,10173585901.000000,,800000000.000000,,-112575424634.000000,,,,-112575424634.000000,,,,,,,,-120483658711.000000,63285686407.000000,,-5045625309.000000,,,-15798000000.000000,,,,,,,,591144036144.000000,,,591144036144.000000,-507014724428.000000,,,-507014724428.000000,-50000000000.000000,,,,50000000000.000000,,63285686407.000000,-2957652905.000000,,6031529631.000000,,3073876726.000000
12M 2019,329681853843.000000,1555204056110.000000,272496366.000000,73545320.000000,-1061121944927.000000,,-44210119939.000000,-15889774327.000000,-51363195701.000000,-53283209059.000000,,,329681853843.000000,-457626057940.000000,-105017672640.000000,921054936.000000,-86631105903.000000,37146056156.000000,,-304044390489.000000,,,,-304044390489.000000,,,,,,,,-457626057940.000000,140396978516.000000,,-9970147090.000000,,44147053894.000000,-2400000000.000000,,,,,-12438609074.000000,128133285750.000000,10086516000.000000,490957216291.000000,,,490957216291.000000,-508118337255.000000,,,-508118337255.000000,,,,,,,140396978516.000000,12452774419.000000,,3073876726.000000,,15526651145.000000
12M 2020,-198093665098.000000,918379218357.000000,234682117.000000,,-1041207394699.000000,,-44170559876.000000,810603223.000000,-33906687500.000000,1766473280.000000,,,-198093665098.000000,-21842204214.000000,-11842204214.000000,,,,,,,,,,,,,-10000000000.000000,,,,-21842204214.000000,211731863549.000000,,-6379627890.000000,,,-8728375209.000000,,,,,,,,864673921663.000000,,,864673921663.000000,-616056718840.000000,,,-616056718840.000000,,-21777336175.000000,,,,,211731863549.000000,-8204005763.000000,,15526651145.000000,,7322645382.000000
12M 2021,42083642529.000000,166152301717.000000,15732035.000000,,-3407396793.000000,,-23641860400.000000,-6379173462.000000,-79616085233.000000,-11039875335.000000,,,42083642529.000000,5472828615.000000,-16304507560.000000,,-7203950040.000000,28981286215.000000,,,,,,,,,,,,,,5472828615.000000,-53659234274.000000,-1482586659.000000,-2343846280.000000,,,-6893930760.000000,,,,,,,,,49009841594.000000,,49009841594.000000,,-91948717669.000000,,-91948717669.000000,,,,5500.000000,,,-53659234274.000000,-6102763130.000000,,7322645382.000000,,1219882252.000000
12M 2022,-86334123211.000000,37359021091.000000,,7366257319.000000,-4391715966.000000,,-17605646989.000000,-5461528.000000,-91218626180.000000,-17837950958.000000,,,-86334123211.000000,-22749443238.000000,-708428212.000000,156000000.000000,,,,,,,,,1224467968.000000,-686047640.000000,-22735435354.000000,,,,,-22749443238.000000,110945927412.000000,698847226.000000,-583944711.000000,,7038186947.000000,,115000000000.000000,,,,,,,,,,,,-11207162050.000000,,-11207162050.000000,,,,,,,110945927412.000000,1862360963.000000,,1219882252.000000,,3082243215.000000
12M 2023,132462338448.000000,613873382719.000000,86410694.000000,,-391858175286.000000,-62596878728.000000,-14686745971.000000,-10197332680.000000,-360215058.000000,,-1798107242.000000,,132462338448.000000,-96563715740.000000,-4522324078.000000,,,,,,,-11854338000.000000,-888458390.000000,-12742796390.000000,,-39500000.000000,-79259095272.000000,,,,,-96563715740.000000,-28913487583.000000,,-189577869.000000,-2043481129.000000,,-6670449771.000000,,-20009978814.000000,,,,,,,,,,,,,,,,,,,,-28913487583.000000,6985135125.000000,,3082243215.000000,,10067378340.000000
12M 2024,-703938344131.000000,4824066660637.000000,157308074.000000,,-5350231196492.000000,-75985582379.000000,-47720023342.000000,-24160660128.000000,-32401351907.000000,,2336501406.000000,,-703938344131.000000,-217382734156.000000,-13032947491.000000,519390405.000000,,,-14565906383.000000,,-60298246029.000000,-16218252145.000000,-422812786.000000,-76939310960.000000,,-90000000.000000,-111243361024.000000,,,-2030598703.000000,,-217382734156.000000,860360972523.000000,,-2051620418.000000,,108200000000.000000,,,-17170808228.000000,,,,,,771383401169.000000,,,771383401169.000000,,,,,,,,,,,860360972523.000000,-60960105764.000000,,10067378339.000000,63466306250.000000,12573578825.000000
