Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Distribusi Dan Transmisi,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,895932528293.000000,-759757288066.000000,136175240227.000000,-54097127176.000000,-12660451959.000000,-11207605930.000000,-22610281073.000000,-7618788214.000000,-54097127176.000000,82078113051.000000,-40478228295.000000,,-40478228295.000000,-40478228295.000000,41599884756.000000,-10769134130.000000,-10626821241.000000,-142312889.000000,,-10769134130.000000,30830750626.000000,,30830750626.000000,527196719.000000,31357947345.000000,30830750626.000000,29723278273.000000,1107472353.000000,30830750626.000000,31357947345.000000,30266675799.000000,1091271546.000000,31357947345.000000
12M 2019,1316420171957.000000,-1131726258348.000000,184693913609.000000,-69533053204.000000,-19696373589.000000,-22720850685.000000,-35702506227.000000,8586677297.000000,-69533053204.000000,115160860405.000000,-54119835120.000000,,-54119835120.000000,-54119835120.000000,61041025285.000000,-21010217117.000000,-18459091464.000000,-2551125653.000000,,-21010217117.000000,40030808168.000000,,40030808168.000000,468454411.000000,40499262579.000000,40030808168.000000,38436748428.000000,1594059740.000000,40030808168.000000,40499262579.000000,38898009980.000000,1601252599.000000,40499262579.000000
12M 2020,728034316374.000000,-954954244615.000000,-226919928241.000000,-148489395923.000000,-50745396182.000000,,-36017313926.000000,-61726685815.000000,-148489395923.000000,-375409324164.000000,-58166072012.000000,234378477.000000,-58400450489.000000,-58166072012.000000,-433575396176.000000,82839271419.000000,,,,82839271419.000000,-350736124757.000000,,-350736124757.000000,509646377.000000,-350226478380.000000,-350736124757.000000,-350745479112.000000,9354355.000000,-350736124757.000000,-350226478380.000000,-350236536458.000000,10058078.000000,-350226478380.000000
12M 2021,142314782595.000000,-129509804063.000000,12804978532.000000,-244506015477.000000,-34686323818.000000,,-31709223894.000000,-178110467765.000000,-244506015477.000000,-231701036945.000000,,,,,-231701036945.000000,50259078842.000000,,,,50259078842.000000,-181441958103.000000,,-181441958103.000000,-167489617.000000,-181609447720.000000,-181441958103.000000,-181433649829.000000,-8308274.000000,-181441958103.000000,-181609447720.000000,-181601818458.000000,-7629262.000000,-181609447720.000000
12M 2022,39116821863.000000,-34773998702.000000,4342823161.000000,-125903604277.000000,-4727730360.000000,,-37774123854.000000,-83401750063.000000,-125903604277.000000,-121560781116.000000,,,,,-121560781116.000000,27873541934.000000,,,,27873541934.000000,-93687239182.000000,,-93687239182.000000,1759134516.000000,-91928104666.000000,-93687239182.000000,-93605399937.000000,-81839245.000000,-93687239182.000000,-91928104666.000000,-91107534206.000000,-820570460.000000,-91928104666.000000
12M 2023,611771423767.000000,-503563411162.000000,108208012605.000000,-39132256507.000000,-4975980674.000000,,-72941741246.000000,38785465413.000000,-39132256507.000000,69075756098.000000,,,,,69075756098.000000,-12004729193.000000,,-12004729193.000000,,-12004729193.000000,57071026905.000000,,57071026905.000000,-244006569.000000,56827020336.000000,57071026905.000000,57069005210.000000,2021695.000000,57071026905.000000,56827020336.000000,56756176275.000000,70844061.000000,56827020336.000000
12M 2024,4930799547693.000000,-4620254175090.000000,310545372603.000000,-167153103606.000000,-35394975294.000000,,-110470860175.000000,-21287268137.000000,-167153103606.000000,143392268997.000000,,,,,143392268997.000000,-40296968343.000000,-39266472943.000000,-1030495400.000000,,-40296968343.000000,103095300654.000000,,103095300654.000000,202441516.000000,103297742170.000000,103095300653.000000,102995767910.000000,99532743.000000,103095300653.000000,103297742170.000000,103196662092.000000,101080078.000000,103297742170.000000
